,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,139.81,$42.76,3.27,$80.15,1.74,$10.96,12.75,$6.22,22.48,$40.20B,$26.50B,1.52,$38.28B,$34.25B,1.12,$64.14B,$16.35B,25.50%,$64.14B,$8.97B,13.99%,$64.14B,$8.97B,13.99%,$64.14B,$11.30B,17.62%,$64.14B,$8.20B,12.78%,$64.14B,$4.98B,7.76%,$4.98B,$34.25B,15.15%,$4.98B,$-9.13B,-45.86%,$4.98B,$114.94B,4.83%,$8.97B,$72.53B,14.52%,$16510,$12536,$3974,$586,$1681,$14672,$1838,$-70,$1768,$419,$1349,$1349,$1238,$2431,$1838,$791,802,$1.56,$1.54,$13799,$9068,$4787,$40204,$10236,$0,$43380,$16275,$74735,$114939,$26504,$38275,$13373,$54185,$80689,$17869,$57706,$-7723,$34250,$114939,$4856,$1766,$-769,$997,$-2379,$-991,$0,$-389,$-715,$4317,$-1122,$-302,$922,$0,$0,$0,$-517,$-1019,$11316,$1228,$12544,$-39,$-39,$-1606,$-60,$10839,$14026,$181,$-1606
1,2018-06-30,124.38,$41.68,2.98,$78.45,1.59,$9.36,13.29,$6.35,19.59,$36.56B,$25.07B,1.46,$27.25B,$33.35B,0.82,$62.69B,$16.33B,26.06%,$62.69B,$9.17B,14.62%,$62.69B,$9.17B,14.62%,$62.69B,$11.44B,18.25%,$62.69B,$8.37B,13.35%,$62.69B,$5.07B,8.09%,$5.07B,$33.35B,15.73%,$5.07B,$-10.09B,-43.64%,$5.07B,$101.57B,5.15%,$9.17B,$60.59B,15.92%,$16705,$12422,$4283,$589,$1759,$13829,$2876,$-42,$2834,$695,$2139,$2139,$2048,$3468,$2876,$791,800,$2.59,$2.56,$11068,$8979,$4536,$36556,$10115,$0,$43438,$7071,$65013,$101569,$25068,$27246,$13190,$43155,$68223,$17747,$57027,$-7684,$33346,$101569,$3507,$1173,$-854,$319,$-1661,$-962,$0,$65,$-548,$2555,$-709,$-181,$960,$0,$0,$0,$-308,$-238,$337,$642,$979,$-46,$-46,$-1070,$-74,$-211,$2088,$117,$-1070
2,2018-03-31,124.46,$40.61,3.06,$76.70,1.62,$10.02,12.43,$5.59,22.27,$32.74B,$24.75B,1.32,$25.15B,$32.49B,0.77,$61.26B,$16.17B,26.39%,$61.26B,$8.46B,13.80%,$61.26B,$8.46B,13.80%,$61.26B,$10.67B,17.41%,$61.26B,$7.60B,12.40%,$61.26B,$4.46B,7.28%,$4.46B,$32.49B,14.20%,$4.46B,$-11.84B,-35.91%,$4.46B,$98.78B,4.61%,$8.46B,$57.65B,15.11%,$15242,$11280,$3962,$554,$1711,$13314,$1928,$-38,$1890,$522,$1368,$1368,$1297,$2509,$1928,$790,800,$1.64,$1.62,$7667,$8938,$4437,$32741,$10283,$0,$44334,$7136,$66038,$98779,$24747,$25153,$13405,$41540,$66287,$17641,$55533,$-6937,$32492,$98779,$1368,$581,$-124,$457,$-1140,$-631,$0,$186,$-1009,$453,$-337,$-78,$-90,$0,$0,$0,$-471,$-976,$-975,$666,$-309,$-20,$-20,$-535,$-46,$-910,$-1314,$55,$-535
3,2017-12-31,125.52,$39.32,3.19,$74.88,1.68,$10.70,11.73,$5.70,22.02,$32.86B,$24.39B,1.35,$24.99B,$31.42B,0.8,$59.84B,$15.88B,26.55%,$59.84B,$8.67B,14.49%,$59.84B,$8.67B,14.49%,$59.84B,$10.81B,18.07%,$59.84B,$7.76B,12.97%,$59.84B,$4.55B,7.61%,$4.55B,$31.42B,14.86%,$4.55B,$-12.37B,-35.26%,$4.55B,$96.92B,4.81%,$8.67B,$56.41B,16.03%,$15680,$11547,$4133,$590,$1474,$13348,$2332,$-627,$1705,$1219,$486,$118,$397,$2890,$2332,$790,799,$0.49,$0.50,$8985,$9881,$1397,$32858,$10186,$0,$43793,$5988,$64062,$96920,$24391,$24989,$12952,$41108,$65499,$17574,$55242,$-7525,$31421,$96920,$4920,$2140,$-31,$2109,$-448,$-1074,$0,$-2213,$-2164,$5631,$-2014,$-380,$-161,$0,$596,$596,$-1060,$-3019,$3350,$-271,$3079,$-1422,$-1422,$-2074,$-576,$-993,$1829,$192,$-2074
4,2017-09-30,113.54,$39.68,2.86,$73.00,1.56,$11.88,9.55,$6.45,17.6,$32.96B,$25.25B,1.31,$24.06B,$31.69B,0.76,$58.82B,$15.69B,26.67%,$58.82B,$7.98B,13.57%,$58.82B,$7.98B,13.57%,$58.82B,$10.07B,17.12%,$58.82B,$7.33B,12.46%,$58.82B,$5.17B,8.79%,$5.17B,$31.69B,17.19%,$5.17B,$-12.18B,-39.12%,$5.17B,$96.35B,5.57%,$7.98B,$55.75B,15.14%,$15062,$11106,$3956,$592,$1582,$13030,$2032,$-92,$1940,$506,$1434,$1434,$1330,$2575,$2032,$788,797,$1.69,$1.67,$8523,$10083,$1229,$32963,$9763,$0,$43871,$5848,$63389,$96352,$25249,$24063,$11693,$39412,$64661,$17486,$55385,$-7327,$31691,$96352,$4434,$1582,$623,$2205,$-1051,$-1249,$0,$-1930,$-2366,$3110,$-1214,$-290,$-159,$0,$596,$596,$-591,$-1658,$2457,$400,$2857,$-1405,$-1405,$-1541,$-204,$-293,$1367,$145,$-1541
5,2017-06-30,118.73,$37.75,3.15,$71.38,1.66,$13.74,8.64,$6.56,18.1,$32.83B,$23.92B,1.37,$23.88B,$30.16B,0.79,$58.11B,$15.74B,27.09%,$58.11B,$8.20B,14.11%,$58.11B,$8.20B,14.11%,$58.11B,$10.24B,17.62%,$58.11B,$7.42B,12.76%,$58.11B,$5.32B,9.15%,$5.32B,$30.16B,17.82%,$5.32B,$-13.31B,-40.04%,$5.32B,$94.79B,5.83%,$8.20B,$54.04B,15.92%,$15280,$11164,$4116,$619,$1590,$13116,$2164,$-100,$2064,$532,$1532,$1532,$1439,$2691,$2164,$789,798,$1.83,$1.80,$9345,$9860,$1027,$32829,$9475,$0,$43468,$5503,$61964,$94793,$23919,$23883,$11181,$40719,$64638,$17372,$54640,$-7964,$30155,$94793,$3000,$1039,$352,$1391,$-951,$-1066,$0,$-52,$-633,$3139,$-771,$-195,$-149,$0,$596,$596,$-471,$-990,$2402,$32,$2434,$-1348,$-1348,$-1008,$-130,$-52,$2192,$96,$-1008
6,2017-03-31,108.51,$36.53,2.97,$70.08,1.55,$13.13,8.27,$6.41,16.93,$29.31B,$23.73B,1.24,$20.90B,$29.27B,0.71,$57.70B,$15.76B,27.31%,$57.70B,$8.37B,14.51%,$57.70B,$8.37B,14.51%,$57.70B,$10.38B,17.99%,$57.70B,$7.47B,12.94%,$57.70B,$5.26B,9.11%,$5.26B,$29.27B,17.55%,$5.26B,$-13.78B,-40.03%,$5.26B,$90.37B,5.85%,$8.37B,$50.17B,16.51%,$13815,$10136,$3679,$586,$1537,$11671,$2144,$-90,$2054,$586,$1468,$1468,$1386,$2656,$2144,$794,802,$1.75,$1.73,$7156,$9386,$923,$29305,$9255,$0,$43053,$5363,$61068,$90373,$23726,$20898,$10737,$37375,$61101,$17359,$53741,$-8333,$29272,$90373,$1468,$512,$-90,$422,$-268,$-654,$0,$-67,$-521,$993,$-325,$-101,$-100,$0,$596,$596,$-209,$-139,$-27,$567,$540,$-922,$-922,$-505,$-42,$-929,$-6,$47,$-505
7,2016-12-31,105.38,$36.07,2.92,$68.92,1.53,$12.91,8.16,$6.11,17.25,$28.55B,$21.91B,1.3,$21.70B,$29.17B,0.74,$57.24B,$15.78B,27.57%,$57.24B,$8.17B,14.28%,$57.24B,$8.17B,14.28%,$57.24B,$10.13B,17.70%,$57.24B,$7.13B,12.46%,$57.24B,$5.06B,8.83%,$5.06B,$29.17B,16.78%,$5.06B,$-13.57B,-38.90%,$5.06B,$89.71B,5.65%,$8.17B,$50.87B,16.01%,$14659,$10723,$3936,$626,$1856,$13020,$1639,$-366,$1273,$149,$1124,$1024,$1013,$2145,$1639,$818,826,$1.28,$1.27,$7157,$8704,$1208,$28550,$9158,$0,$42743,$6048,$61156,$89706,$21906,$21697,$11026,$38631,$60537,$17285,$52873,$-8334,$29169,$89706,$5436,$1962,$313,$2275,$-941,$-719,$0,$-254,$-1464,$6412,$-1699,$-388,$-499,$0,$0,$0,$77,$-2509,$4017,$-331,$3686,$-2241,$-2241,$-2069,$-564,$-1188,$69,$152,$-2069
8,2016-09-30,97.07,$37.36,2.6,$67.37,1.44,$12.98,7.48,$8.72,11.13,$28.55B,$22.54B,1.27,$20.19B,$30.76B,0.66,$56.89B,$15.50B,27.24%,$56.89B,$6.93B,12.17%,$56.89B,$6.93B,12.17%,$56.89B,$8.84B,15.55%,$56.89B,$6.05B,10.63%,$56.89B,$7.32B,12.87%,$7.32B,$30.76B,24.37%,$7.32B,$-12.46B,-55.80%,$7.32B,$90.06B,8.23%,$6.93B,$50.95B,13.75%,$14354,$10342,$4012,$582,$1390,$12103,$2251,$-225,$2026,$492,$1534,$1443,$1480,$2747,$2251,$822,831,$1.80,$1.78,$7107,$9081,$860,$28548,$8989,$0,$43222,$6461,$61514,$90062,$22541,$20190,$10700,$36757,$59298,$17213,$52384,$-7729,$30764,$90062,$4312,$1456,$148,$1604,$-636,$-810,$0,$-152,$-824,$4567,$-1043,$-301,$-387,$0,$0,$0,$-168,$-1899,$2281,$-63,$2218,$-522,$-522,$-1561,$-338,$-203,$13,$112,$-1561
9,2016-06-30,97.39,$36.62,2.66,$65.68,1.48,$12.13,8.03,$8.48,11.48,$27.97B,$22.18B,1.26,$20.13B,$30.65B,0.66,$56.32B,$15.47B,27.47%,$56.32B,$6.98B,12.39%,$56.32B,$6.98B,12.39%,$56.32B,$8.88B,15.77%,$56.32B,$6.14B,10.90%,$56.32B,$7.20B,12.79%,$7.20B,$30.65B,23.72%,$7.20B,$-12.73B,-56.61%,$7.20B,$89.48B,8.05%,$6.98B,$50.78B,13.81%,$14874,$10741,$4133,$588,$1451,$12537,$2337,$-225,$2112,$587,$1525,$1426,$1379,$2831,$2337,$825,834,$1.67,$1.65,$6785,$8747,$894,$27970,$8911,$0,$43377,$6410,$61510,$89480,$22183,$20130,$10492,$36649,$58832,$16341,$51451,$-7484,$30648,$89480,$2778,$960,$79,$1039,$-679,$-466,$0,$-130,$-703,$2606,$-649,$-199,$-488,$0,$0,$0,$-44,$-1380,$2322,$-178,$2144,$-31,$-31,$-1035,$-164,$914,$-307,$96,$-1035
