,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,65.0,$55.21,1.18,$85.80,0.76,$-16.77,0.0,$4.74,13.71,$1.70B,$0.39B,4.35,$0.37B,$1.38B,0.27,$2.18B,$0.40B,18.16%,$2.18B,$0.18B,8.39%,$2.18B,$0.18B,8.39%,$2.18B,$0.22B,10.00%,$2.18B,$0.18B,8.12%,$2.18B,$0.12B,5.50%,$0.12B,$1.38B,8.73%,$0.12B,$1.28B,9.41%,$0.12B,$2.27B,5.48%,$0.18B,$1.75B,10.50%,$540,$440,$99,$0,$45,$485,$54,$-5,$50,$15,$34,$34,$31,$64,$54,$25,25,$1.25,$1.24,$68,$1023,$128,$1699,$323,$84,$99,$47,$573,$2272,$390,$369,$42,$504,$894,$325,$1085,$-73,$1378,$2272,$45,$18,$-1,$17,$0,$0,$0,$-273,$-273,$-213,$-19,$0,$0,$0,$0,$0,$2,$-17,$0,$102,$102,$-1,$-1,$-34,$-3,$65,$-166,$0,$-34
1,2018-06-30,65.35,$54.58,1.2,$83.62,0.78,$-16.89,0.0,$4.52,14.46,$1.60B,$0.30B,5.26,$0.37B,$1.36B,0.27,$2.13B,$0.39B,18.32%,$2.13B,$0.17B,8.17%,$2.13B,$0.17B,8.17%,$2.13B,$0.21B,9.72%,$2.13B,$0.17B,7.94%,$2.13B,$0.12B,5.40%,$0.12B,$1.36B,8.45%,$0.12B,$1.26B,9.11%,$0.12B,$2.17B,5.33%,$0.17B,$1.73B,10.05%,$380,$307,$72,$0,$64,$371,$8,$-3,$6,$-5,$11,$11,$13,$17,$8,$25,25,$0.53,$0.52,$66,$1021,$142,$1599,$323,$83,$99,$46,$571,$2169,$304,$369,$46,$503,$807,$323,$1072,$-73,$1362,$2169,$11,$9,$-2,$7,$0,$0,$0,$-179,$-179,$-168,$-10,$0,$0,$0,$0,$0,$0,$-10,$0,$29,$29,$-1,$-1,$-14,$-3,$11,$-168,$0,$-14
2,2018-03-31,47.46,$55.57,0.85,$79.70,0.6,$-14.63,0.0,$4.14,11.46,$1.59B,$0.27B,5.94,$0.37B,$1.39B,0.27,$2.03B,$0.37B,18.29%,$2.03B,$0.17B,8.46%,$2.03B,$0.17B,8.46%,$2.03B,$0.21B,10.08%,$2.03B,$0.17B,8.16%,$2.03B,$0.11B,5.21%,$0.11B,$1.39B,7.84%,$0.11B,$1.29B,8.46%,$0.11B,$2.17B,4.95%,$0.17B,$1.75B,10.00%,$607,$491,$116,$0,$56,$547,$61,$-1,$59,$25,$34,$34,$31,$69,$61,$25,26,$1.21,$1.20,$234,$749,$211,$1589,$324,$89,$99,$50,$580,$2169,$268,$369,$46,$516,$783,$322,$1081,$-60,$1385,$2169,$116,$35,$6,$41,$38,$-116,$0,$-4,$-68,$83,$-29,$0,$0,$0,$0,$0,$-1,$-29,$0,$-18,$-18,$-22,$-22,$-62,$-3,$-105,$-50,$8,$-62
3,2017-12-31,50.83,$54.58,0.93,$83.23,0.61,$-7.64,0.0,$1.30,39.1,$1.58B,$0.26B,6.15,$0.37B,$1.37B,0.27,$2.08B,$0.38B,18.05%,$2.08B,$0.17B,8.23%,$2.08B,$0.17B,8.23%,$2.08B,$0.21B,9.92%,$2.08B,$0.16B,7.85%,$2.08B,$0.03B,1.64%,$0.03B,$1.37B,2.54%,$0.03B,$1.27B,2.75%,$0.03B,$2.15B,1.60%,$0.17B,$1.74B,10.02%,$654,$545,$109,$0,$49,$594,$60,$3,$62,$12,$50,$50,$45,$68,$60,$25,25,$1.80,$1.78,$147,$866,$202,$1578,$317,$86,$99,$49,$572,$2150,$257,$369,$47,$523,$779,$322,$1059,$-55,$1371,$2150,$82,$26,$-18,$8,$0,$0,$0,$-151,$-151,$-49,$-18,$0,$0,$0,$0,$0,$-1,$-19,$0,$-12,$-12,$-13,$-13,$-41,$-4,$-70,$-137,$0,$-41
4,2017-09-30,54.95,$52.92,1.04,$81.45,0.67,$0.56,98.65,$1.44,38.16,$1.57B,$0.28B,5.6,$0.37B,$1.33B,0.28,$2.09B,$0.40B,19.17%,$2.09B,$0.19B,9.27%,$2.09B,$0.19B,9.27%,$2.09B,$0.23B,10.99%,$2.09B,$0.19B,8.84%,$2.09B,$0.04B,1.86%,$0.04B,$1.33B,2.86%,$0.04B,$1.23B,3.08%,$0.04B,$2.14B,1.82%,$0.19B,$1.70B,11.19%,$488,$395,$93,$0,$48,$443,$45,$-3,$42,$14,$28,$28,$26,$53,$45,$25,26,$1.03,$1.02,$41,$959,$161,$1572,$317,$86,$99,$42,$568,$2140,$281,$369,$31,$530,$811,$320,$1027,$-59,$1329,$2140,$32,$17,$-3,$14,$0,$0,$0,$-279,$-279,$-226,$-11,$0,$0,$0,$0,$0,$2,$-9,$0,$36,$36,$-13,$-13,$-29,$-3,$-8,$-243,$0,$-29
5,2017-06-30,61.52,$52.19,1.18,$78.68,0.78,$10.04,6.13,$1.32,46.61,$1.54B,$0.26B,5.94,$0.37B,$1.32B,0.28,$2.06B,$0.40B,19.21%,$2.06B,$0.19B,9.32%,$2.06B,$0.19B,9.32%,$2.06B,$0.23B,11.11%,$2.06B,$0.18B,8.93%,$2.06B,$0.04B,1.70%,$0.04B,$1.32B,2.51%,$0.04B,$1.22B,2.71%,$0.04B,$2.11B,1.61%,$0.19B,$1.69B,10.90%,$285,$231,$54,$0,$47,$278,$6,$-4,$3,$-0,$3,$3,$4,$15,$6,$25,26,$0.14,$0.14,$129,$993,$130,$1539,$316,$83,$99,$42,$566,$2105,$259,$369,$31,$524,$783,$321,$1025,$-64,$1322,$2105,$3,$9,$-5,$4,$0,$0,$0,$-123,$-123,$-117,$-6,$0,$0,$0,$0,$0,$0,$-6,$0,$-16,$-16,$0,$0,$-14,$-3,$-33,$-155,$0,$-14
6,2017-03-31,66.76,$52.49,1.27,$80.57,0.83,$15.24,4.38,$0.78,85.59,$1.56B,$0.27B,5.83,$0.37B,$1.33B,0.28,$2.07B,$0.39B,19.02%,$2.07B,$0.18B,8.59%,$2.07B,$0.18B,8.59%,$2.07B,$0.22B,10.38%,$2.07B,$0.17B,8.16%,$2.07B,$0.02B,1.06%,$0.02B,$1.33B,1.55%,$0.02B,$1.23B,1.67%,$0.02B,$2.12B,1.00%,$0.18B,$1.70B,9.97%,$650,$531,$119,$0,$59,$590,$60,$-3,$56,$20,$36,$36,$-41,$70,$60,$23,24,$-1.83,$-1.54,$284,$634,$185,$1561,$317,$78,$99,$42,$562,$2123,$268,$369,$31,$529,$797,$321,$1035,$-70,$1327,$2123,$113,$36,$47,$83,$-14,$52,$0,$-5,$59,$250,$-33,$0,$0,$0,$0,$0,$-0,$-34,$0,$-5,$-5,$0,$-178,$-65,$-2,$-251,$-35,$6,$-54
7,2016-12-31,59.65,$58.62,1.02,$82.12,0.73,$11.23,5.31,$4.14,14.41,$1.67B,$0.24B,6.97,$0.37B,$1.38B,0.27,$2.23B,$0.42B,18.70%,$2.23B,$0.20B,8.90%,$2.23B,$0.20B,8.90%,$2.23B,$0.24B,10.56%,$2.23B,$0.19B,8.67%,$2.23B,$0.11B,4.81%,$0.11B,$1.48B,7.38%,$0.11B,$1.38B,7.92%,$0.11B,$2.23B,4.81%,$0.20B,$1.85B,10.89%,$669,$533,$135,$0,$52,$586,$83,$1,$84,$27,$57,$57,$50,$92,$83,$23,28,$2.17,$1.92,$412,$804,$155,$1665,$321,$76,$99,$42,$562,$2227,$239,$369,$30,$507,$745,$320,$1090,$-72,$1482,$2227,$76,$26,$16,$43,$0,$0,$0,$57,$57,$183,$-28,$0,$0,$0,$0,$0,$0,$-28,$0,$-11,$-11,$0,$0,$-47,$-4,$-62,$92,$0,$-36
8,2016-09-30,53.97,$63.15,0.85,$79.22,0.68,$4.74,11.4,$3.82,14.13,$1.64B,$0.26B,6.27,$0.37B,$1.23B,0.3,$2.14B,$0.40B,18.73%,$2.14B,$0.18B,8.59%,$2.14B,$0.18B,8.59%,$2.14B,$0.22B,10.32%,$2.14B,$0.18B,8.27%,$2.14B,$0.10B,4.58%,$0.10B,$1.44B,6.83%,$0.10B,$1.34B,7.34%,$0.10B,$2.22B,4.41%,$0.18B,$1.81B,10.21%,$457,$369,$88,$0,$41,$414,$43,$-3,$41,$14,$26,$26,$22,$52,$43,$23,28,$0.95,$0.90,$295,$914,$104,$1641,$322,$81,$99,$49,$578,$2219,$262,$369,$41,$518,$780,$211,$1054,$-74,$1439,$2219,$19,$17,$13,$30,$0,$0,$0,$-26,$-26,$22,$-17,$0,$0,$0,$0,$0,$0,$-17,$0,$5,$5,$0,$0,$-31,$-4,$-30,$-25,$0,$-24
9,2016-06-30,53.04,$62.59,0.85,$79.26,0.67,$-1.52,0.0,$3.73,14.22,$1.63B,$0.27B,5.95,$0.37B,$1.21B,0.3,$2.14B,$0.41B,19.21%,$2.14B,$0.18B,8.32%,$2.14B,$0.18B,8.32%,$2.14B,$0.22B,10.09%,$2.14B,$0.17B,7.94%,$2.14B,$0.10B,4.44%,$0.10B,$1.43B,6.68%,$0.10B,$1.33B,7.18%,$0.10B,$2.21B,4.26%,$0.18B,$1.79B,9.95%,$295,$243,$52,$0,$60,$303,$-8,$-4,$-12,$-4,$-8,$-8,$-9,$1,$-8,$23,23,$-0.40,$-0.40,$316,$912,$120,$1634,$323,$80,$99,$58,$580,$2214,$274,$368,$45,$515,$789,$209,$1045,$-77,$1425,$2214,$-8,$9,$10,$18,$0,$0,$0,$-3,$-3,$16,$-7,$0,$0,$0,$0,$0,$0,$-7,$0,$6,$6,$0,$0,$-16,$-2,$-12,$-3,$0,$-12
