,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.9,$1.73,1.67,$5.20,0.56,$0.57,5.09,$-0.33,0.0,$4.75B,$4.82B,0.99,$8.17B,$3.03B,2.7,$9.16B,$7.04B,76.87%,$9.16B,$0.59B,6.45%,$9.16B,$0.59B,6.45%,$9.16B,$3.23B,35.25%,$9.16B,$-0.83B,-9.08%,$9.16B,$0.29B,3.18%,$0.29B,$3.03B,8.60%,$0.29B,$-2.98B,-9.13%,$0.29B,$16.43B,1.61%,$0.59B,$11.20B,4.65%,$2317,$547,$1770,$0,$922,$2708,$-391,$-235,$-626,$92,$-718,$-718,$855,$855,$-391,$1745,1745,$0.49,$0.49,$3442,$184,$495,$4749,$5279,$19,$6006,$142,$11682,$16431,$4823,$8170,$177,$8578,$13401,$2,$-1366,$0,$3030,$16431,$-305,$2186,$673,$2859,$123,$-125,$168,$0,$166,$1880,$-1492,$0,$2,$3922,$0,$3922,$0,$2432,$-1875,$0,$-1875,$0,$0,$-579,$0,$-2454,$1794,$0,$-579
1,2018-06-30,2.28,$1.71,1.33,$5.35,0.43,$0.62,3.67,$-0.26,0.0,$4.82B,$4.95B,0.98,$9.04B,$3.00B,3.02,$9.30B,$7.16B,77.05%,$9.30B,$1.53B,16.42%,$9.30B,$1.53B,16.42%,$9.30B,$3.41B,36.66%,$9.30B,$0.16B,1.74%,$9.30B,$-0.45B,-4.82%,$-0.45B,$3.00B,-11.96%,$-0.45B,$-3.59B,14.89%,$-0.45B,$17.44B,-2.36%,$1.53B,$12.04B,11.22%,$2270,$531,$1739,$0,$882,$1878,$392,$-221,$171,$139,$32,$32,$-139,$857,$392,$1738,1738,$-0.08,$-0.08,$1424,$184,$2568,$4819,$5686,$18,$6580,$139,$12623,$17442,$4945,$9044,$171,$9502,$14447,$2,$-1984,$0,$2995,$17442,$338,$940,$440,$1380,$100,$-120,$181,$0,$161,$1302,$-1170,$0,$2,$1078,$0,$1078,$0,$-90,$-1036,$0,$-1036,$0,$0,$-297,$0,$-1333,$-162,$0,$-297
2,2018-03-31,2.53,$2.07,1.22,$5.44,0.46,$0.53,4.73,$-0.34,0.0,$3.41B,$4.87B,0.7,$9.74B,$3.62B,2.69,$9.44B,$7.31B,77.37%,$9.44B,$1.52B,16.13%,$9.44B,$1.52B,16.13%,$9.44B,$3.48B,36.85%,$9.44B,$-0.12B,-1.24%,$9.44B,$-0.59B,-6.22%,$-0.59B,$3.62B,-13.76%,$-0.59B,$-3.29B,22.75%,$-0.59B,$18.75B,-2.95%,$1.52B,$13.36B,10.68%,$2250,$497,$1753,$0,$899,$1888,$362,$-325,$37,$119,$-82,$-82,$-109,$837,$362,$1817,1817,$-0.06,$-0.06,$1502,$123,$1105,$3406,$6050,$1854,$6909,$311,$15344,$18750,$4872,$9742,$168,$10257,$15129,$2,$-1827,$0,$3621,$18750,$37,$475,$374,$849,$45,$-50,$101,$0,$96,$702,$-672,$0,$8,$1032,$0,$1032,$0,$368,$-715,$0,$-715,$0,$0,$-286,$0,$-1001,$89,$0,$-286
3,2017-12-31,3.47,$2.22,1.56,$4.20,0.83,$0.52,6.71,$-0.28,0.0,$3.94B,$4.65B,0.85,$10.36B,$3.89B,2.66,$9.47B,$7.34B,77.42%,$9.47B,$1.51B,15.90%,$9.47B,$1.51B,15.90%,$9.47B,$3.50B,36.91%,$9.47B,$-0.02B,-0.25%,$9.47B,$-0.48B,-5.10%,$-0.48B,$3.89B,-10.20%,$-0.48B,$-2.90B,22.40%,$-0.48B,$19.48B,-2.37%,$1.51B,$14.25B,10.55%,$2320,$543,$1777,$0,$1024,$2092,$228,$-641,$-413,$93,$-506,$-506,$-316,$679,$228,$1749,1749,$-0.19,$-0.19,$2444,$72,$670,$3941,$6237,$1955,$6786,$229,$15543,$19484,$4650,$10362,$206,$10944,$15594,$2,$-1487,$0,$3890,$19484,$-24,$1991,$1501,$3492,$-168,$54,$311,$0,$197,$2475,$-2029,$0,$12,$-997,$-2,$-999,$0,$-3016,$245,$0,$245,$0,$0,$-719,$-259,$-733,$-1638,$0,$-719
4,2017-09-30,3.78,$2.56,1.47,$4.22,0.89,$0.40,9.47,$-0.09,0.0,$4.74B,$5.05B,0.94,$10.27B,$4.48B,2.29,$9.51B,$7.39B,77.67%,$9.51B,$1.37B,14.40%,$9.51B,$1.37B,14.40%,$9.51B,$3.40B,35.79%,$9.51B,$0.30B,3.16%,$9.51B,$1.39B,14.62%,$1.39B,$4.48B,26.35%,$1.39B,$-2.27B,-83.75%,$1.39B,$20.28B,6.69%,$1.37B,$14.75B,9.62%,$2456,$562,$1894,$0,$852,$1912,$544,$-177,$367,$173,$194,$194,$116,$1035,$544,$1657,1657,$0.07,$0.07,$2810,$93,$1096,$4744,$6115,$2185,$6746,$217,$15536,$20280,$5046,$10267,$228,$10754,$15800,$2,$-1139,$0,$4480,$20280,$478,$1540,$736,$2276,$-176,$34,$217,$0,$75,$1996,$-1544,$0,$0,$-146,$0,$-146,$0,$-1690,$590,$0,$590,$0,$0,$-687,$-259,$-356,$-377,$0,$-687
5,2017-06-30,3.44,$2.90,1.18,$4.06,0.85,$0.32,10.83,$0.09,38.18,$5.02B,$5.87B,0.86,$9.58B,$5.08B,1.89,$9.41B,$7.30B,77.59%,$9.41B,$1.23B,13.08%,$9.41B,$1.23B,13.08%,$9.41B,$3.26B,34.59%,$9.41B,$0.12B,1.26%,$9.41B,$1.72B,18.26%,$1.72B,$5.08B,31.99%,$1.72B,$-1.87B,-105.14%,$1.72B,$21.03B,6.93%,$1.23B,$14.66B,8.85%,$2417,$535,$1882,$0,$951,$2028,$389,$-497,$-108,$65,$-173,$-173,$-278,$929,$389,$1738,1738,$-0.16,$-0.16,$3114,$116,$1102,$5021,$6315,$2330,$6948,$154,$16013,$21034,$5867,$9577,$183,$10089,$15956,$2,$-1069,$0,$5078,$21034,$111,$1049,$563,$1612,$119,$11,$-66,$0,$64,$1162,$-1181,$0,$0,$-133,$0,$-133,$0,$-1314,$836,$0,$836,$0,$0,$-414,$-259,$163,$-69,$0,$-414
6,2017-03-31,3.59,$3.14,1.14,$3.93,0.91,$0.17,20.61,$0.33,10.86,$3.87B,$6.61B,0.59,$7.93B,$5.50B,1.44,$9.15B,$7.10B,77.65%,$9.15B,$1.13B,12.30%,$9.15B,$1.13B,12.30%,$9.15B,$3.12B,34.08%,$9.15B,$0.32B,3.52%,$9.15B,$2.13B,23.32%,$2.13B,$5.50B,40.93%,$2.13B,$-1.59B,-124.40%,$2.13B,$20.57B,7.55%,$1.13B,$13.43B,8.42%,$2281,$499,$1782,$0,$921,$1936,$345,$-215,$130,$141,$-11,$-11,$-5,$854,$345,$0,0,$0.00,$0.00,$2426,$138,$599,$3873,$6753,$2397,$7089,$147,$16694,$20567,$6605,$7929,$192,$8466,$15071,$2,$-787,$0,$5496,$20567,$130,$509,$156,$665,$-30,$-6,$144,$0,$108,$584,$-485,$0,$0,$-104,$0,$-104,$0,$-589,$-418,$0,$-418,$0,$0,$-69,$-259,$-746,$-770,$0,$-69
7,2016-12-31,3.22,$3.46,0.93,$5.10,0.63,$-0.22,0.0,$0.33,9.77,$4.55B,$6.56B,0.69,$8.07B,$6.04B,1.34,$8.89B,$6.90B,77.66%,$8.89B,$1.08B,12.20%,$8.89B,$1.08B,12.20%,$8.89B,$3.02B,33.99%,$8.89B,$0.35B,3.91%,$8.89B,$2.33B,26.20%,$2.33B,$6.04B,47.61%,$2.33B,$-0.91B,-122.54%,$2.33B,$21.19B,7.37%,$1.08B,$14.11B,8.31%,$2354,$527,$1827,$0,$1044,$2263,$91,$-180,$-89,$269,$-358,$-358,$1557,$585,$91,$1749,1749,$0.89,$0.89,$3132,$125,$608,$4550,$6719,$2485,$6953,$143,$16643,$21193,$6557,$8070,$192,$8593,$15150,$2,$-439,$0,$6043,$21193,$347,$1936,$987,$2923,$-129,$-13,$-107,$0,$-249,$1875,$-1636,$0,$-967,$-68,$0,$-68,$0,$-2671,$66,$0,$66,$0,$0,$-167,$-25,$-126,$-672,$0,$-167
8,2016-09-30,2.88,$2.79,1.03,$5.06,0.57,$-0.44,0.0,$0.33,8.74,$21.94B,$22.35B,0.98,$8.58B,$4.87B,1.76,$8.81B,$6.82B,77.43%,$8.81B,$1.16B,13.15%,$8.81B,$1.16B,13.15%,$8.81B,$3.09B,35.11%,$8.81B,$0.35B,4.02%,$8.81B,$0.83B,9.41%,$0.83B,$4.87B,19.05%,$0.83B,$-2.17B,-35.88%,$0.83B,$36.38B,2.38%,$1.16B,$13.45B,9.27%,$2361,$548,$1813,$0,$917,$1955,$406,$-220,$186,$114,$72,$72,$445,$888,$406,$1780,1780,$0.25,$0.25,$3865,$117,$17080,$21937,$6430,$493,$7041,$140,$14444,$36381,$22352,$8580,$277,$9155,$31507,$2,$-1935,$0,$4874,$36381,$436,$1442,$426,$1868,$-127,$-1,$87,$0,$-41,$1430,$-1089,$0,$-572,$-9,$0,$-9,$0,$-1670,$474,$0,$474,$0,$0,$-106,$-19,$349,$70,$0,$-106
9,2016-06-30,3.21,$0.00,0.0,$5.12,0.63,$-0.89,0.0,$-0.49,0.0,$21.23B,$21.73B,0.98,$8.03B,$0.00B,0.0,$8.89B,$6.90B,77.52%,$8.89B,$0.27B,3.07%,$8.89B,$0.27B,3.07%,$8.89B,$2.26B,25.35%,$8.89B,$-0.67B,-7.49%,$8.89B,$-0.62B,-6.98%,$-0.62B,$4.44B,-14.65%,$-0.62B,$-2.19B,26.31%,$-0.62B,$34.89B,-1.80%,$0.27B,$12.47B,2.24%,$2153,$471,$1682,$0,$887,$1870,$283,$-188,$95,$135,$-40,$-40,$137,$791,$283,$1713,1713,$0.08,$0.08,$3829,$92,$16524,$21234,$6220,$543,$6634,$132,$13653,$34888,$21732,$8031,$306,$8714,$30446,$0,$0,$0,$4442,$34888,$250,$960,$-80,$880,$-162,$25,$0,$0,$-137,$442,$-706,$0,$-412,$23,$-82,$-59,$0,$-1177,$728,$0,$728,$0,$0,$0,$-9,$719,$21,$0,$0
