,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.28,$2.99,0.76,$5.84,0.39,$1.64,1.39,$1.12,2.04,$1.47B,$0.38B,3.85,$0.81B,$0.35B,2.33,$2.00B,$0.75B,37.53%,$2.00B,$0.44B,21.94%,$2.00B,$0.44B,21.94%,$2.00B,$0.49B,24.75%,$2.00B,$0.32B,15.78%,$2.00B,$0.39B,19.29%,$0.39B,$1.02B,43.59%,$0.39B,$0.64B,76.46%,$0.39B,$2.77B,13.19%,$0.44B,$1.83B,23.25%,$475,$323,$153,$0,$78,$404,$71,$-14,$57,$-91,$148,$148,$144,$86,$71,$342,342,$0.42,$0.42,$589,$464,$35,$1470,$570,$85,$380,$170,$1299,$2769,$382,$810,$250,$1373,$1754,$4,$209,$-181,$1015,$2769,$277,$44,$-147,$-104,$-18,$-72,$0,$11,$4,$192,$-20,$0,$0,$14,$0,$14,$-29,$-35,$-10,$0,$-10,$0,$0,$-20,$-12,$-42,$107,$0,$-20
1,2018-06-30,4.76,$2.57,1.85,$5.91,0.81,$1.60,2.97,$0.83,5.73,$1.44B,$0.38B,3.76,$1.06B,$0.20B,5.23,$2.02B,$0.77B,37.83%,$2.02B,$0.46B,22.70%,$2.02B,$0.46B,22.70%,$2.02B,$0.51B,25.37%,$2.02B,$0.34B,16.57%,$2.02B,$0.29B,14.19%,$0.29B,$0.87B,36.75%,$0.29B,$0.49B,71.53%,$0.29B,$3.00B,9.79%,$0.46B,$1.93B,24.75%,$530,$326,$203,$0,$80,$410,$120,$-78,$42,$22,$20,$20,$12,$134,$120,$342,342,$0.03,$0.03,$571,$429,$32,$1443,$567,$337,$380,$176,$1558,$3001,$384,$1062,$259,$1747,$2131,$4,$73,$-185,$870,$3001,$128,$29,$-26,$3,$-39,$-42,$0,$20,$22,$160,$-8,$0,$0,$0,$0,$0,$-29,$-37,$-4,$0,$-4,$0,$0,$-14,$-8,$-25,$89,$0,$-14
2,2018-03-31,6.04,$2.60,2.33,$5.78,1.04,$1.33,4.54,$0.83,7.28,$1.38B,$0.33B,4.26,$1.09B,$0.21B,5.1,$1.98B,$0.71B,35.89%,$1.98B,$0.42B,21.03%,$1.98B,$0.42B,21.03%,$1.98B,$0.47B,23.91%,$1.98B,$0.36B,18.00%,$1.98B,$0.28B,14.36%,$0.28B,$0.88B,40.89%,$0.28B,$0.50B,90.30%,$0.28B,$3.00B,10.06%,$0.42B,$1.97B,23.79%,$486,$281,$206,$0,$80,$365,$122,$-15,$106,$36,$70,$70,$89,$136,$122,$342,342,$0.26,$0.26,$495,$447,$24,$1382,$596,$338,$380,$190,$1616,$2998,$325,$1089,$251,$1792,$2117,$4,$67,$-170,$881,$2998,$108,$15,$-28,$-13,$-38,$-42,$0,$0,$-49,$48,$3,$0,$0,$-0,$0,$-0,$-28,$-26,$-3,$0,$-3,$0,$0,$-7,$-4,$-13,$14,$0,$-7
3,2017-12-31,6.13,$2.24,2.74,$5.57,1.1,$1.25,4.91,$0.61,10.05,$1.26B,$0.33B,3.81,$1.04B,$0.10B,10.48,$1.91B,$0.63B,32.97%,$1.91B,$0.35B,18.43%,$1.91B,$0.35B,18.43%,$1.91B,$0.41B,21.52%,$1.91B,$0.29B,15.33%,$1.91B,$0.21B,10.92%,$0.21B,$0.77B,35.21%,$0.21B,$0.39B,98.70%,$0.21B,$2.91B,7.68%,$0.35B,$1.81B,21.65%,$505,$319,$187,$0,$75,$380,$125,$-15,$110,$-53,$163,$163,$140,$138,$125,$342,342,$0.41,$0.41,$455,$398,$43,$1262,$589,$342,$380,$215,$1645,$2908,$331,$1042,$307,$1810,$2141,$4,$-18,$-179,$767,$2908,$303,$59,$-111,$-52,$-12,$-6,$0,$-6,$9,$259,$-71,$-2,$0,$-1,$0,$-1,$-0,$-74,$148,$0,$148,$0,$0,$-27,$-27,$94,$293,$0,$-27
4,2017-09-30,2.41,$1.79,1.35,$5.18,0.47,$0.76,3.16,$0.23,10.47,$1.22B,$0.35B,3.44,$1.10B,$-0.06B,-18.05,$1.77B,$0.56B,31.73%,$1.77B,$0.30B,17.11%,$1.77B,$0.30B,17.11%,$1.77B,$0.37B,20.61%,$1.77B,$0.25B,14.00%,$1.77B,$0.08B,4.35%,$0.08B,$0.61B,15.10%,$0.08B,$0.23B,59.12%,$0.08B,$2.82B,2.97%,$0.30B,$1.71B,20.16%,$501,$332,$169,$0,$65,$409,$92,$-15,$77,$15,$62,$62,$46,$105,$92,$342,342,$0.13,$0.13,$439,$353,$42,$1218,$575,$332,$380,$194,$1601,$2818,$354,$1103,$218,$1858,$2212,$4,$-151,$-183,$606,$2818,$141,$46,$14,$61,$-90,$40,$0,$-9,$1,$204,$-46,$-2,$0,$1,$0,$1,$-0,$-48,$150,$0,$150,$0,$0,$-20,$-19,$111,$279,$0,$-20
5,2017-06-30,2.93,$1.54,1.89,$4.92,0.59,$0.30,9.72,$0.11,26.6,$0.99B,$0.32B,3.09,$0.99B,$-0.14B,-6.86,$1.68B,$0.49B,28.82%,$1.68B,$0.24B,14.20%,$1.68B,$0.24B,14.20%,$1.68B,$0.30B,18.06%,$1.68B,$0.18B,10.87%,$1.68B,$0.03B,2.02%,$0.03B,$0.52B,7.04%,$0.03B,$0.14B,33.01%,$0.03B,$2.57B,1.35%,$0.24B,$1.51B,16.57%,$486,$338,$148,$0,$66,$408,$77,$-15,$63,$-101,$163,$163,$9,$94,$77,$342,342,$0.03,$0.03,$233,$359,$30,$988,$555,$328,$380,$197,$1584,$2572,$320,$985,$230,$1728,$2048,$4,$-190,$-205,$524,$2572,$77,$33,$-0,$33,$-78,$23,$0,$18,$-23,$89,$-31,$-2,$0,$-0,$0,$-0,$0,$-33,$27,$0,$27,$0,$0,$-14,$-7,$6,$71,$0,$-14
6,2017-03-31,3.2,$1.37,2.33,$4.70,0.68,$0.03,116.43,$0.06,53.36,$0.92B,$0.32B,2.88,$0.99B,$-0.20B,-4.94,$1.61B,$0.41B,25.53%,$1.61B,$0.17B,10.59%,$1.61B,$0.17B,10.59%,$1.61B,$0.24B,14.69%,$1.61B,$0.11B,6.97%,$1.61B,$0.02B,1.00%,$0.02B,$0.47B,3.38%,$0.02B,$0.09B,17.07%,$0.02B,$2.54B,0.64%,$0.17B,$1.46B,11.89%,$413,$289,$124,$0,$64,$356,$57,$-15,$42,$19,$24,$24,$13,$73,$57,$342,342,$0.04,$0.04,$213,$378,$27,$921,$657,$337,$380,$246,$1621,$2542,$320,$993,$227,$1756,$2076,$4,$-193,$-214,$466,$2542,$22,$17,$3,$19,$-23,$-12,$0,$9,$-6,$37,$-14,$-0,$0,$2,$0,$2,$0,$-12,$35,$0,$35,$0,$0,$-7,$-4,$25,$50,$0,$-7
7,2016-12-31,3.36,$1.30,2.58,$4.56,0.74,$-0.18,0.0,$-0.04,0.0,$0.84B,$0.29B,2.85,$0.89B,$-0.22B,-3.99,$1.56B,$0.34B,21.76%,$1.56B,$0.10B,6.61%,$1.56B,$0.10B,6.61%,$1.56B,$0.17B,10.91%,$1.56B,$0.04B,2.50%,$1.56B,$-0.02B,-1.09%,$-0.02B,$0.44B,-3.52%,$-0.02B,$0.07B,-16.35%,$-0.02B,$2.44B,-0.68%,$0.10B,$1.33B,7.18%,$371,$250,$121,$0,$45,$294,$77,$-11,$66,$24,$42,$42,$9,$93,$77,$342,342,$0.02,$0.02,$177,$359,$43,$837,$516,$332,$380,$376,$1606,$2443,$294,$889,$286,$1705,$1999,$4,$-199,$-222,$444,$2443,$-3,$68,$-23,$44,$-34,$40,$0,$27,$37,$80,$-59,$-2,$0,$-1,$0,$-1,$-1,$-62,$3,$0,$3,$0,$0,$-27,$-22,$-46,$-33,$0,$-27
8,2016-09-30,2.22,$1.47,1.51,$4.37,0.51,$-0.34,0.0,$-0.17,0.0,$0.89B,$0.31B,2.91,$0.97B,$-0.17B,-5.71,$1.49B,$0.28B,18.55%,$1.49B,$0.04B,2.95%,$1.49B,$0.04B,2.95%,$1.49B,$0.11B,7.43%,$1.49B,$-0.04B,-2.61%,$1.49B,$-0.06B,-3.75%,$-0.06B,$0.50B,-11.11%,$-0.06B,$0.12B,-44.98%,$-0.06B,$2.53B,-2.22%,$0.04B,$1.47B,2.99%,$413,$322,$92,$0,$64,$386,$28,$-16,$12,$3,$9,$9,$3,$44,$28,$342,342,$0.01,$0.01,$213,$334,$43,$892,$672,$336,$380,$248,$1638,$2530,$306,$971,$216,$1727,$2033,$4,$-201,$-183,$497,$2530,$-21,$51,$-4,$47,$-58,$82,$0,$-9,$13,$40,$-39,$-1,$0,$0,$0,$0,$-1,$-40,$36,$0,$36,$0,$0,$-20,$-10,$5,$6,$0,$-20
9,2016-06-30,1.5,$1.44,1.05,$4.30,0.35,$-0.35,0.0,$-0.21,0.0,$0.88B,$0.31B,2.83,$0.97B,$-0.18B,-5.37,$1.47B,$0.24B,16.41%,$1.47B,$0.01B,0.54%,$1.47B,$0.01B,0.54%,$1.47B,$0.08B,5.17%,$1.47B,$-0.07B,-5.04%,$1.47B,$-0.07B,-4.83%,$-0.07B,$0.49B,-13.52%,$-0.07B,$0.11B,-48.88%,$-0.07B,$2.52B,-2.79%,$0.01B,$1.46B,0.54%,$409,$336,$73,$0,$65,$401,$8,$-16,$-8,$0,$-8,$-8,$-9,$26,$8,$342,342,$-0.02,$-0.02,$198,$355,$28,$880,$668,$333,$380,$255,$1637,$2517,$311,$971,$217,$1720,$2030,$4,$-197,$-190,$487,$2517,$-30,$35,$-4,$30,$-54,$59,$0,$3,$-9,$-9,$-27,$-1,$0,$-1,$0,$-1,$-0,$-29,$48,$0,$48,$0,$0,$-14,$-7,$27,$-10,$0,$-14
