,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,49.67,$58.56,0.85,$48.86,1.02,$26.88,1.85,$-13.31,0.0,$8.95B,$66.04B,0.14,$5.56B,$9.20B,0.6,$8.52B,$3.91B,45.94%,$8.52B,$0.67B,7.84%,$8.52B,$0.90B,10.59%,$8.52B,$0.90B,10.59%,$8.52B,$0.67B,7.84%,$8.52B,$-2.41B,-28.30%,$-2.41B,$9.20B,-24.18%,$-2.41B,$9.20B,-24.18%,$-2.41B,$165.04B,-1.25%,$0.67B,$14.76B,4.38%,$2252,$1268,$984,$0,$86,$2066,$186,$0,$186,$21,$165,$165,$142,$241,$241,$160,164,$0.89,$0.87,$1885,$0,$0,$8953,$0,$66363,$0,$84537,$156083,$165036,$66040,$5556,$84240,$89796,$155836,$3,$-11853,$777,$9200,$165036,$172,$0,$1462,$1462,$0,$0,$0,$0,$0,$1634,$0,$0,$-25,$419,$-516,$-97,$173,$51,$175,$0,$175,$-747,$-428,$-5,$-1354,$-1612,$73,$0,$-5
1,2018-06-30,47.0,$57.04,0.82,$47.10,1.0,$23.09,2.04,$-13.37,0.0,$9.24B,$66.51B,0.14,$5.42B,$9.24B,0.59,$8.45B,$3.92B,46.40%,$8.45B,$0.52B,6.18%,$8.45B,$0.77B,9.09%,$8.45B,$0.77B,9.09%,$8.45B,$0.52B,6.18%,$8.45B,$-2.40B,-28.45%,$-2.40B,$9.24B,-21.23%,$-2.40B,$9.24B,-21.32%,$-2.40B,$162.74B,-1.16%,$0.52B,$14.66B,3.10%,$2113,$1088,$1025,$0,$74,$1872,$241,$0,$241,$45,$196,$196,$166,$303,$303,$167,173,$1.00,$0.96,$1620,$0,$0,$9237,$0,$66210,$0,$82019,$153503,$162740,$66508,$5415,$81575,$86990,$153498,$3,$-11995,$943,$9242,$162740,$-408,$0,$1462,$1462,$0,$0,$0,$0,$0,$1054,$0,$0,$-6,$403,$-412,$-9,$102,$87,$375,$0,$375,$-499,$-499,$-3,$-1196,$-1323,$-182,$0,$-3
2,2018-03-31,50.49,$60.67,0.83,$46.55,1.08,$19.95,2.53,$-13.44,0.0,$9.20B,$66.27B,0.14,$5.18B,$10.41B,0.5,$8.53B,$3.95B,46.33%,$8.53B,$0.44B,5.11%,$8.53B,$0.69B,8.11%,$8.53B,$0.69B,8.11%,$8.53B,$0.44B,5.11%,$8.53B,$-2.40B,-28.18%,$-2.40B,$10.41B,-19.09%,$-2.40B,$10.41B,-19.24%,$-2.40B,$219.82B,-1.08%,$0.44B,$15.59B,2.43%,$1967,$1090,$877,$0,$100,$1946,$21,$0,$21,$4,$17,$17,$446,$76,$76,$172,178,$2.59,$2.50,$1597,$0,$0,$9198,$0,$66778,$0,$139057,$210626,$219824,$66272,$5177,$137966,$143143,$209415,$3,$-12161,$1511,$10409,$219824,$38,$0,$363,$363,$0,$0,$0,$0,$0,$401,$0,$0,$-24,$278,$-383,$-105,$365,$236,$117,$0,$117,$2,$2,$-2,$-514,$-397,$240,$0,$-2
3,2017-12-31,49.45,$64.19,0.77,$46.10,1.07,$17.45,2.83,$-16.69,0.0,$9.07B,$66.69B,0.14,$4.99B,$11.04B,0.45,$8.62B,$3.98B,46.21%,$8.62B,$0.53B,6.13%,$8.62B,$0.79B,9.19%,$8.62B,$0.79B,9.19%,$8.62B,$0.53B,6.13%,$8.62B,$-2.99B,-34.72%,$-2.99B,$11.04B,-22.24%,$-2.99B,$11.04B,-22.49%,$-2.99B,$222.53B,-1.35%,$0.53B,$16.03B,2.84%,$2186,$1159,$1027,$0,$61,$1966,$220,$0,$220,$687,$-467,$-467,$-3165,$282,$282,$184,184,$-17.23,$-17.21,$1435,$0,$0,$9067,$0,$68380,$0,$140930,$213465,$222532,$66692,$4989,$139812,$144801,$211493,$3,$-12719,$2731,$11039,$222532,$-2792,$534,$4479,$5013,$298,$0,$-41,$-900,$-643,$1578,$0,$0,$-96,$-80,$-1059,$-1139,$-1193,$-2428,$-239,$0,$-239,$-920,$-920,$-8,$822,$-345,$-1195,$117,$-8
4,2017-09-30,39.87,$81.29,0.49,$36.96,1.08,$26.60,1.5,$-1.79,0.0,$9.37B,$93.90B,0.1,$6.44B,$14.61B,0.44,$6.99B,$3.53B,50.50%,$6.99B,$0.28B,4.01%,$6.99B,$0.55B,7.92%,$6.99B,$0.55B,7.92%,$6.99B,$0.28B,3.99%,$6.99B,$-0.26B,-3.71%,$-0.26B,$14.61B,-1.83%,$-0.26B,$14.42B,-1.85%,$-0.26B,$226.64B,-0.12%,$0.28B,$21.05B,1.46%,$2184,$1192,$992,$0,$209,$2144,$40,$0,$40,$-40,$80,$80,$149,$107,$107,$180,182,$0.83,$0.81,$2073,$0,$0,$9371,$0,$99061,$196,$112143,$217273,$226644,$93898,$6440,$111693,$118135,$212033,$3,$-9656,$2832,$14611,$226644,$510,$0,$616,$616,$0,$0,$0,$0,$0,$1126,$0,$0,$-50,$54,$-1303,$-1249,$-984,$-2283,$-295,$0,$-295,$-420,$-420,$-6,$934,$213,$-944,$0,$-6
5,2017-06-30,36.86,$79.54,0.46,$37.65,0.98,$32.62,1.13,$-3.83,0.0,$9.99B,$94.03B,0.11,$4.70B,$14.29B,0.33,$7.33B,$3.16B,43.08%,$7.33B,$-0.12B,-1.58%,$7.33B,$0.16B,2.21%,$7.33B,$0.16B,2.21%,$7.33B,$-0.12B,-1.60%,$7.33B,$-0.66B,-8.95%,$-0.66B,$14.29B,-4.50%,$-0.66B,$14.09B,-4.55%,$-0.66B,$219.84B,-0.30%,$-0.12B,$18.99B,-0.59%,$2191,$1136,$1055,$0,$195,$2036,$155,$0,$155,$0,$155,$155,$167,$227,$227,$186,188,$0.90,$0.89,$2713,$0,$0,$9991,$0,$95700,$198,$107759,$209848,$219839,$94027,$4702,$106815,$111520,$205547,$3,$-9804,$2707,$14292,$219839,$86,$0,$470,$470,$0,$0,$0,$0,$0,$556,$0,$0,$-55,$12,$-771,$-759,$112,$-702,$-510,$0,$-510,$-422,$-422,$-4,$738,$-198,$-344,$0,$-4
6,2017-03-31,37.92,$73.07,0.52,$39.23,0.97,$37.65,1.01,$-3.93,0.0,$9.89B,$93.72B,0.11,$4.47B,$13.88B,0.32,$7.84B,$3.25B,41.46%,$7.84B,$-0.12B,-1.51%,$7.84B,$0.27B,3.39%,$7.84B,$0.27B,3.39%,$7.84B,$-0.12B,-1.52%,$7.84B,$-0.66B,-8.44%,$-0.66B,$13.88B,-4.38%,$-0.66B,$13.67B,-4.43%,$-0.66B,$217.03B,-0.30%,$-0.12B,$18.34B,-0.57%,$2057,$1149,$908,$0,$64,$1944,$113,$0,$113,$93,$20,$20,$-143,$176,$176,$192,195,$-0.75,$-0.74,$2531,$0,$0,$9885,$0,$94110,$208,$105973,$207141,$217026,$93719,$4467,$104962,$109428,$203148,$3,$-9971,$2212,$13878,$217026,$-208,$0,$159,$159,$0,$0,$0,$0,$0,$-49,$0,$0,$-46,$-40,$45,$5,$232,$191,$-210,$0,$-210,$-189,$-189,$-2,$-354,$-755,$-613,$0,$-2
7,2016-12-31,39.17,$71.76,0.55,$43.04,0.91,$40.96,0.96,$-2.26,0.0,$9.52B,$65.52B,0.15,$4.52B,$13.97B,0.32,$8.79B,$3.48B,39.54%,$8.79B,$0.01B,0.11%,$8.79B,$0.40B,4.55%,$8.79B,$0.40B,4.55%,$8.79B,$0.01B,0.10%,$8.79B,$-0.33B,-3.71%,$-0.33B,$13.97B,-2.10%,$-0.33B,$13.97B,-2.12%,$-0.33B,$214.59B,-0.15%,$0.01B,$18.49B,0.05%,$554,$-18,$573,$0,$34,$583,$-29,$0,$-29,$24,$-53,$-53,$-432,$43,$43,$201,203,$-2.12,$-2.08,$2229,$0,$0,$9516,$0,$65035,$0,$134467,$205069,$214585,$65522,$4519,$130576,$135095,$200617,$3,$-9742,$1921,$13968,$214585,$-298,$420,$3530,$3950,$-18,$0,$-190,$147,$-61,$3591,$0,$0,$-61,$31,$-1827,$-1796,$-1826,$-3683,$240,$0,$240,$-686,$-686,$-8,$944,$490,$398,$99,$-8
8,2016-09-30,28.77,$83.02,0.35,$37.88,0.76,$37.52,0.77,$-0.01,0.0,$10.26B,$92.81B,0.11,$6.43B,$16.16B,0.4,$7.68B,$2.93B,38.11%,$7.68B,$-0.31B,-4.09%,$7.68B,$0.12B,1.56%,$7.68B,$0.12B,1.56%,$7.68B,$-0.31B,-4.09%,$7.68B,$-0.00B,-0.01%,$-0.00B,$16.16B,-0.01%,$-0.00B,$15.93B,-0.01%,$-0.00B,$218.62B,0.00%,$-0.31B,$22.58B,-1.42%,$2529,$1907,$622,$0,$181,$2884,$-356,$0,$-356,$-119,$-237,$-237,$-248,$-284,$-284,$200,200,$-1.24,$-1.24,$2952,$0,$0,$10257,$0,$99409,$227,$103541,$208366,$218622,$92811,$6427,$103230,$109656,$202467,$3,$-9310,$3517,$16155,$218622,$0,$0,$0,$0,$0,$0,$0,$0,$0,$2483,$-49,$0,$-99,$150,$-2389,$-2239,$-128,$-2514,$950,$0,$950,$-486,$-486,$-6,$-172,$285,$254,$0,$-6
9,2016-06-30,24.71,$81.73,0.3,$41.74,0.59,$37.17,0.66,$1.40,17.65,$11.45B,$92.08B,0.12,$6.56B,$16.37B,0.4,$8.85B,$3.55B,40.09%,$8.85B,$0.12B,1.38%,$8.85B,$0.60B,6.75%,$8.85B,$0.60B,6.75%,$8.85B,$0.12B,1.38%,$8.85B,$0.29B,3.24%,$0.29B,$16.37B,1.75%,$0.29B,$16.13B,1.78%,$0.29B,$217.07B,0.13%,$0.12B,$22.93B,0.55%,$2696,$1550,$1146,$0,$98,$2543,$153,$0,$153,$17,$136,$136,$162,$331,$331,$202,204,$0.80,$0.79,$3977,$0,$0,$11450,$0,$97859,$240,$102253,$205615,$217065,$92080,$6560,$102060,$108620,$200700,$3,$-9062,$3440,$16366,$217065,$0,$0,$0,$0,$0,$0,$0,$0,$0,$1663,$-36,$0,$-34,$217,$-1110,$-893,$373,$-590,$709,$0,$709,$-487,$-487,$-4,$-3,$214,$1287,$0,$-4
