,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,33.13,$29.46,1.12,$65.21,0.51,$5.07,6.53,$3.96,8.37,$0.27B,$0.10B,2.87,$0.19B,$0.32B,0.58,$0.71B,$0.07B,10.13%,$0.71B,$0.06B,7.74%,$0.71B,$0.06B,7.74%,$0.71B,$0.08B,11.11%,$0.71B,$0.05B,6.33%,$0.71B,$0.04B,6.05%,$0.04B,$0.32B,14.01%,$0.04B,$0.02B,1146.67%,$0.04B,$0.64B,6.78%,$0.06B,$0.51B,11.21%,$169,$150,$19,$0,$1,$153,$16,$-2,$13,$3,$10,$10,$10,$22,$16,$11,11,$0.92,$0.92,$1,$166,$14,$273,$51,$0,$298,$16,$364,$637,$95,$185,$0,$222,$317,$1,$293,$1,$321,$637,$26,$19,$-1,$18,$1,$-36,$0,$-1,$-40,$3,$-2,$0,$0,$0,$0,$0,$2,$-1,$-1,$3,$2,$0,$0,$-2,$-2,$-2,$0,$2,$-2
1,2018-06-30,47.7,$28.61,1.67,$65.80,0.72,$8.47,5.63,$3.65,13.07,$0.27B,$0.10B,2.7,$0.19B,$0.31B,0.62,$0.72B,$0.07B,9.64%,$0.72B,$0.05B,7.12%,$0.72B,$0.05B,7.12%,$0.72B,$0.08B,10.61%,$0.72B,$0.04B,5.87%,$0.72B,$0.04B,5.59%,$0.04B,$0.31B,13.51%,$0.04B,$0.01B,-363.64%,$0.04B,$0.64B,6.35%,$0.05B,$0.50B,10.68%,$170,$152,$19,$0,$1,$157,$14,$-2,$12,$3,$9,$9,$9,$20,$14,$11,11,$0.80,$0.80,$1,$164,$14,$271,$53,$0,$302,$15,$370,$641,$101,$192,$0,$229,$329,$1,$284,$1,$311,$641,$16,$13,$1,$14,$1,$-34,$0,$7,$-33,$-4,$-2,$0,$0,$0,$0,$0,$0,$-2,$-1,$10,$9,$0,$0,$-2,$-2,$5,$0,$2,$-2
2,2018-03-31,51.56,$27.88,1.85,$68.05,0.76,$10.64,4.85,$3.57,14.44,$0.26B,$0.12B,2.22,$0.17B,$0.30B,0.57,$0.74B,$0.07B,9.32%,$0.74B,$0.05B,7.03%,$0.74B,$0.05B,7.03%,$0.74B,$0.08B,10.41%,$0.74B,$0.04B,5.81%,$0.74B,$0.04B,5.27%,$0.04B,$0.30B,13.64%,$0.04B,$-0.00B,-154.46%,$0.04B,$0.63B,6.24%,$0.05B,$0.48B,11.09%,$177,$160,$16,$0,$1,$165,$12,$-2,$9,$2,$7,$7,$7,$18,$12,$11,11,$0.65,$0.65,$1,$149,$15,$255,$54,$0,$306,$15,$375,$630,$115,$173,$0,$211,$326,$1,$276,$0,$303,$630,$7,$6,$2,$8,$-1,$-19,$0,$28,$-2,$13,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$-9,$-9,$0,$0,$-1,$-2,$-12,$-0,$1,$-1
3,2017-12-31,48.22,$27.04,1.78,$70.00,0.69,$9.54,5.05,$3.59,13.43,$0.25B,$0.11B,2.18,$0.19B,$0.29B,0.64,$0.76B,$0.07B,9.47%,$0.76B,$0.05B,7.11%,$0.76B,$0.05B,7.11%,$0.76B,$0.08B,10.53%,$0.76B,$0.05B,6.05%,$0.76B,$0.04B,5.13%,$0.04B,$0.29B,14.12%,$0.04B,$-0.02B,-99.36%,$0.04B,$0.63B,6.21%,$0.05B,$0.48B,11.50%,$195,$177,$18,$0,$1,$182,$13,$-2,$11,$-7,$17,$17,$17,$19,$13,$11,11,$1.61,$1.60,$1,$133,$17,$249,$55,$0,$310,$16,$380,$629,$114,$186,$0,$222,$336,$1,$268,$0,$293,$629,$39,$26,$-7,$18,$3,$4,$0,$-21,$-7,$50,$-3,$0,$0,$0,$0,$0,$0,$-3,$-1,$-43,$-44,$0,$0,$-3,$-1,$-47,$0,$3,$-3
4,2017-09-30,56.53,$25.58,2.21,$71.92,0.79,$8.95,6.32,$2.66,21.25,$0.23B,$0.12B,1.91,$0.18B,$0.28B,0.64,$0.78B,$0.07B,9.49%,$0.78B,$0.05B,6.92%,$0.78B,$0.05B,6.92%,$0.78B,$0.08B,10.38%,$0.78B,$0.05B,5.90%,$0.78B,$0.03B,3.72%,$0.03B,$0.28B,10.87%,$0.03B,$-0.04B,-54.98%,$0.03B,$0.62B,4.56%,$0.05B,$0.45B,11.55%,$174,$158,$16,$0,$0,$162,$12,$-2,$10,$3,$7,$7,$7,$19,$12,$11,11,$0.61,$0.61,$0,$136,$24,$233,$57,$0,$314,$15,$386,$619,$122,$176,$0,$220,$342,$1,$252,$0,$277,$619,$22,$20,$-0,$20,$16,$1,$0,$-35,$-2,$40,$-2,$0,$0,$0,$0,$0,$0,$-2,$-1,$-34,$-35,$0,$0,$-2,$-1,$-38,$0,$2,$-2
5,2017-06-30,44.64,$24.96,1.79,$71.84,0.62,$7.59,5.88,$2.70,16.54,$0.23B,$0.11B,2.11,$0.20B,$0.27B,0.73,$0.78B,$0.08B,9.76%,$0.78B,$0.06B,7.19%,$0.78B,$0.06B,7.19%,$0.78B,$0.08B,10.53%,$0.78B,$0.05B,6.03%,$0.78B,$0.03B,3.72%,$0.03B,$0.27B,11.16%,$0.03B,$-0.05B,-45.31%,$0.03B,$0.62B,4.52%,$0.06B,$0.47B,11.79%,$194,$174,$19,$0,$0,$179,$15,$-2,$13,$5,$8,$8,$8,$21,$15,$11,11,$0.72,$0.72,$1,$136,$11,$228,$58,$0,$318,$16,$391,$620,$108,$197,$0,$241,$349,$1,$245,$0,$271,$620,$15,$13,$0,$14,$6,$1,$0,$-17,$-10,$19,$-1,$0,$0,$0,$0,$0,$0,$-1,$-1,$-15,$-16,$0,$0,$-1,$-1,$-18,$0,$1,$-1
6,2017-03-31,40.44,$24.31,1.66,$68.81,0.59,$6.92,5.84,$2.26,17.93,$0.25B,$0.12B,2.04,$0.22B,$0.26B,0.82,$0.75B,$0.08B,10.07%,$0.75B,$0.05B,7.11%,$0.75B,$0.05B,7.11%,$0.75B,$0.08B,10.74%,$0.75B,$0.04B,5.77%,$0.75B,$0.03B,3.62%,$0.03B,$0.26B,10.69%,$0.03B,$-0.06B,-35.88%,$0.03B,$0.65B,4.18%,$0.05B,$0.48B,11.10%,$197,$179,$19,$0,$0,$183,$14,$-2,$12,$4,$7,$7,$7,$21,$14,$11,11,$0.67,$0.67,$0,$141,$16,$248,$60,$0,$322,$16,$397,$645,$122,$216,$0,$260,$382,$1,$238,$0,$264,$645,$7,$7,$1,$8,$5,$-5,$0,$-11,$-14,$1,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$1,$1,$0,$0,$-1,$-1,$-0,$0,$1,$-1
7,2016-12-31,38.43,$23.63,1.63,$63.92,0.6,$8.20,4.69,$2.19,17.55,$0.26B,$0.15B,1.74,$0.22B,$0.26B,0.85,$0.69B,$0.07B,10.69%,$0.69B,$0.05B,7.51%,$0.69B,$0.05B,7.51%,$0.69B,$0.08B,11.27%,$0.69B,$0.04B,5.92%,$0.69B,$0.03B,3.90%,$0.03B,$0.26B,11.00%,$0.03B,$-0.07B,-31.40%,$0.03B,$0.66B,4.22%,$0.05B,$0.47B,10.99%,$215,$195,$20,$0,$2,$202,$13,$-2,$11,$4,$7,$7,$7,$20,$13,$11,11,$0.65,$0.66,$0,$136,$20,$258,$62,$0,$326,$16,$403,$662,$148,$216,$0,$258,$407,$1,$232,$0,$255,$662,$27,$26,$-0,$26,$-23,$-27,$0,$40,$-5,$47,$-6,$0,$-0,$0,$0,$0,$0,$-6,$-1,$-18,$-20,$0,$0,$-2,$-19,$-41,$-0,$2,$-2
8,2016-09-30,33.57,$23.05,1.46,$57.49,0.58,$6.98,4.81,$2.25,14.95,$0.23B,$0.12B,1.98,$0.23B,$0.25B,0.94,$0.62B,$0.07B,11.90%,$0.62B,$0.05B,8.68%,$0.62B,$0.05B,8.68%,$0.62B,$0.08B,12.70%,$0.62B,$0.04B,6.91%,$0.62B,$0.03B,4.50%,$0.03B,$0.25B,11.72%,$0.03B,$-0.08B,-29.02%,$0.03B,$0.64B,4.46%,$0.05B,$0.48B,11.43%,$173,$154,$18,$0,$1,$159,$14,$-3,$11,$4,$7,$7,$7,$20,$14,$11,11,$0.66,$0.65,$1,$129,$15,$230,$63,$0,$330,$16,$409,$639,$116,$234,$0,$274,$390,$1,$226,$-0,$249,$639,$20,$20,$-3,$17,$-8,$-20,$0,$11,$-8,$28,$-5,$0,$-0,$0,$0,$0,$0,$-5,$-1,$-1,$-2,$0,$0,$-2,$-19,$-23,$-0,$2,$-2
9,2016-06-30,32.96,$22.37,1.47,$54.26,0.61,$5.87,5.62,$2.20,15.01,$0.22B,$0.12B,1.94,$0.24B,$0.24B,0.98,$0.59B,$0.07B,12.63%,$0.59B,$0.05B,9.04%,$0.59B,$0.05B,9.04%,$0.59B,$0.08B,13.48%,$0.59B,$0.04B,7.34%,$0.59B,$0.03B,4.61%,$0.03B,$0.24B,11.63%,$0.03B,$-0.09B,-25.65%,$0.03B,$0.64B,4.32%,$0.05B,$0.48B,11.28%,$160,$142,$18,$0,$2,$149,$12,$-2,$9,$4,$6,$6,$6,$19,$12,$11,11,$0.56,$0.55,$1,$117,$14,$223,$64,$0,$334,$15,$413,$635,$115,$236,$0,$279,$394,$0,$219,$-1,$242,$635,$13,$13,$-1,$12,$-13,$-8,$0,$9,$-9,$15,$-4,$0,$0,$0,$0,$0,$0,$-4,$-1,$-1,$-1,$0,$0,$-1,$-9,$-11,$-0,$1,$-1
