,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,10.0,$8.03,1.24,$49.49,0.2,$4.92,2.03,$-0.69,0.0,$0.23B,$0.10B,2.23,$0.06B,$0.19B,0.32,$1.16B,$0.35B,30.09%,$1.16B,$-0.01B,-1.12%,$1.16B,$-0.01B,-1.12%,$1.16B,$0.10B,8.36%,$1.16B,$-0.01B,-0.43%,$1.16B,$-0.02B,-1.47%,$-0.02B,$0.19B,-8.85%,$-0.02B,$0.18B,-9.39%,$-0.02B,$0.40B,-3.84%,$-0.01B,$0.26B,-4.70%,$277,$190,$87,$0,$83,$273,$3,$-1,$2,$0,$2,$2,$-2,$14,$3,$24,24,$-0.07,$-0.07,$2,$188,$0,$231,$131,$0,$11,$3,$167,$398,$103,$62,$1,$102,$205,$0,$115,$0,$193,$398,$2,$35,$4,$39,$-1,$34,$-4,$10,$37,$78,$-25,$-0,$15,$0,$0,$0,$0,$-10,$-69,$2,$-67,$-0,$-0,$0,$-0,$-68,$-0,$2,$0
1,2018-06-30,6.95,$8.06,0.86,$49.94,0.14,$2.66,2.61,$-4.34,0.0,$0.24B,$0.12B,1.96,$0.06B,$0.19B,0.32,$1.17B,$0.35B,29.96%,$1.17B,$-0.12B,-10.30%,$1.17B,$-0.12B,-10.30%,$1.17B,$0.04B,3.00%,$1.17B,$-0.11B,-9.70%,$1.17B,$-0.10B,-8.67%,$-0.10B,$0.19B,-51.40%,$-0.10B,$0.18B,-55.12%,$-0.10B,$0.42B,-21.34%,$-0.12B,$0.26B,-40.44%,$293,$199,$94,$0,$89,$288,$5,$2,$7,$2,$5,$5,$7,$16,$5,$24,24,$0.30,$0.30,$2,$202,$0,$242,$137,$0,$11,$3,$178,$420,$124,$62,$2,$103,$226,$0,$117,$0,$194,$420,$3,$24,$3,$26,$-1,$20,$5,$10,$37,$66,$-16,$-0,$16,$0,$0,$0,$0,$-0,$-66,$0,$-66,$-0,$-0,$0,$-0,$-66,$-0,$1,$0
2,2018-03-31,4.35,$7.68,0.57,$50.37,0.09,$0.95,4.59,$-11.37,0.0,$0.28B,$0.15B,1.88,$0.09B,$0.19B,0.47,$1.17B,$0.35B,30.14%,$1.17B,$-0.28B,-23.72%,$1.17B,$-0.28B,-23.72%,$1.17B,$0.04B,3.42%,$1.17B,$-0.28B,-23.54%,$1.17B,$-0.26B,-22.60%,$-0.26B,$0.19B,-118.92%,$-0.26B,$0.18B,-146.67%,$-0.26B,$0.46B,-51.39%,$-0.28B,$0.27B,-82.01%,$296,$203,$93,$0,$89,$292,$4,$10,$14,$4,$10,$10,$-4,$16,$4,$23,23,$-0.17,$-0.17,$2,$211,$22,$276,$137,$0,$11,$3,$188,$463,$147,$87,$2,$130,$277,$0,$109,$0,$186,$463,$-4,$13,$7,$20,$-2,$9,$1,$-1,$2,$18,$-7,$-0,$0,$0,$0,$0,$0,$-7,$-11,$-0,$-11,$-0,$-0,$0,$-0,$-12,$-0,$1,$0
3,2017-12-31,4.4,$8.13,0.54,$50.95,0.09,$0.88,5.01,$-10.85,0.0,$0.28B,$0.13B,2.22,$0.13B,$0.20B,0.65,$1.18B,$0.36B,30.39%,$1.18B,$-0.26B,-22.24%,$1.18B,$-0.26B,-22.24%,$1.18B,$0.05B,4.41%,$1.18B,$-0.27B,-23.17%,$1.18B,$-0.25B,-21.39%,$-0.25B,$0.20B,-87.42%,$-0.25B,$0.18B,-142.78%,$-0.25B,$0.49B,-43.37%,$-0.26B,$0.32B,-63.52%,$294,$219,$75,$0,$99,$320,$-25,$-2,$-28,$4,$-32,$-32,$-18,$51,$-25,$23,23,$-0.80,$-0.80,$2,$218,$23,$282,$142,$0,$11,$19,$209,$491,$127,$126,$2,$169,$296,$0,$113,$0,$195,$491,$-252,$315,$14,$329,$4,$10,$-16,$-26,$-20,$56,$-55,$-0,$0,$0,$0,$0,$0,$-55,$1,$-3,$-3,$1,$1,$0,$-0,$-2,$-1,$6,$0
4,2017-09-30,5.35,$8.79,0.61,$50.91,0.11,$3.04,1.76,$-10.59,0.0,$0.29B,$0.14B,2.07,$0.13B,$0.21B,0.59,$1.19B,$0.38B,32.21%,$1.19B,$-0.26B,-21.87%,$1.19B,$-0.26B,-21.87%,$1.19B,$0.03B,2.44%,$1.19B,$-0.27B,-22.71%,$1.19B,$-0.25B,-20.69%,$-0.25B,$0.21B,-70.39%,$-0.25B,$0.19B,-146.43%,$-0.25B,$0.52B,-38.33%,$-0.26B,$0.34B,-55.06%,$282,$196,$87,$0,$84,$386,$-104,$-2,$-106,$-23,$-83,$-83,$-86,$-48,$-104,$23,23,$-3.72,$-3.72,$2,$247,$0,$292,$154,$0,$20,$3,$227,$519,$141,$125,$2,$167,$308,$0,$131,$0,$211,$519,$-235,$238,$70,$309,$4,$2,$-0,$-41,$-31,$43,$-43,$-0,$0,$0,$0,$0,$0,$-44,$1,$-2,$-1,$1,$1,$0,$-1,$-0,$-1,$4,$0
5,2017-06-30,11.65,$12.41,0.94,$51.96,0.22,$5.03,2.32,$-6.39,0.0,$0.28B,$0.12B,2.27,$0.12B,$0.30B,0.42,$1.22B,$0.40B,32.57%,$1.22B,$-0.14B,-11.13%,$1.22B,$-0.14B,-11.13%,$1.22B,$0.11B,8.84%,$1.22B,$-0.15B,-11.95%,$1.22B,$-0.15B,-12.19%,$-0.15B,$0.30B,-36.19%,$-0.15B,$0.17B,-97.55%,$-0.15B,$0.58B,-21.40%,$-0.14B,$0.42B,-25.52%,$296,$199,$97,$0,$82,$449,$-152,$-2,$-155,$-8,$-146,$-146,$-156,$21,$-152,$23,23,$-6.73,$-6.73,$2,$233,$0,$275,$152,$0,$125,$31,$308,$582,$121,$124,$2,$166,$287,$0,$217,$0,$296,$582,$-148,$183,$9,$192,$4,$13,$-9,$-15,$-6,$38,$-28,$-0,$0,$0,$0,$0,$0,$-29,$-8,$-3,$-11,$1,$1,$0,$-1,$-10,$-1,$3,$0
6,2017-03-31,20.15,$18.90,1.07,$53.09,0.38,$6.03,3.34,$0.78,25.83,$0.27B,$0.12B,2.36,$0.12B,$0.45B,0.27,$1.26B,$0.41B,32.49%,$1.26B,$0.04B,2.94%,$1.26B,$0.04B,2.94%,$1.26B,$0.12B,9.37%,$1.26B,$0.03B,2.14%,$1.26B,$0.02B,1.35%,$0.02B,$0.45B,3.77%,$0.02B,$0.16B,12.08%,$0.02B,$0.73B,2.31%,$0.04B,$0.57B,6.48%,$306,$207,$99,$0,$80,$287,$19,$-2,$16,$7,$10,$10,$8,$28,$19,$23,23,$0.35,$0.35,$2,$238,$0,$274,$150,$0,$290,$19,$458,$732,$116,$122,$2,$164,$281,$0,$373,$0,$451,$732,$8,$9,$2,$11,$2,$6,$-11,$6,$1,$20,$-10,$-0,$0,$0,$0,$0,$0,$-10,$-11,$-1,$-12,$2,$2,$0,$-0,$-10,$-1,$2,$0
7,2016-12-31,23.75,$18.78,1.26,$53.28,0.45,$6.86,3.46,$1.02,23.28,$0.29B,$0.13B,2.13,$0.12B,$0.44B,0.28,$1.29B,$0.43B,33.02%,$1.29B,$0.05B,3.49%,$1.29B,$0.05B,3.49%,$1.29B,$0.13B,10.00%,$1.29B,$0.04B,2.79%,$1.29B,$0.02B,1.86%,$0.02B,$0.44B,5.33%,$0.02B,$0.15B,18.43%,$0.02B,$0.73B,3.26%,$0.05B,$0.56B,7.91%,$305,$205,$100,$0,$83,$328,$-23,$-3,$-25,$-14,$-12,$-12,$-12,$28,$-23,$24,24,$-0.47,$-0.47,$3,$242,$0,$286,$139,$0,$290,$2,$449,$734,$134,$121,$2,$160,$294,$0,$365,$0,$440,$734,$25,$84,$8,$92,$0,$-13,$27,$-40,$-23,$93,$-40,$-0,$0,$0,$0,$0,$0,$-40,$3,$-1,$2,$-66,$-66,$0,$-1,$-65,$-12,$7,$0
8,2016-09-30,26.85,$19.31,1.39,$50.66,0.53,$5.38,4.99,$1.73,15.52,$0.26B,$0.12B,2.24,$0.12B,$0.46B,0.26,$1.28B,$0.42B,32.63%,$1.28B,$0.08B,6.18%,$1.28B,$0.08B,6.18%,$1.28B,$0.12B,9.55%,$1.28B,$0.07B,5.63%,$1.28B,$0.04B,3.29%,$0.04B,$0.46B,9.15%,$0.04B,$0.13B,32.56%,$0.04B,$0.74B,5.67%,$0.08B,$0.58B,13.70%,$315,$213,$102,$0,$82,$295,$20,$-2,$18,$7,$11,$11,$11,$31,$20,$24,24,$0.48,$0.48,$2,$224,$0,$262,$140,$0,$330,$4,$474,$737,$117,$119,$2,$160,$277,$0,$377,$0,$460,$737,$37,$33,$6,$39,$0,$5,$11,$-4,$2,$78,$-31,$-0,$0,$0,$0,$0,$0,$-31,$-2,$-0,$-2,$-57,$-57,$0,$-1,$-60,$-13,$5,$0
9,2016-06-30,30.57,$18.87,1.62,$48.17,0.63,$4.31,7.09,$1.73,17.67,$0.27B,$0.13B,2.07,$0.12B,$0.45B,0.26,$1.28B,$0.42B,32.89%,$1.28B,$0.08B,6.42%,$1.28B,$0.08B,6.42%,$1.28B,$0.12B,9.71%,$1.28B,$0.08B,6.03%,$1.28B,$0.05B,3.52%,$0.05B,$0.45B,9.27%,$0.05B,$0.12B,29.03%,$0.05B,$0.74B,6.07%,$0.08B,$0.57B,14.31%,$333,$225,$108,$0,$87,$312,$21,$-2,$18,$8,$10,$10,$10,$31,$21,$24,24,$0.44,$0.44,$2,$230,$0,$268,$140,$0,$330,$3,$472,$741,$129,$118,$2,$159,$288,$0,$366,$0,$452,$741,$25,$22,$5,$27,$2,$-3,$17,$-4,$3,$55,$-21,$-0,$0,$0,$0,$0,$0,$-21,$7,$-2,$5,$-52,$-52,$0,$-1,$-47,$-13,$4,$0
