,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,55.3,$24.75,2.23,$13.30,4.16,$8.90,6.21,$3.41,16.22,$3.63B,$3.41B,1.06,$0.85B,$0.43B,1.99,$0.23B,$0.19B,83.91%,$0.23B,$0.09B,36.96%,$0.23B,0,0.00%,$0.23B,0,0.00%,$0.23B,$0.09B,36.96%,$0.23B,$0.06B,25.65%,$0.06B,$0.43B,14.08%,$0.06B,$0.36B,17.04%,$0.06B,$4.77B,1.27%,$0.09B,$1.28B,6.67%,$60,$12,$49,$0,$26,$38,$22,$0,$22,$5,$18,$18,$17,$0,$0,$17,17,$1.01,$1.01,$76,$0,$0,$3628,$28,$868,$72,$174,$1143,$4771,$3414,$851,$77,$928,$4343,$1,$347,$-39,$428,$4771,$51,$5,$2,$7,$2,$0,$0,$-2,$0,$58,$-2,$0,$0,$0,$-60,$-60,$-189,$-250,$37,$0,$37,$-1,$-1,$-22,$170,$185,$-7,$2,$-22
1,2018-06-30,58.1,$24.40,2.38,$13.01,4.47,$8.06,7.21,$3.15,18.44,$3.63B,$3.32B,1.09,$0.92B,$0.42B,2.19,$0.23B,$0.19B,84.89%,$0.23B,$0.08B,36.44%,$0.23B,0,0.00%,$0.23B,0,0.00%,$0.23B,$0.08B,36.44%,$0.23B,$0.06B,24.44%,$0.06B,$0.42B,13.24%,$0.06B,$0.35B,16.06%,$0.06B,$4.74B,1.20%,$0.08B,$1.35B,6.47%,$59,$10,$49,$0,$26,$37,$22,$0,$22,$5,$18,$18,$18,$0,$0,$17,17,$1.02,$1.01,$135,$0,$0,$3634,$28,$834,$73,$168,$1103,$4737,$3322,$924,$70,$994,$4316,$1,$337,$-35,$422,$4737,$34,$4,$-4,$-1,$-5,$0,$0,$-5,$-10,$23,$-2,$0,$0,$0,$-19,$-19,$-123,$-144,$110,$0,$110,$-0,$-0,$-14,$78,$173,$52,$1,$-14
2,2018-03-31,53.36,$23.93,2.23,$12.72,4.2,$8.01,6.66,$2.90,18.4,$3.47B,$3.26B,1.07,$0.83B,$0.41B,2.01,$0.22B,$0.19B,85.91%,$0.22B,$0.08B,36.36%,$0.22B,0,0.00%,$0.22B,0,0.00%,$0.22B,$0.08B,36.36%,$0.22B,$0.05B,22.73%,$0.05B,$0.41B,12.15%,$0.05B,$0.34B,14.78%,$0.05B,$4.57B,1.11%,$0.08B,$1.24B,6.37%,$56,$9,$48,$0,$27,$36,$20,$0,$20,$4,$16,$16,$16,$0,$0,$17,17,$0.94,$0.93,$88,$0,$0,$3469,$28,$841,$73,$155,$1098,$4566,$3256,$831,$65,$897,$4153,$1,$327,$-33,$413,$4566,$16,$2,$0,$2,$8,$0,$0,$-4,$3,$22,$-1,$0,$0,$0,$-21,$-21,$-17,$-39,$17,$0,$17,$-0,$-0,$-7,$13,$23,$5,$1,$-7
3,2017-12-31,52.44,$23.99,2.19,$12.38,4.24,$7.75,6.76,$2.65,19.79,$3.46B,$3.24B,1.07,$0.81B,$0.41B,1.97,$0.21B,$0.18B,85.98%,$0.21B,$0.08B,36.45%,$0.21B,0,0.00%,$0.21B,0,0.00%,$0.21B,$0.08B,36.45%,$0.21B,$0.05B,21.50%,$0.05B,$0.41B,11.28%,$0.05B,$0.34B,13.76%,$0.05B,$4.53B,1.04%,$0.08B,$1.23B,6.25%,$55,$8,$47,$0,$26,$34,$21,$0,$21,$13,$8,$8,$8,$0,$0,$17,17,$0.46,$0.45,$83,$0,$0,$3457,$28,$834,$73,$137,$1072,$4530,$3243,$814,$60,$874,$4117,$1,$318,$-24,$413,$4530,$46,$8,$9,$17,$0,$0,$0,$-4,$-4,$59,$-3,$0,$0,$0,$-37,$-37,$-140,$-180,$-58,$0,$-58,$0,$0,$-26,$179,$95,$-25,$3,$-26
4,2017-09-30,55.97,$24.06,2.33,$12.25,4.57,$7.78,7.19,$2.89,19.37,$3.46B,$3.16B,1.1,$0.84B,$0.41B,2.02,$0.21B,$0.18B,86.73%,$0.21B,$0.08B,35.55%,$0.21B,0,0.00%,$0.21B,0,0.00%,$0.21B,$0.08B,35.55%,$0.21B,$0.05B,23.70%,$0.05B,$0.41B,12.43%,$0.05B,$0.34B,15.22%,$0.05B,$4.47B,1.14%,$0.08B,$1.25B,5.96%,$55,$8,$47,$0,$28,$36,$19,$0,$19,$6,$13,$13,$13,$0,$0,$17,17,$0.75,$0.75,$131,$0,$0,$3455,$29,$770,$73,$142,$1014,$4469,$3157,$837,$61,$898,$4055,$1,$312,$-16,$414,$4469,$38,$6,$3,$9,$-0,$0,$0,$-3,$-4,$44,$-2,$0,$0,$0,$32,$32,$-89,$-59,$-35,$0,$-35,$0,$0,$-20,$93,$39,$23,$2,$-20
5,2017-06-30,50.06,$23.59,2.12,$12.00,4.17,$6.95,7.2,$2.86,17.5,$3.33B,$3.02B,1.1,$0.89B,$0.41B,2.2,$0.21B,$0.18B,87.44%,$0.21B,$0.07B,35.75%,$0.21B,0,0.00%,$0.21B,0,0.00%,$0.21B,$0.07B,35.75%,$0.21B,$0.05B,23.67%,$0.05B,$0.41B,12.33%,$0.05B,$0.33B,15.15%,$0.05B,$4.38B,1.13%,$0.07B,$1.30B,6.08%,$54,$7,$47,$0,$27,$34,$20,$0,$20,$7,$13,$13,$13,$0,$0,$17,17,$0.77,$0.76,$120,$0,$0,$3326,$29,$808,$74,$139,$1049,$4376,$3021,$892,$56,$948,$3969,$1,$306,$-18,$406,$4376,$25,$4,$-3,$1,$1,$0,$0,$-5,$-4,$21,$-1,$0,$0,$0,$-7,$-7,$34,$25,$21,$0,$21,$0,$0,$-13,$-43,$-35,$12,$1,$-13
6,2017-03-31,47.53,$23.14,2.05,$11.68,4.07,$6.92,6.87,$2.74,17.35,$3.34B,$3.12B,1.07,$0.82B,$0.40B,2.07,$0.20B,$0.18B,88.06%,$0.20B,$0.07B,34.83%,$0.20B,0,0.00%,$0.20B,0,0.00%,$0.20B,$0.07B,34.83%,$0.20B,$0.05B,23.38%,$0.05B,$0.40B,11.96%,$0.05B,$0.32B,14.75%,$0.05B,$4.39B,1.11%,$0.07B,$1.22B,6.06%,$50,$7,$43,$0,$25,$33,$18,$0,$18,$6,$12,$12,$12,$0,$0,$17,17,$0.68,$0.68,$114,$0,$0,$3338,$29,$813,$74,$135,$1051,$4389,$3116,$821,$54,$875,$3991,$1,$300,$-19,$398,$4389,$12,$2,$1,$3,$4,$0,$0,$-2,$2,$17,$-1,$0,$0,$0,$-15,$-15,$9,$-6,$-50,$0,$-50,$0,$0,$-6,$52,$-4,$6,$1,$-6
7,2016-12-31,53.63,$22.76,2.36,$11.55,4.64,$7.26,7.39,$2.70,19.86,$3.39B,$3.06B,1.11,$0.87B,$0.39B,2.23,$0.20B,$0.18B,88.44%,$0.20B,$0.07B,34.17%,$0.20B,0,0.00%,$0.20B,0,0.00%,$0.20B,$0.07B,34.17%,$0.20B,$0.05B,23.12%,$0.05B,$0.39B,11.83%,$0.05B,$0.32B,14.64%,$0.05B,$4.38B,1.13%,$0.07B,$1.26B,6.33%,$52,$6,$46,$0,$28,$34,$18,$0,$18,$6,$12,$12,$12,$0,$0,$17,17,$0.71,$0.70,$151,$0,$0,$3389,$29,$756,$74,$134,$992,$4381,$3064,$872,$55,$927,$3990,$1,$294,$-20,$391,$4381,$46,$8,$7,$15,$6,$0,$0,$-7,$-1,$60,$-3,$0,$0,$0,$-394,$-394,$-228,$-625,$470,$0,$470,$1,$1,$-25,$129,$576,$10,$2,$-25
8,2016-09-30,38.23,$23.11,1.65,$11.24,3.4,$6.71,5.7,$2.62,14.59,$3.33B,$3.04B,1.1,$0.69B,$0.40B,1.76,$0.19B,$0.17B,88.14%,$0.19B,$0.07B,34.02%,$0.19B,0,0.00%,$0.19B,0,0.00%,$0.19B,$0.07B,34.02%,$0.19B,$0.05B,23.20%,$0.05B,$0.40B,11.70%,$0.05B,$0.32B,14.52%,$0.05B,$4.20B,1.14%,$0.07B,$1.09B,6.93%,$51,$6,$45,$0,$26,$32,$18,$0,$18,$6,$12,$12,$12,$0,$0,$17,17,$0.72,$0.72,$129,$0,$0,$3330,$29,$618,$75,$152,$874,$4204,$3037,$694,$77,$771,$3809,$1,$289,$-8,$395,$4204,$34,$6,$3,$8,$-8,$0,$0,$-6,$-14,$29,$-2,$0,$0,$0,$-198,$-198,$-175,$-375,$293,$0,$293,$0,$0,$-18,$103,$378,$32,$2,$-18
9,2016-06-30,35.71,$22.73,1.57,$10.96,3.26,$7.78,4.59,$2.50,14.29,$3.21B,$2.79B,1.15,$0.66B,$0.39B,1.71,$0.19B,$0.17B,88.30%,$0.19B,$0.06B,34.04%,$0.19B,0,0.00%,$0.19B,0,0.00%,$0.19B,$0.06B,33.51%,$0.19B,$0.04B,22.87%,$0.04B,$0.39B,11.35%,$0.04B,$0.31B,14.17%,$0.04B,$3.92B,1.13%,$0.06B,$1.05B,7.33%,$48,$5,$43,$0,$26,$32,$16,$0,$16,$5,$11,$11,$11,$0,$0,$17,17,$0.65,$0.64,$120,$0,$0,$3214,$30,$454,$75,$145,$704,$3917,$2789,$663,$77,$739,$3529,$1,$283,$-8,$388,$3917,$22,$3,$-4,$-1,$4,$0,$0,$-5,$-0,$21,$-2,$0,$0,$0,$-33,$-33,$-68,$-103,$261,$0,$261,$-0,$-0,$-12,$-145,$104,$22,$1,$-12
