,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,117.94,$23.71,4.97,$71.93,1.64,$13.01,9.06,$8.35,14.12,$2.13B,$0.94B,2.28,$0.86B,$1.24B,0.7,$3.85B,$1.17B,30.37%,$3.85B,$0.53B,13.65%,$3.85B,$0.53B,13.65%,$3.85B,$0.65B,16.87%,$3.85B,$0.72B,18.63%,$3.85B,$0.45B,11.63%,$0.45B,$1.24B,35.71%,$0.45B,$0.17B,257.84%,$0.45B,$4.04B,10.66%,$0.53B,$2.10B,22.96%,$915,$640,$275,$50,$117,$808,$107,$-14,$93,$14,$80,$80,$75,$139,$107,$53,53,$1.42,$1.41,$972,$362,$91,$2131,$542,$10,$1065,$77,$1907,$4038,$936,$862,$240,$1865,$2801,$1,$2846,$-516,$1237,$4038,$296,$94,$73,$167,$-10,$-55,$0,$-71,$-162,$301,$-93,$0,$-9,$-19,$0,$-19,$0,$-121,$-132,$-114,$-246,$-210,$-210,$-6,$-5,$-466,$-309,$15,$-6
1,2018-06-30,117.02,$24.16,4.84,$69.96,1.67,$12.14,9.64,$8.24,14.2,$2.08B,$0.84B,2.48,$0.86B,$1.28B,0.67,$3.77B,$1.15B,30.40%,$3.77B,$0.51B,13.60%,$3.77B,$0.51B,13.60%,$3.77B,$0.63B,16.73%,$3.77B,$0.71B,18.96%,$3.77B,$0.44B,11.76%,$0.44B,$1.28B,36.86%,$0.44B,$0.22B,183.82%,$0.44B,$3.97B,10.82%,$0.51B,$2.13B,22.49%,$1001,$691,$310,$48,$119,$855,$147,$-14,$133,$24,$109,$109,$104,$177,$147,$53,53,$1.96,$1.95,$897,$338,$94,$2079,$532,$9,$1060,$79,$1892,$3971,$839,$855,$236,$1854,$2693,$1,$2772,$-488,$1278,$3971,$216,$62,$55,$117,$-40,$-27,$-3,$-61,$-167,$166,$-55,$0,$-9,$-121,$0,$-121,$0,$-185,$-132,$-195,$-327,$-119,$-119,$-3,$-5,$-454,$-486,$11,$-3
2,2018-03-31,133.87,$24.29,5.51,$65.92,2.03,$11.98,11.17,$7.90,16.95,$2.52B,$0.72B,3.49,$1.41B,$1.30B,1.08,$3.56B,$1.08B,30.42%,$3.56B,$0.47B,13.29%,$3.56B,$0.47B,13.29%,$3.56B,$0.59B,16.49%,$3.56B,$0.69B,19.30%,$3.56B,$0.43B,11.97%,$0.43B,$1.30B,38.33%,$0.43B,$0.21B,147.53%,$0.43B,$4.47B,10.86%,$0.47B,$2.71B,21.28%,$1003,$694,$309,$51,$114,$856,$147,$-14,$133,$26,$107,$107,$101,$178,$147,$54,54,$1.87,$1.87,$1297,$354,$93,$2521,$542,$8,$1097,$80,$1951,$4472,$723,$1405,$239,$2447,$3170,$1,$2668,$-443,$1302,$4472,$107,$31,$38,$69,$-33,$-26,$13,$-44,$-87,$89,$-21,$0,$-6,$-117,$0,$-117,$0,$-144,$369,$-399,$-30,$-30,$-30,$-1,$-5,$-67,$-103,$4,$-1
3,2017-12-31,143.5,$22.35,6.42,$61.01,2.35,$11.46,12.53,$7.51,19.11,$2.39B,$1.07B,2.23,$1.02B,$1.20B,0.85,$3.30B,$1.01B,30.69%,$3.30B,$0.43B,13.14%,$3.30B,$0.43B,13.14%,$3.30B,$0.54B,16.40%,$3.30B,$0.65B,19.79%,$3.30B,$0.41B,12.29%,$0.41B,$1.20B,40.86%,$0.41B,$0.10B,125.12%,$0.41B,$4.32B,11.31%,$0.43B,$2.22B,21.75%,$934,$658,$277,$33,$113,$809,$125,$234,$359,$186,$173,$173,$168,$156,$125,$54,54,$3.12,$3.11,$1280,$321,$77,$2394,$522,$7,$1101,$88,$1929,$4323,$1073,$1023,$250,$2049,$3122,$1,$2563,$-465,$1201,$4323,$423,$107,$-198,$-90,$-64,$-16,$5,$161,$89,$422,$-111,$0,$-383,$15,$-10,$5,$0,$-488,$0,$383,$383,$-111,$-111,$-7,$-5,$261,$279,$16,$-7
4,2017-09-30,148.0,$19.13,7.74,$56.50,2.62,$11.04,13.4,$5.54,26.71,$2.23B,$0.74B,3.0,$1.02B,$1.03B,0.99,$3.08B,$0.96B,31.03%,$3.08B,$0.41B,13.20%,$3.08B,$0.41B,13.20%,$3.08B,$0.51B,16.54%,$3.08B,$0.39B,12.65%,$3.08B,$0.30B,9.76%,$0.30B,$1.03B,34.00%,$0.30B,$0.44B,80.97%,$0.30B,$3.62B,9.19%,$0.41B,$2.04B,21.75%,$828,$578,$250,$36,$108,$735,$93,$-5,$89,$14,$74,$74,$70,$119,$93,$54,54,$1.30,$1.30,$1119,$298,$56,$2228,$485,$25,$585,$86,$1391,$3618,$742,$1016,$75,$1850,$2592,$1,$2395,$-458,$1026,$3618,$250,$76,$46,$122,$-118,$-30,$26,$-10,$-145,$227,$-62,$0,$-142,$-117,$0,$-117,$0,$-320,$0,$137,$138,$-116,$-116,$-6,$-5,$12,$-9,$13,$-6
5,2017-06-30,127.51,$17.10,7.45,$53.27,2.39,$11.82,10.79,$6.00,21.25,$2.04B,$0.57B,3.58,$1.00B,$0.92B,1.09,$2.93B,$0.92B,31.42%,$2.93B,$0.40B,13.72%,$2.93B,$0.40B,13.72%,$2.93B,$0.51B,17.23%,$2.93B,$0.39B,13.14%,$2.93B,$0.33B,11.22%,$0.33B,$0.92B,39.12%,$0.33B,$0.41B,95.02%,$0.33B,$3.28B,10.56%,$0.40B,$1.92B,22.81%,$795,$548,$248,$39,$99,$687,$108,$-3,$106,$14,$92,$92,$87,$134,$108,$54,54,$1.62,$1.61,$1040,$244,$56,$2044,$433,$21,$508,$82,$1240,$3284,$570,$1001,$59,$1797,$2367,$1,$2329,$-492,$917,$3284,$176,$50,$33,$83,$-84,$-6,$10,$-19,$-116,$143,$-39,$0,$0,$-77,$0,$-77,$0,$-116,$0,$0,$0,$-116,$-116,$-4,$-4,$-124,$-42,$10,$-4
6,2017-03-31,117.42,$15.37,7.64,$51.60,2.28,$12.67,9.27,$5.72,20.53,$1.95B,$0.56B,3.47,$0.97B,$0.83B,1.16,$2.87B,$0.90B,31.52%,$2.87B,$0.40B,13.88%,$2.87B,$0.40B,13.88%,$2.87B,$0.50B,17.40%,$2.87B,$0.38B,13.18%,$2.87B,$0.32B,11.05%,$0.32B,$0.83B,39.11%,$0.32B,$0.35B,100.24%,$0.32B,$3.14B,10.59%,$0.40B,$1.80B,24.09%,$747,$507,$240,$39,$92,$639,$109,$-9,$100,$15,$84,$84,$81,$133,$109,$54,55,$1.49,$1.48,$986,$247,$59,$1952,$418,$19,$483,$79,$1185,$3137,$563,$967,$66,$1742,$2305,$1,$2242,$-542,$831,$3137,$84,$25,$17,$41,$-53,$-18,$29,$-15,$-71,$54,$-14,$0,$0,$-55,$0,$-55,$0,$-69,$0,$0,$0,$-56,$-56,$-2,$-4,$-62,$-62,$4,$-2
7,2016-12-31,106.15,$14.08,7.54,$50.08,2.12,$13.06,8.13,$4.00,26.54,$1.87B,$0.53B,3.53,$0.96B,$0.77B,1.25,$2.81B,$0.88B,31.28%,$2.81B,$0.38B,13.63%,$2.81B,$0.38B,13.63%,$2.81B,$0.48B,17.12%,$2.81B,$0.37B,13.13%,$2.81B,$0.22B,7.94%,$0.22B,$0.77B,27.81%,$0.22B,$0.29B,72.76%,$0.22B,$3.06B,7.70%,$0.38B,$1.73B,24.56%,$714,$495,$219,$33,$88,$616,$98,$-3,$95,$17,$78,$78,$63,$124,$98,$56,56,$1.13,$1.13,$991,$224,$112,$1874,$409,$21,$478,$66,$1182,$3056,$531,$959,$70,$1758,$2289,$1,$2161,$-577,$767,$3056,$247,$98,$148,$246,$-62,$-4,$22,$-108,$-88,$405,$-107,$0,$-92,$-52,$-1,$-53,$0,$-252,$469,$-5,$464,$-246,$-246,$-7,$9,$221,$347,$13,$-7
8,2016-09-30,113.53,$15.42,7.36,$48.84,2.32,$12.87,8.82,$4.56,24.9,$1.76B,$0.58B,3.02,$0.76B,$0.85B,0.9,$2.77B,$0.86B,31.23%,$2.77B,$0.39B,13.95%,$2.77B,$0.39B,13.95%,$2.77B,$0.48B,17.46%,$2.77B,$0.36B,12.83%,$2.77B,$0.26B,9.36%,$0.26B,$0.85B,31.62%,$0.26B,$0.34B,77.72%,$0.26B,$2.98B,9.32%,$0.39B,$1.61B,26.41%,$675,$461,$214,$35,$90,$588,$88,$-4,$84,$-16,$100,$100,$98,$114,$88,$55,56,$1.77,$1.76,$710,$261,$226,$1756,$421,$20,$510,$68,$1224,$2980,$582,$760,$76,$1549,$2131,$1,$2098,$-482,$849,$2980,$169,$72,$132,$204,$-50,$-28,$24,$-109,$-85,$289,$-75,$0,$-93,$-2,$-1,$-3,$0,$-171,$261,$-3,$258,$-184,$-184,$-3,$-6,$64,$195,$11,$-3
9,2016-06-30,91.57,$14.27,6.42,$47.81,1.92,$12.76,7.18,$3.47,26.39,$1.60B,$0.54B,2.96,$0.68B,$0.80B,0.86,$2.74B,$0.82B,29.79%,$2.74B,$0.33B,11.99%,$2.74B,$0.33B,11.99%,$2.74B,$0.42B,15.50%,$2.74B,$0.31B,11.22%,$2.74B,$0.20B,7.31%,$0.20B,$0.80B,24.60%,$0.20B,$0.29B,58.61%,$0.20B,$2.81B,7.45%,$0.33B,$1.48B,23.60%,$732,$501,$231,$33,$93,$628,$104,$-5,$99,$20,$79,$79,$75,$128,$104,$56,56,$1.34,$1.33,$644,$244,$151,$1596,$414,$21,$506,$66,$1209,$2805,$539,$682,$88,$1471,$2010,$1,$2000,$-494,$795,$2805,$69,$46,$115,$162,$-50,$-13,$25,$-17,$-23,$208,$-52,$0,$-93,$-46,$0,$-46,$0,$-191,$183,$-3,$180,$-113,$-113,$-2,$-6,$59,$84,$8,$-2
