,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,61.45,$47.74,1.29,$170.95,0.36,$8.39,7.33,$4.03,15.25,$2.51B,$1.05B,2.38,$1.23B,$2.23B,0.55,$8.16B,$1.56B,19.11%,$8.16B,$0.35B,4.23%,$8.16B,$0.35B,4.23%,$8.16B,$0.41B,5.05%,$8.16B,$0.27B,3.31%,$8.16B,$0.19B,2.35%,$0.19B,$2.23B,8.88%,$0.19B,$0.14B,342.86%,$0.19B,$4.78B,4.05%,$0.35B,$3.46B,10.04%,$2067,$1670,$397,$0,$284,$1970,$98,$-17,$80,$14,$67,$67,$67,$113,$98,$47,47,$1.42,$1.41,$143,$927,$0,$2506,$157,$0,$2089,$26,$2272,$4779,$1052,$1229,$119,$1495,$2547,$1,$2249,$-350,$2232,$4779,$167,$47,$12,$60,$-84,$23,$18,$-20,$-60,$174,$-24,$0,$0,$0,$0,$0,$4,$-20,$-87,$-2,$-89,$-27,$-27,$0,$-8,$-125,$25,$0,$0
1,2018-06-30,57.1,$45.98,1.24,$169.26,0.34,$6.57,8.68,$3.74,15.27,$2.45B,$1.03B,2.39,$1.26B,$2.17B,0.58,$8.10B,$1.55B,19.12%,$8.10B,$0.34B,4.15%,$8.10B,$0.34B,4.15%,$8.10B,$0.40B,4.99%,$8.10B,$0.26B,3.24%,$8.10B,$0.18B,2.21%,$0.18B,$2.17B,8.40%,$0.18B,$0.08B,2169.70%,$0.18B,$4.72B,3.78%,$0.34B,$3.43B,9.77%,$2104,$1704,$400,$0,$293,$2013,$91,$-18,$73,$16,$58,$58,$58,$107,$91,$47,48,$1.23,$1.22,$111,$935,$0,$2447,$157,$0,$2085,$25,$2268,$4715,$1026,$1262,$121,$1523,$2549,$1,$2182,$-370,$2166,$4715,$101,$32,$6,$38,$-38,$11,$0,$-19,$-63,$87,$-16,$0,$0,$0,$0,$0,$-9,$-25,$-54,$-7,$-61,$-2,$-2,$0,$-1,$-64,$-7,$0,$0
2,2018-03-31,62.05,$45.31,1.37,$164.16,0.38,$6.26,9.91,$3.54,17.53,$2.42B,$1.02B,2.37,$1.29B,$2.13B,0.61,$7.90B,$1.51B,19.16%,$7.90B,$0.33B,4.15%,$7.90B,$0.33B,4.15%,$7.90B,$0.40B,5.00%,$7.90B,$0.26B,3.23%,$7.90B,$0.17B,2.16%,$0.17B,$2.13B,8.09%,$0.17B,$0.02B,-924.32%,$0.17B,$4.71B,3.63%,$0.33B,$3.43B,9.53%,$1994,$1614,$380,$0,$291,$1921,$73,$-20,$53,$10,$43,$43,$44,$89,$73,$47,48,$0.94,$0.93,$124,$950,$0,$2419,$156,$0,$2109,$29,$2295,$4713,$1022,$1292,$128,$1559,$2580,$1,$2125,$-341,$2133,$4713,$43,$16,$3,$19,$-8,$3,$8,$7,$-14,$53,$-8,$0,$0,$0,$0,$0,$-9,$-16,$-22,$-5,$-27,$-2,$-2,$0,$-0,$-29,$6,$0,$0
3,2017-12-31,68.15,$45.01,1.51,$158.16,0.43,$6.18,11.02,$3.37,20.22,$2.41B,$1.04B,2.31,$1.31B,$2.12B,0.62,$7.68B,$1.48B,19.32%,$7.68B,$0.32B,4.19%,$7.68B,$0.32B,4.19%,$7.68B,$0.39B,5.07%,$7.68B,$0.25B,3.28%,$7.68B,$0.17B,2.15%,$0.17B,$2.12B,7.88%,$0.17B,$-0.02B,-437.09%,$0.17B,$4.74B,3.54%,$0.32B,$3.43B,9.40%,$1997,$1613,$383,$0,$284,$1914,$83,$-19,$64,$42,$22,$22,$23,$103,$83,$48,48,$0.49,$0.48,$118,$956,$0,$2409,$156,$0,$2139,$31,$2327,$4735,$1041,$1313,$128,$1578,$2619,$1,$2080,$-313,$2116,$4735,$163,$68,$-40,$28,$-127,$-119,$103,$76,$-42,$149,$-15,$0,$0,$0,$0,$0,$9,$-5,$-52,$12,$-40,$-107,$-107,$0,$6,$-141,$8,$15,$0
4,2017-09-30,58.25,$44.83,1.3,$153.98,0.38,$9.42,6.19,$3.86,15.09,$2.41B,$1.04B,2.31,$1.37B,$2.11B,0.65,$7.48B,$1.45B,19.40%,$7.48B,$0.32B,4.29%,$7.48B,$0.32B,4.29%,$7.48B,$0.39B,5.23%,$7.48B,$0.25B,3.38%,$7.48B,$0.19B,2.53%,$0.19B,$2.11B,9.19%,$0.19B,$-0.05B,-261.59%,$0.19B,$4.76B,4.12%,$0.32B,$3.48B,9.44%,$2000,$1615,$385,$0,$280,$1911,$89,$-17,$72,$18,$54,$54,$54,$105,$89,$47,48,$1.13,$1.12,$94,$925,$0,$2410,$158,$0,$2155,$42,$2354,$4764,$1043,$1368,$66,$1614,$2657,$1,$2057,$-296,$2107,$4764,$141,$48,$8,$56,$-170,$-87,$138,$-12,$-129,$81,$-16,$0,$0,$0,$0,$0,$3,$-12,$3,$16,$19,$-107,$-107,$0,$-4,$-92,$-16,$0,$0
5,2017-06-30,57.3,$43.67,1.31,$154.90,0.37,$12.76,4.49,$2.09,27.42,$2.31B,$0.96B,2.39,$1.34B,$2.10B,0.64,$7.33B,$1.43B,19.51%,$7.33B,$0.33B,4.43%,$7.33B,$0.33B,4.43%,$7.33B,$0.40B,5.39%,$7.33B,$0.13B,1.76%,$7.33B,$0.10B,1.40%,$0.10B,$2.10B,5.08%,$0.10B,$-0.03B,-105.37%,$0.10B,$4.62B,2.27%,$0.33B,$3.43B,10.73%,$1910,$1544,$366,$0,$268,$1827,$83,$-16,$66,$17,$50,$50,$50,$98,$83,$48,49,$1.03,$1.02,$88,$866,$0,$2306,$155,$0,$2122,$41,$2318,$4624,$964,$1335,$64,$1564,$2529,$1,$2045,$-342,$2095,$4624,$87,$32,$6,$38,$-3,$-37,$0,$-17,$-67,$67,$-10,$0,$0,$0,$0,$0,$3,$-6,$-30,$1,$-29,$-57,$-57,$0,$-1,$-87,$-22,$0,$0
6,2017-03-31,69.55,$42.18,1.65,$155.06,0.45,$14.29,4.87,$2.09,33.28,$2.20B,$0.92B,2.4,$1.31B,$2.06B,0.64,$7.33B,$1.44B,19.68%,$7.33B,$0.33B,4.50%,$7.33B,$0.33B,4.50%,$7.33B,$0.40B,5.48%,$7.33B,$0.13B,1.80%,$7.33B,$0.10B,1.40%,$0.10B,$2.06B,5.18%,$0.10B,$-0.05B,-70.79%,$0.10B,$4.51B,2.26%,$0.33B,$3.37B,11.01%,$1773,$1423,$350,$0,$267,$1706,$67,$-16,$50,$13,$38,$38,$38,$83,$67,$49,49,$0.77,$0.76,$103,$850,$0,$2203,$157,$0,$2111,$40,$2308,$4511,$920,$1310,$63,$1534,$2454,$1,$1995,$-376,$2057,$4511,$38,$16,$2,$18,$-4,$-26,$26,$13,$-13,$48,$-4,$0,$0,$0,$0,$0,$0,$-4,$-54,$10,$-44,$-7,$-7,$0,$-0,$-51,$-7,$0,$0
7,2016-12-31,66.55,$40.39,1.65,$157.12,0.42,$15.02,4.43,$2.10,31.69,$2.10B,$0.87B,2.41,$1.36B,$1.96B,0.69,$7.34B,$1.45B,19.74%,$7.34B,$0.33B,4.54%,$7.34B,$0.33B,4.54%,$7.34B,$0.41B,5.52%,$7.34B,$0.13B,1.81%,$7.34B,$0.10B,1.38%,$0.10B,$1.96B,5.18%,$0.10B,$-0.16B,-49.27%,$0.10B,$4.43B,2.19%,$0.33B,$3.33B,11.19%,$1793,$1445,$349,$0,$250,$1711,$82,$-18,$65,$17,$48,$48,$47,$105,$82,$44,48,$1.00,$1.04,$110,$821,$0,$2103,$158,$0,$2124,$31,$2329,$4432,$874,$1363,$63,$1594,$2468,$1,$1915,$-392,$1964,$4432,$101,$74,$87,$160,$55,$-2,$-41,$29,$40,$300,$-10,$0,$-51,$0,$0,$0,$-10,$-70,$-241,$-20,$-261,$-5,$-5,$0,$-11,$-276,$-50,$12,$0
8,2016-09-30,61.49,$41.01,1.5,$156.97,0.39,$14.26,4.31,$2.17,28.34,$2.24B,$0.96B,2.34,$0.00B,$1.99B,0.0,$7.41B,$1.46B,19.76%,$7.41B,$0.34B,4.60%,$7.41B,$0.34B,4.60%,$7.41B,$0.42B,5.66%,$7.41B,$0.15B,2.00%,$7.41B,$0.10B,1.38%,$0.10B,$1.99B,5.37%,$0.10B,$-0.15B,-42.06%,$0.10B,$4.61B,2.20%,$0.34B,$1.99B,11.57%,$1855,$1490,$365,$0,$256,$1763,$93,$-145,$-52,$-21,$-31,$-31,$-32,$109,$93,$43,43,$-0.73,$-0.73,$113,$833,$0,$2244,$161,$0,$2143,$62,$2366,$4609,$960,$0,$57,$1657,$2617,$1,$1909,$-357,$1993,$4609,$53,$50,$102,$152,$12,$-8,$-30,$28,$0,$217,$-13,$0,$-51,$0,$0,$0,$-4,$-68,$-184,$-7,$-191,$-4,$-4,$0,$-3,$-198,$-47,$0,$0
9,2016-06-30,51.49,$45.99,1.12,$152.90,0.34,$12.77,4.03,$4.10,12.56,$2.31B,$0.97B,2.38,$1.36B,$1.94B,0.7,$7.47B,$1.48B,19.79%,$7.47B,$0.35B,4.74%,$7.47B,$0.35B,4.74%,$7.47B,$0.43B,5.79%,$7.47B,$0.29B,3.83%,$7.47B,$0.20B,2.65%,$0.20B,$1.94B,10.75%,$0.20B,$-0.22B,-71.03%,$0.20B,$4.69B,4.26%,$0.35B,$3.30B,10.88%,$1912,$1532,$379,$0,$275,$1824,$88,$-19,$69,$19,$50,$50,$50,$105,$88,$42,49,$1.18,$1.02,$160,$831,$0,$2307,$164,$0,$2160,$62,$2386,$4693,$971,$1361,$57,$1779,$2750,$1,$1941,$-343,$1943,$4693,$84,$33,$13,$47,$12,$-4,$-19,$11,$-3,$139,$-7,$0,$-51,$0,$0,$0,$-8,$-66,$-76,$7,$-69,$-1,$-1,$0,$-6,$-76,$0,$0,$0
