,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-08-31,177.45,$11.23,15.81,$29.23,6.07,$7.74,22.94,$4.64,38.24,$0.17B,$0.09B,1.96,$0.06B,$0.16B,0.4,$0.41B,$0.23B,55.26%,$0.41B,$0.08B,19.07%,$0.41B,$0.08B,19.07%,$0.41B,$0.09B,21.03%,$0.41B,$0.08B,18.34%,$0.41B,$0.07B,15.89%,$0.07B,$0.16B,43.12%,$0.07B,$0.05B,160.49%,$0.07B,$0.32B,17.59%,$0.08B,$0.22B,29.55%,$103,$46,$57,$0,$36,$83,$20,$-1,$19,$-3,$22,$22,$21,$22,$20,$14,14,$1.55,$1.54,$49,$37,$13,$168,$36,$0,$109,$3,$149,$317,$86,$63,$2,$76,$162,$0,$351,$-28,$155,$317,$65,$8,$-3,$4,$-6,$-1,$6,$-5,$-5,$65,$-12,$-0,$0,$83,$0,$83,$0,$71,$20,$-87,$-68,$-22,$-22,$-30,$-2,$-121,$12,$4,$-30
1,2018-05-31,137.09,$10.70,12.81,$28.72,4.77,$6.48,21.14,$4.11,33.36,$0.24B,$0.14B,1.75,$0.08B,$0.15B,0.56,$0.40B,$0.22B,55.33%,$0.40B,$0.08B,19.35%,$0.40B,$0.08B,19.35%,$0.40B,$0.09B,21.34%,$0.40B,$0.08B,18.86%,$0.40B,$0.06B,14.39%,$0.06B,$0.15B,39.52%,$0.06B,$0.04B,161.11%,$0.06B,$0.39B,15.15%,$0.08B,$0.23B,28.08%,$107,$48,$59,$0,$36,$85,$22,$-1,$21,$5,$16,$16,$16,$24,$22,$14,14,$1.15,$1.15,$124,$38,$5,$237,$36,$0,$110,$3,$150,$387,$135,$83,$8,$103,$238,$0,$337,$-25,$149,$387,$44,$6,$-4,$2,$-6,$-2,$-2,$9,$-4,$42,$-10,$-0,$0,$84,$0,$84,$0,$74,$20,$-5,$14,$-18,$-18,$-22,$-2,$-27,$86,$4,$-22
2,2018-02-28,123.78,$11.08,11.17,$28.01,4.42,$5.65,21.91,$3.98,31.1,$0.24B,$0.07B,3.65,$0.15B,$0.15B,0.99,$0.39B,$0.22B,55.33%,$0.39B,$0.08B,19.54%,$0.39B,$0.08B,19.54%,$0.39B,$0.08B,21.32%,$0.39B,$0.08B,19.04%,$0.39B,$0.06B,14.21%,$0.06B,$0.15B,39.16%,$0.06B,$0.04B,176.38%,$0.06B,$0.39B,14.91%,$0.08B,$0.31B,26.83%,$101,$45,$56,$0,$36,$82,$19,$-1,$18,$3,$15,$15,$15,$21,$19,$14,14,$1.05,$1.05,$123,$40,$6,$242,$37,$0,$111,$3,$152,$394,$67,$153,$8,$173,$240,$0,$329,$-16,$154,$394,$27,$4,$-4,$0,$-7,$-4,$-0,$9,$-6,$21,$-9,$-0,$0,$-0,$0,$-0,$0,$-9,$20,$-7,$13,$-11,$-11,$-14,$-2,$-14,$-1,$3,$-14
3,2017-11-30,118.01,$10.40,11.35,$27.60,4.28,$5.05,23.39,$3.80,31.06,$0.24B,$0.06B,3.9,$0.15B,$0.15B,1.05,$0.39B,$0.22B,55.38%,$0.39B,$0.08B,19.74%,$0.39B,$0.08B,19.74%,$0.39B,$0.08B,21.54%,$0.39B,$0.08B,19.23%,$0.39B,$0.05B,13.59%,$0.05B,$0.15B,38.69%,$0.05B,$0.03B,209.90%,$0.05B,$0.38B,14.54%,$0.08B,$0.30B,27.90%,$98,$43,$54,$0,$36,$80,$17,$-1,$17,$4,$13,$13,$13,$19,$17,$14,14,$0.90,$0.90,$130,$37,$5,$235,$29,$0,$112,$3,$144,$380,$60,$153,$2,$174,$235,$0,$321,$-24,$145,$380,$13,$2,$2,$4,$0,$-1,$-4,$3,$-4,$13,$-1,$-0,$0,$-0,$0,$-0,$0,$-1,$20,$-10,$10,$-4,$-4,$-7,$-2,$-2,$10,$2,$-7
4,2017-08-31,107.22,$9.97,10.76,$26.91,3.98,$4.51,23.79,$3.72,28.82,$0.23B,$0.08B,2.98,$0.13B,$0.14B,0.96,$0.38B,$0.21B,55.91%,$0.38B,$0.08B,20.21%,$0.38B,$0.08B,20.21%,$0.38B,$0.08B,21.78%,$0.38B,$0.07B,19.42%,$0.38B,$0.05B,13.65%,$0.05B,$0.14B,39.17%,$0.05B,$0.03B,253.66%,$0.05B,$0.37B,14.73%,$0.08B,$0.27B,29.19%,$97,$42,$54,$0,$33,$77,$20,$-0,$20,$5,$14,$14,$14,$22,$20,$14,14,$1.02,$1.01,$117,$35,$8,$225,$29,$0,$112,$3,$145,$370,$75,$134,$2,$155,$230,$0,$316,$-28,$139,$370,$53,$7,$6,$13,$0,$-3,$3,$-3,$-10,$56,$-20,$0,$0,$-23,$0,$-23,$0,$-42,$0,$32,$32,$-30,$-30,$-27,$-2,$-27,$-14,$4,$-27
5,2017-05-31,103.55,$9.58,10.81,$26.83,3.86,$6.23,16.63,$3.70,27.99,$0.22B,$0.07B,3.08,$0.13B,$0.13B,1.0,$0.38B,$0.22B,56.43%,$0.38B,$0.08B,19.69%,$0.38B,$0.08B,19.69%,$0.38B,$0.08B,21.00%,$0.38B,$0.07B,19.16%,$0.38B,$0.05B,13.65%,$0.05B,$0.13B,39.10%,$0.05B,$0.02B,260.00%,$0.05B,$0.36B,15.05%,$0.08B,$0.27B,28.74%,$98,$44,$54,$0,$33,$78,$21,$-0,$20,$6,$14,$14,$14,$22,$21,$14,14,$1.02,$1.02,$112,$37,$3,$216,$26,$0,$112,$3,$141,$358,$70,$134,$2,$153,$223,$0,$308,$-30,$134,$358,$39,$5,$4,$9,$-2,$-5,$-0,$2,$-13,$35,$-15,$0,$0,$-22,$0,$-22,$0,$-37,$0,$32,$32,$-26,$-26,$-20,$-2,$-15,$-19,$4,$-20
6,2017-02-28,107.16,$9.20,11.65,$26.58,4.03,$7.68,13.95,$3.56,30.1,$0.21B,$0.07B,3.18,$0.13B,$0.13B,1.03,$0.38B,$0.22B,56.99%,$0.38B,$0.07B,19.26%,$0.38B,$0.07B,19.26%,$0.38B,$0.08B,20.58%,$0.38B,$0.07B,18.73%,$0.38B,$0.05B,13.46%,$0.05B,$0.13B,37.16%,$0.05B,$0.02B,221.74%,$0.05B,$0.35B,14.85%,$0.07B,$0.26B,27.94%,$97,$42,$54,$0,$35,$78,$19,$-0,$18,$6,$12,$12,$12,$21,$19,$14,14,$0.87,$0.87,$101,$38,$6,$212,$22,$0,$113,$3,$139,$350,$67,$134,$3,$154,$221,$0,$301,$-33,$130,$350,$24,$3,$4,$7,$-4,$-7,$5,$1,$-15,$16,$-13,$0,$0,$-13,$0,$-13,$0,$-25,$0,$26,$26,$-18,$-18,$-13,$-2,$-7,$-17,$3,$-13
7,2016-11-30,104.71,$9.09,11.52,$26.31,3.98,$7.98,13.11,$3.63,28.84,$0.20B,$0.06B,3.04,$0.12B,$0.13B,0.95,$0.38B,$0.21B,56.76%,$0.38B,$0.07B,19.10%,$0.38B,$0.07B,19.10%,$0.38B,$0.08B,20.42%,$0.38B,$0.07B,19.10%,$0.38B,$0.05B,14.06%,$0.05B,$0.13B,37.46%,$0.05B,$0.02B,201.90%,$0.05B,$0.33B,15.49%,$0.07B,$0.25B,27.53%,$89,$38,$51,$0,$34,$73,$17,$-0,$16,$5,$12,$12,$12,$18,$17,$14,14,$0.82,$0.82,$101,$34,$4,$195,$22,$0,$114,$3,$139,$334,$64,$122,$3,$141,$205,$0,$295,$-33,$128,$334,$12,$2,$2,$4,$6,$-3,$0,$1,$0,$16,$-11,$0,$0,$-12,$0,$-12,$0,$-24,$0,$12,$12,$-12,$-12,$-6,$-2,$-7,$-17,$2,$-6
8,2016-08-31,114.4,$9.88,11.58,$26.43,4.33,$8.67,13.19,$3.64,31.43,$0.21B,$0.06B,3.57,$0.12B,$0.14B,0.87,$0.38B,$0.21B,56.17%,$0.38B,$0.07B,18.90%,$0.38B,$0.07B,18.90%,$0.38B,$0.08B,20.47%,$0.38B,$0.07B,19.16%,$0.38B,$0.05B,13.91%,$0.05B,$0.14B,35.81%,$0.05B,$0.03B,169.60%,$0.05B,$0.34B,15.31%,$0.07B,$0.26B,26.97%,$97,$41,$56,$0,$37,$80,$18,$2,$19,$5,$14,$14,$14,$19,$18,$14,14,$0.99,$0.99,$109,$32,$4,$209,$12,$0,$115,$3,$130,$340,$59,$122,$2,$141,$199,$0,$290,$-27,$140,$340,$53,$6,$0,$7,$-10,$-1,$3,$6,$6,$65,$-4,$0,$0,$-17,$0,$-17,$0,$-21,$0,$14,$14,$-31,$-31,$-24,$-3,$-43,$-3,$4,$-24
9,2016-05-31,107.28,$10.57,10.15,$25.95,4.13,$7.80,13.76,$3.45,31.09,$0.22B,$0.06B,4.01,$0.12B,$0.15B,0.78,$0.38B,$0.21B,55.32%,$0.38B,$0.07B,18.62%,$0.38B,$0.07B,18.62%,$0.38B,$0.08B,20.21%,$0.38B,$0.07B,18.62%,$0.38B,$0.05B,13.56%,$0.05B,$0.15B,33.44%,$0.05B,$0.03B,148.91%,$0.05B,$0.35B,14.74%,$0.07B,$0.27B,26.12%,$96,$42,$55,$0,$35,$78,$19,$-1,$18,$5,$13,$13,$13,$20,$19,$14,14,$0.88,$0.88,$110,$33,$4,$218,$12,$0,$117,$3,$131,$350,$55,$118,$2,$145,$199,$0,$281,$-15,$151,$350,$38,$5,$0,$5,$-7,$-2,$3,$2,$0,$44,$-3,$0,$0,$-16,$0,$-16,$0,$-20,$0,$10,$10,$-24,$-24,$-18,$2,$-30,$-7,$3,$-18
