,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,34.25,$24.96,1.37,$13.91,2.46,$5.54,6.19,$1.85,18.51,$0.75B,$0.70B,1.07,$0.07B,$0.06B,1.15,$0.03B,$0.03B,82.35%,$0.03B,$0.01B,23.53%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.01B,23.53%,$0.03B,$0.00B,11.76%,$0.00B,$0.06B,6.58%,$0.00B,$0.06B,6.58%,$0.00B,$0.84B,0.49%,$0.01B,$0.14B,5.40%,$9,$2,$7,$0,$5,$7,$2,$0,$2,$1,$2,$2,$2,$0,$0,$2,3,$0.65,$0.62,$24,$0,$0,$747,$4,$73,$0,$10,$90,$837,$702,$72,$0,$72,$774,$0,$39,$-1,$63,$837,$4,$1,$0,$1,$-1,$0,$0,$-1,$-1,$4,$-1,$0,$0,$0,$-2,$-2,$-34,$-37,$-15,$-11,$-25,$0,$0,$-0,$54,$28,$-4,$0,$-0
1,2018-06-30,33.83,$24.52,1.38,$13.44,2.52,$7.24,4.67,$1.71,19.78,$0.74B,$0.68B,1.1,$0.09B,$0.06B,1.51,$0.03B,$0.03B,81.82%,$0.03B,$0.01B,24.24%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.01B,24.24%,$0.03B,$0.00B,9.09%,$0.00B,$0.06B,5.02%,$0.00B,$0.06B,5.02%,$0.00B,$0.83B,0.37%,$0.01B,$0.15B,5.21%,$9,$2,$7,$0,$5,$7,$2,$0,$2,$1,$1,$1,$1,$0,$0,$2,3,$0.59,$0.57,$34,$0,$0,$741,$3,$73,$0,$10,$89,$830,$676,$92,$0,$92,$769,$0,$37,$-1,$61,$830,$3,$0,$0,$1,$-1,$0,$0,$-1,$-2,$2,$-0,$0,$0,$0,$-2,$-2,$-18,$-20,$6,$-8,$-2,$0,$0,$-0,$26,$24,$5,$0,$-0
2,2018-03-31,29.75,$23.97,1.24,$12.91,2.31,$8.41,3.54,$1.52,19.57,$0.73B,$0.66B,1.1,$0.10B,$0.06B,1.63,$0.03B,$0.03B,83.87%,$0.03B,$0.01B,25.81%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.01B,25.81%,$0.03B,$0.00B,9.68%,$0.00B,$0.06B,5.08%,$0.00B,$0.06B,5.08%,$0.00B,$0.82B,0.38%,$0.01B,$0.16B,5.10%,$8,$2,$7,$0,$5,$6,$2,$0,$2,$1,$1,$1,$1,$0,$0,$2,2,$0.60,$0.58,$51,$0,$0,$733,$3,$73,$0,$10,$89,$822,$664,$98,$0,$98,$762,$0,$36,$-1,$60,$822,$1,$0,$0,$0,$0,$0,$0,$-1,$-1,$1,$-0,$0,$0,$0,$-2,$-2,$7,$5,$11,$-21,$-10,$0,$0,$-0,$26,$16,$23,$0,$-0
3,2017-12-31,29.6,$23.63,1.25,$12.39,2.39,$9.11,3.25,$0.94,31.49,$0.72B,$0.66B,1.09,$0.09B,$0.06B,1.47,$0.03B,$0.03B,83.33%,$0.03B,$0.01B,23.33%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.01B,23.33%,$0.03B,$0.00B,10.00%,$0.00B,$0.06B,5.17%,$0.00B,$0.06B,5.17%,$0.00B,$0.81B,0.40%,$0.01B,$0.15B,4.42%,$8,$2,$7,$0,$5,$6,$2,$0,$2,$2,$0,$0,$0,$0,$0,$2,2,$0.08,$0.08,$29,$0,$0,$717,$3,$72,$0,$10,$88,$805,$659,$87,$0,$87,$746,$0,$35,$0,$59,$805,$3,$1,$1,$2,$1,$0,$0,$1,$3,$8,$-0,$0,$0,$0,$-2,$-2,$-110,$-112,$-6,$17,$11,$0,$0,$-0,$94,$104,$0,$1,$-0
4,2017-09-30,26.86,$23.69,1.13,$11.93,2.25,$6.86,3.91,$0.86,31.23,$0.68B,$0.61B,1.11,$0.10B,$0.06B,1.64,$0.03B,$0.02B,82.76%,$0.03B,$0.01B,20.69%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.01B,20.69%,$0.03B,$0.00B,13.79%,$0.00B,$0.06B,7.02%,$0.00B,$0.06B,7.02%,$0.00B,$0.77B,0.55%,$0.01B,$0.16B,3.78%,$8,$1,$6,$0,$4,$6,$2,$0,$2,$1,$1,$1,$1,$0,$0,$2,2,$0.49,$0.48,$31,$0,$0,$682,$3,$72,$0,$10,$88,$770,$614,$97,$0,$97,$711,$0,$35,$0,$59,$770,$3,$1,$0,$1,$1,$0,$0,$2,$4,$8,$-0,$0,$0,$0,$-1,$-1,$-72,$-74,$4,$6,$10,$0,$0,$-0,$59,$68,$3,$0,$-0
5,2017-06-30,27.5,$23.16,1.19,$11.59,2.37,$4.02,6.84,$0.38,72.38,$0.64B,$0.56B,1.14,$0.11B,$0.06B,1.92,$0.03B,$0.02B,85.71%,$0.03B,$0.01B,17.86%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.01B,17.86%,$0.03B,$0.00B,14.29%,$0.00B,$0.06B,7.14%,$0.00B,$0.06B,7.14%,$0.00B,$0.73B,0.57%,$0.01B,$0.17B,3.22%,$7,$1,$6,$0,$4,$6,$2,$0,$2,$1,$1,$1,$1,$0,$0,$2,2,$0.40,$0.38,$22,$0,$0,$643,$4,$73,$0,$10,$90,$732,$564,$111,$0,$111,$675,$0,$34,$0,$58,$732,$2,$1,$0,$1,$0,$0,$0,$2,$2,$4,$-0,$0,$0,$0,$-2,$-2,$-41,$-44,$18,$3,$21,$0,$0,$-0,$12,$33,$-6,$0,$-0
6,2017-03-31,26.06,$22.69,1.15,$11.41,2.28,$2.50,10.43,0,0.0,$0.62B,$0.54B,1.14,$0.11B,$0.06B,1.89,$0.03B,$0.02B,82.14%,$0.03B,$0.00B,14.29%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.00B,14.29%,$0.03B,$0.00B,14.29%,$0.00B,$0.06B,7.24%,$0.00B,$0.06B,7.24%,$0.00B,$0.70B,0.59%,$0.00B,$0.16B,2.70%,$7,$1,$6,$0,$4,$6,$1,$0,$1,$1,$1,$1,$1,$0,$0,$2,2,$0.37,$0.36,$26,$0,$0,$615,$4,$73,$0,$10,$89,$704,$541,$107,$0,$107,$648,$0,$33,$-0,$56,$704,$1,$0,$0,$0,$1,$0,$0,$0,$2,$3,$-0,$0,$0,$0,$-2,$-2,$-11,$-13,$14,$-9,$5,$0,$0,$-0,$3,$8,$-2,$0,$-0
7,2016-12-31,27.46,$22.22,1.24,$11.25,2.44,$1.55,17.67,0,0.0,$0.61B,$0.55B,1.11,$0.09B,$0.06B,1.68,$0.03B,$0.02B,81.48%,$0.03B,$0.00B,14.81%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.00B,14.81%,$0.03B,$0.00B,14.81%,$0.00B,$0.06B,7.31%,$0.00B,$0.06B,7.31%,$0.00B,$0.70B,0.61%,$0.00B,$0.15B,2.83%,$7,$1,$6,$0,$4,$6,$1,$0,$1,$0,$1,$1,$1,$0,$0,$2,2,$0.31,$0.30,$29,$0,$0,$608,$4,$70,$0,$11,$88,$695,$547,$93,$0,$93,$640,$0,$32,$-0,$55,$695,$3,$1,$0,$1,$-0,$0,$0,$-1,$-1,$3,$-1,$0,$0,$0,$-3,$-3,$-69,$-73,$10,$1,$11,$-0,$-0,$-0,$59,$70,$0,$1,$-0
8,2016-09-30,21.67,$22.52,0.96,$11.12,1.95,$1.81,11.95,0,0.0,$0.58B,$0.52B,1.1,$0.09B,$0.06B,1.59,$0.03B,$0.02B,80.77%,$0.03B,$0.00B,15.38%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.00B,15.38%,$0.03B,$0.00B,15.38%,$0.00B,$0.06B,7.41%,$0.00B,$0.06B,7.41%,$0.00B,$0.67B,0.63%,$0.00B,$0.14B,2.89%,$7,$1,$6,$0,$4,$6,$1,$0,$1,$0,$1,$1,$1,$0,$0,$2,2,$0.32,$0.32,$25,$0,$0,$577,$4,$73,$0,$10,$89,$666,$523,$88,$0,$88,$611,$0,$31,$1,$55,$666,$2,$1,$0,$1,$-1,$0,$0,$-0,$-2,$2,$-1,$0,$0,$0,$-4,$-4,$-41,$-46,$5,$4,$9,$0,$0,$-0,$32,$41,$-4,$0,$-0
9,2016-06-30,20.02,$22.23,0.9,$10.82,1.85,$2.84,7.05,0,0.0,$0.56B,$0.51B,1.1,$0.08B,$0.06B,1.54,$0.03B,$0.02B,80.00%,$0.03B,$0.00B,16.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.00B,16.00%,$0.03B,$0.00B,16.00%,$0.00B,$0.06B,7.55%,$0.00B,$0.06B,7.55%,$0.00B,$0.65B,0.65%,$0.00B,$0.14B,3.03%,$7,$1,$5,$0,$4,$5,$1,$0,$1,$0,$1,$1,$1,$0,$0,$2,2,$0.31,$0.31,$24,$0,$0,$559,$4,$72,$0,$10,$88,$647,$508,$84,$0,$84,$592,$0,$31,$1,$55,$647,$1,$1,$0,$1,$-2,$0,$0,$1,$-1,$1,$-1,$0,$0,$0,$-3,$-3,$-23,$-27,$1,$-1,$1,$0,$0,$-0,$21,$21,$-4,$0,$-0
