,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,64.32,$40.66,1.58,$12.25,5.25,$6.20,10.37,$1.45,44.36,$1.66B,$1.08B,1.55,$13.50B,$14.55B,0.93,$4.56B,$2.17B,47.53%,$4.56B,$0.94B,20.56%,$4.56B,$0.94B,20.56%,$4.56B,$1.90B,41.71%,$4.56B,$0.28B,6.09%,$4.56B,$0.54B,11.92%,$0.54B,$15.27B,3.62%,$0.54B,$15.20B,3.64%,$0.54B,$30.25B,1.92%,$0.94B,$28.77B,3.47%,$1236,$657,$579,$0,$29,$1018,$219,$-158,$61,$2,$59,$60,$64,$467,$219,$373,374,$0.17,$0.17,$281,$0,$0,$1660,$28097,$0,$68,$423,$28589,$30249,$1075,$13504,$0,$13905,$14980,$376,$-4470,$-138,$15269,$30249,$705,$722,$-308,$414,$-11,$0,$0,$0,$92,$1211,$-2244,$0,$0,$0,$148,$148,$-37,$-2133,$1775,$0,$1775,$242,$242,$-1006,$-111,$900,$-28,$23,$-1006
1,2018-06-30,61.84,$39.78,1.55,$11.89,5.2,$12.92,4.79,$1.48,41.78,$1.74B,$0.99B,1.77,$11.44B,$14.08B,0.81,$4.42B,$2.16B,48.82%,$4.42B,$0.93B,20.98%,$4.42B,$0.93B,20.98%,$4.42B,$1.88B,42.51%,$4.42B,$0.30B,6.84%,$4.42B,$0.55B,12.54%,$0.55B,$14.80B,3.69%,$0.55B,$14.73B,3.71%,$0.55B,$27.62B,1.99%,$0.93B,$26.24B,3.50%,$1126,$569,$557,$0,$33,$848,$278,$-119,$159,$4,$155,$157,$154,$519,$278,$372,373,$0.42,$0.41,$272,$0,$0,$1743,$25358,$0,$68,$450,$25876,$27619,$985,$11436,$0,$11834,$12819,$373,$-4210,$-133,$14800,$27619,$621,$474,$-287,$187,$-16,$0,$0,$0,$31,$838,$177,$0,$0,$0,$15,$15,$-63,$130,$-264,$0,$-264,$10,$10,$-671,$-75,$-1000,$-37,$17,$-671
2,2018-03-31,52.87,$40.49,1.31,$11.75,4.5,$14.46,3.66,$1.58,33.46,$1.67B,$0.95B,1.76,$11.35B,$14.34B,0.79,$4.35B,$2.16B,49.57%,$4.35B,$0.94B,21.65%,$4.35B,$0.94B,21.65%,$4.35B,$1.88B,43.23%,$4.35B,$0.30B,6.89%,$4.35B,$0.59B,13.51%,$0.59B,$15.06B,3.88%,$0.59B,$14.99B,3.90%,$0.59B,$27.75B,2.10%,$0.94B,$26.41B,3.54%,$1097,$556,$541,$0,$34,$822,$275,$-155,$119,$2,$118,$115,$438,$508,$275,$371,373,$1.18,$1.17,$264,$0,$0,$1665,$25573,$0,$68,$440,$26082,$27747,$949,$11350,$0,$11739,$12687,$373,$-4041,$-91,$15059,$27747,$454,$233,$-313,$-80,$6,$0,$0,$0,$-5,$369,$417,$0,$0,$0,$55,$55,$-51,$421,$-481,$0,$-481,$7,$7,$-336,$-26,$-835,$-45,$12,$-336
3,2017-12-31,60.96,$40.15,1.52,$11.73,5.2,$15.81,3.86,$1.27,48.0,$1.69B,$0.91B,1.85,$11.73B,$14.21B,0.83,$4.32B,$2.17B,50.25%,$4.32B,$0.95B,21.96%,$4.32B,$0.95B,21.96%,$4.32B,$1.89B,43.70%,$4.32B,$0.30B,6.95%,$4.32B,$0.46B,10.73%,$0.46B,$14.93B,3.06%,$0.46B,$14.86B,3.07%,$0.46B,$27.94B,1.66%,$0.95B,$26.66B,3.55%,$1104,$611,$493,$0,$28,$938,$166,$-227,$-61,$26,$-87,$-146,$-112,$409,$166,$367,369,$-0.31,$-0.31,$309,$0,$0,$1687,$25744,$0,$68,$446,$26257,$27944,$912,$11732,$0,$12107,$13019,$372,$-4155,$-111,$14925,$27944,$541,$939,$-95,$843,$23,$0,$0,$0,$50,$1434,$90,$0,$0,$0,$65,$65,$-0,$155,$-826,$0,$-826,$622,$334,$-1326,$-96,$-1914,$-298,$19,$-1326
4,2017-09-30,66.34,$41.16,1.61,$11.73,5.66,$15.07,4.4,$2.48,26.75,$1.81B,$1.03B,1.76,$11.52B,$14.53B,0.79,$4.29B,$2.25B,52.42%,$4.29B,$1.08B,25.08%,$4.29B,$1.08B,25.08%,$4.29B,$2.00B,46.67%,$4.29B,$0.50B,11.61%,$4.29B,$0.91B,21.17%,$0.91B,$15.25B,5.96%,$0.91B,$15.18B,5.99%,$0.91B,$28.18B,3.22%,$1.08B,$26.77B,4.00%,$1091,$524,$567,$0,$30,$884,$208,$-123,$85,$1,$84,$88,$74,$442,$208,$369,371,$0.20,$0.20,$295,$0,$0,$1806,$25899,$0,$68,$408,$26374,$28180,$1027,$11522,$0,$11908,$12936,$371,$-3722,$-141,$15245,$28180,$630,$696,$-249,$447,$-86,$0,$0,$0,$85,$1162,$307,$0,$0,$0,$68,$68,$26,$400,$-1083,$0,$-1083,$531,$243,$-993,$-67,$-1899,$-312,$16,$-993
5,2017-06-30,69.8,$41.51,1.68,$11.77,5.93,$10.84,6.44,$3.21,21.75,$2.01B,$0.89B,2.25,$11.38B,$14.60B,0.78,$4.28B,$2.29B,53.46%,$4.28B,$1.20B,28.03%,$4.28B,$1.20B,28.03%,$4.28B,$2.11B,49.35%,$4.28B,$0.61B,14.19%,$4.28B,$1.17B,27.33%,$1.17B,$15.31B,7.67%,$1.17B,$15.25B,7.70%,$1.17B,$27.98B,4.09%,$1.20B,$26.69B,4.38%,$1059,$502,$557,$0,$33,$766,$293,$-136,$157,$-8,$165,$161,$188,$522,$293,$367,368,$0.51,$0.51,$488,$0,$0,$2006,$25476,$0,$68,$425,$25970,$27976,$893,$11380,$0,$11769,$12662,$370,$-3475,$-164,$15314,$27976,$541,$461,$-224,$237,$-4,$0,$0,$0,$66,$844,$724,$0,$0,$0,$5,$5,$27,$757,$-1118,$0,$-1118,$424,$137,$-660,$-90,$-1732,$-120,$10,$-660
6,2017-03-31,65.23,$41.45,1.57,$11.89,5.48,$7.58,8.6,$3.24,20.13,$2.05B,$0.82B,2.51,$11.45B,$14.39B,0.8,$4.30B,$2.35B,54.66%,$4.30B,$1.25B,29.07%,$4.30B,$1.25B,29.07%,$4.30B,$2.16B,50.30%,$4.30B,$0.66B,15.39%,$4.30B,$1.18B,27.37%,$1.18B,$15.11B,7.77%,$1.18B,$15.04B,7.81%,$1.18B,$27.77B,4.07%,$1.25B,$26.56B,4.51%,$1062,$510,$552,$0,$31,$781,$281,$-162,$119,$2,$117,$94,$313,$513,$281,$363,365,$0.86,$0.86,$423,$0,$0,$2047,$25236,$0,$68,$416,$25720,$27767,$817,$11454,$0,$11840,$12657,$365,$-3344,$-177,$15110,$27767,$338,$232,$-190,$42,$-13,$0,$0,$0,$6,$386,$873,$0,$0,$0,$-8,$-8,$55,$920,$-933,$0,$-933,$120,$-168,$-330,$-62,$-1493,$-184,$5,$-330
7,2016-12-31,60.84,$42.14,1.44,$11.92,5.1,$4.43,13.73,$2.80,21.73,$2.39B,$0.83B,2.89,$12.36B,$14.28B,0.87,$4.28B,$2.39B,55.90%,$4.28B,$1.28B,29.97%,$4.28B,$1.28B,29.97%,$4.28B,$2.19B,51.23%,$4.28B,$0.71B,16.58%,$4.28B,$1.01B,23.64%,$1.01B,$15.28B,6.70%,$1.01B,$15.21B,6.73%,$1.01B,$28.87B,3.47%,$1.28B,$27.64B,4.57%,$1078,$505,$573,$0,$33,$784,$294,$-157,$137,$-17,$154,$151,$333,$525,$294,$358,360,$0.93,$0.92,$607,$0,$0,$2392,$25948,$0,$68,$457,$26473,$28865,$827,$12358,$0,$12757,$13584,$363,$-3341,$-170,$15281,$28865,$1082,$910,$-350,$561,$-18,$0,$0,$0,$-4,$1639,$-418,$0,$0,$0,$228,$228,$6,$-183,$-466,$0,$-466,$534,$534,$-1299,$-20,$-1251,$185,$29,$-1299
8,2016-09-30,67.08,$42.12,1.59,$11.87,5.65,$-3.48,0.0,$2.26,29.68,$2.41B,$0.77B,3.14,$13.43B,$14.26B,0.94,$4.23B,$2.41B,56.97%,$4.23B,$1.24B,29.40%,$4.23B,$1.24B,29.40%,$4.23B,$2.15B,50.76%,$4.23B,$0.70B,16.47%,$4.23B,$0.81B,19.19%,$0.81B,$15.26B,5.39%,$0.81B,$15.20B,5.41%,$0.81B,$29.86B,2.78%,$1.24B,$28.70B,4.41%,$1079,$474,$605,$0,$37,$748,$331,$-137,$194,$-0,$194,$192,$335,$551,$331,$359,361,$0.93,$0.93,$512,$0,$0,$2411,$26898,$0,$68,$479,$27446,$29856,$768,$13431,$0,$13824,$14592,$363,$-3362,$-151,$15264,$29856,$731,$679,$-174,$505,$-36,$0,$0,$0,$44,$1280,$-1377,$0,$0,$-21,$176,$155,$-70,$-1291,$530,$0,$530,$520,$520,$-970,$9,$88,$68,$21,$-970
9,2016-06-30,67.58,$41.57,1.63,$11.66,5.8,$-6.25,0.0,$1.85,36.53,$2.31B,$0.73B,3.17,$12.97B,$13.86B,0.94,$4.13B,$2.38B,57.50%,$4.13B,$1.23B,29.79%,$4.13B,$1.23B,29.79%,$4.13B,$2.12B,51.40%,$4.13B,$0.70B,16.92%,$4.13B,$0.66B,15.95%,$0.66B,$14.87B,4.38%,$0.66B,$14.80B,4.40%,$0.66B,$28.97B,2.30%,$1.23B,$27.84B,4.45%,$1077,$459,$618,$0,$40,$734,$343,$-132,$211,$-1,$211,$209,$195,$572,$343,$357,359,$0.55,$0.54,$525,$0,$0,$2310,$26043,$0,$68,$543,$26654,$28965,$728,$12974,$0,$13368,$14096,$358,$-3389,$-160,$14869,$28965,$376,$459,$-20,$439,$-3,$0,$0,$0,$41,$856,$-495,$0,$0,$3,$174,$177,$-44,$-361,$85,$0,$85,$159,$159,$-646,$22,$-380,$106,$15,$-646
