,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,45.33,$87.52,0.52,$42.98,1.05,$18.04,2.51,$5.30,8.55,$261.37B,$239.12B,1.09,$14.28B,$19.72B,0.72,$9.64B,$6.20B,64.29%,$9.64B,$2.51B,26.00%,$9.64B,0,0.00%,$9.64B,0,0.00%,$9.64B,$2.51B,26.00%,$9.64B,$1.55B,16.08%,$1.55B,$19.72B,8.19%,$1.55B,$19.16B,8.40%,$1.55B,$296.82B,0.53%,$2.51B,$34.00B,7.74%,$2471,$940,$1531,$0,$788,$1727,$743,$0,$743,$199,$544,$544,$504,$0,$0,$224,224,$2.25,$2.25,$10553,$0,$0,$261369,$2194,$32424,$558,$235,$35452,$296822,$239117,$14276,$23590,$37883,$277101,$3043,$15329,$0,$19721,$296822,$1729,$179,$-3841,$-3662,$0,$0,$2398,$-2085,$949,$2639,$-60,$-140,$-39,$0,$-4306,$-4306,$50,$-4494,$1116,$0,$1116,$0,$0,$-303,$26,$839,$-813,$0,$-303
1,2018-06-30,43.97,$83.86,0.52,$42.42,1.04,$0.41,107.77,$6.25,7.04,$24.22B,$240.65B,0.1,$14.31B,$18.90B,0.76,$9.52B,$6.26B,65.79%,$9.52B,$2.10B,22.04%,$9.52B,0,0.00%,$9.52B,0,0.00%,$9.52B,$2.10B,22.04%,$9.52B,$1.26B,13.27%,$1.26B,$18.90B,6.78%,$1.26B,$18.31B,6.95%,$1.26B,$293.91B,0.44%,$2.10B,$33.21B,6.52%,$2482,$874,$1608,$0,$712,$1586,$896,$0,$896,$246,$650,$650,$611,$0,$0,$224,224,$2.72,$2.72,$11035,$0,$0,$24215,$2206,$266606,$588,$193,$269690,$293905,$240647,$14310,$19949,$34271,$275008,$3043,$14826,$0,$18897,$293905,$1185,$114,$-12254,$-12140,$0,$0,$2834,$7001,$10272,$1630,$-38,$-93,$0,$0,$-1620,$-1620,$-17,$-1769,$-436,$0,$-436,$0,$0,$-230,$-373,$-1038,$-889,$0,$-230
2,2018-03-31,41.37,$79.07,0.52,$41.34,1.0,$-1.39,0.0,$5.12,8.08,$241.54B,$225.84B,1.07,$11.38B,$17.82B,0.64,$9.28B,$6.16B,66.37%,$9.28B,$1.74B,18.79%,$9.28B,0,0.00%,$9.28B,0,0.00%,$9.28B,$1.74B,18.79%,$9.28B,$1.03B,11.09%,$1.03B,$17.82B,5.56%,$1.03B,$17.52B,5.69%,$1.03B,$274.66B,0.36%,$1.74B,$29.20B,5.45%,$2092,$736,$1355,$0,$692,$1428,$663,$0,$663,$172,$491,$491,$457,$0,$0,$224,224,$2.04,$2.04,$9401,$0,$0,$241535,$2120,$30380,$297,$181,$33129,$274664,$225844,$11379,$19492,$30896,$256848,$3043,$12122,$0,$17817,$274664,$491,$41,$-861,$-820,$0,$0,$2183,$-1062,$1292,$1891,$-14,$-46,$-15,$0,$-549,$-549,$12,$-612,$-1572,$0,$-1572,$0,$0,$-27,$0,$-1600,$-268,$0,$-27
3,2017-12-31,44.69,$85.85,0.52,$41.07,1.09,$-2.74,0.0,$5.28,8.46,$262.18B,$249.41B,1.05,$13.85B,$19.27B,0.72,$9.21B,$6.09B,66.12%,$9.21B,$1.83B,19.82%,$9.21B,0,0.00%,$9.21B,0,0.00%,$9.21B,$1.83B,19.82%,$9.21B,$1.10B,11.95%,$1.10B,$19.27B,5.89%,$1.10B,$18.78B,6.04%,$1.10B,$296.32B,0.38%,$1.83B,$33.12B,5.51%,$2597,$892,$1705,$0,$1500,$2392,$205,$0,$205,$25,$180,$180,$-22,$0,$0,$224,224,$0.62,$0.62,$11946,$0,$0,$262181,$2321,$30869,$486,$153,$34136,$296318,$249410,$13851,$13729,$27601,$277052,$3168,$14633,$0,$19266,$296318,$1433,$221,$-4056,$-3835,$0,$0,$12774,$-17199,$-4032,$-1854,$-145,$-182,$-134,$0,$2150,$2150,$76,$1765,$1108,$0,$1108,$0,$0,$-315,$-850,$-57,$-640,$0,$-315
4,2017-09-30,45.2,$82.35,0.55,$37.62,1.2,$23.85,1.89,$5.29,8.54,$250.56B,$230.94B,1.09,$14.68B,$18.56B,0.79,$8.44B,$5.61B,66.48%,$8.44B,$1.75B,20.68%,$8.44B,0,0.00%,$8.44B,0,0.00%,$8.44B,$1.75B,20.68%,$8.44B,$1.18B,13.96%,$1.18B,$18.56B,6.50%,$1.18B,$18.08B,6.66%,$1.18B,$286.09B,0.43%,$1.75B,$33.24B,5.28%,$2346,$753,$1593,$0,$1259,$2011,$334,$0,$334,$79,$255,$255,$217,$0,$0,$224,224,$0.96,$0.96,$10280,$0,$0,$250555,$2242,$32381,$472,$203,$35533,$286088,$230939,$14683,$21866,$36569,$267532,$3043,$13971,$0,$18555,$286088,$1253,$161,$-3193,$-3032,$0,$0,$4794,$-7969,$-2807,$-1263,$-115,$-151,$-128,$0,$706,$706,$77,$389,$1371,$0,$1371,$0,$0,$-303,$-807,$262,$-701,$0,$-303
5,2017-06-30,47.21,$81.56,0.58,$36.27,1.3,$48.86,0.97,$5.57,8.48,$249.37B,$229.12B,1.09,$14.11B,$18.38B,0.77,$8.14B,$5.29B,65.05%,$8.14B,$1.81B,22.30%,$8.14B,0,0.00%,$8.14B,0,0.00%,$8.14B,$1.81B,22.30%,$8.14B,$1.24B,15.21%,$1.24B,$18.38B,6.83%,$1.24B,$17.92B,6.99%,$1.24B,$284.46B,0.45%,$1.81B,$32.49B,5.46%,$2240,$736,$1503,$0,$962,$1699,$541,$0,$541,$122,$420,$420,$377,$0,$0,$224,224,$1.68,$1.68,$10738,$0,$0,$249372,$2213,$32075,$456,$125,$35087,$284459,$229119,$14112,$22801,$36939,$266080,$3043,$13815,$0,$18378,$284459,$998,$109,$-2314,$-2205,$0,$0,$4664,$-4620,$334,$1249,$-61,$-87,$-13,$0,$688,$688,$63,$589,$-906,$0,$-906,$0,$0,$-242,$-779,$-1928,$-193,$0,$-242
6,2017-03-31,33.9,$82.15,0.41,$36.58,0.93,$45.59,0.74,$4.81,7.05,$244.92B,$224.90B,1.09,$15.18B,$18.51B,0.82,$8.21B,$5.29B,64.50%,$8.21B,$1.58B,19.30%,$8.21B,0,0.00%,$8.21B,0,0.00%,$8.21B,$1.58B,19.30%,$8.21B,$1.09B,13.31%,$1.09B,$18.51B,6.07%,$1.09B,$18.09B,6.21%,$1.09B,$279.82B,0.40%,$1.58B,$33.69B,4.67%,$2030,$739,$1291,$0,$546,$1285,$746,$0,$746,$167,$578,$578,$529,$0,$0,$224,224,$2.36,$2.36,$11592,$0,$0,$244920,$2198,$31810,$425,$203,$34899,$279819,$224903,$15180,$21162,$36362,$261309,$3043,$13437,$0,$18510,$279819,$578,$56,$-974,$-917,$0,$0,$1230,$-550,$847,$1597,$-23,$-32,$-8,$0,$416,$416,$48,$401,$-1333,$0,$-1333,$0,$0,$0,$-201,$-1534,$353,$0,$0
7,2016-12-31,30.85,$75.75,0.41,$36.10,0.85,$48.76,0.63,$3.94,7.83,$225.67B,$206.50B,1.09,$15.59B,$17.07B,0.91,$8.10B,$5.20B,64.18%,$8.10B,$1.29B,15.93%,$8.10B,0,0.00%,$8.10B,0,0.00%,$8.10B,$1.29B,15.93%,$8.10B,$0.88B,10.83%,$0.88B,$17.07B,5.07%,$0.88B,$16.67B,5.19%,$0.88B,$258.11B,0.33%,$1.29B,$32.66B,3.87%,$1823,$601,$1223,$0,$1099,$1700,$124,$0,$124,$23,$101,$101,$55,$0,$0,$224,224,$0.24,$0.24,$11001,$0,$0,$225666,$2042,$29630,$402,$171,$32440,$258106,$206497,$15593,$18875,$34487,$241038,$2809,$12139,$0,$17069,$258106,$1061,$209,$-3524,$-3314,$0,$0,$9868,$-7800,$2298,$4075,$-109,$-155,$-40,$0,$-3161,$-3161,$-46,$-3511,$386,$0,$386,$0,$0,$-140,$31,$277,$787,$0,$-140
8,2016-09-30,29.39,$82.24,0.36,$34.53,0.85,$29.63,0.99,$4.23,6.95,$247.67B,$222.69B,1.11,$15.50B,$18.53B,0.84,$8.19B,$5.24B,64.01%,$8.19B,$0.79B,9.61%,$8.19B,0,0.00%,$8.19B,0,0.00%,$8.19B,$1.43B,17.43%,$8.19B,$1.02B,12.47%,$1.02B,$18.53B,5.96%,$1.02B,$18.15B,6.08%,$1.02B,$281.55B,0.39%,$0.79B,$34.03B,2.35%,$2042,$767,$1275,$0,$871,$1639,$403,$0,$403,$80,$323,$323,$276,$0,$0,$224,224,$1.23,$1.23,$12599,$0,$0,$247669,$2194,$30969,$377,$196,$33880,$281549,$222689,$15498,$24750,$40266,$263018,$3043,$13063,$0,$18531,$281549,$1005,$172,$-2926,$-2754,$0,$0,$10191,$-7808,$2602,$4306,$-74,$-100,$-4,$0,$-1317,$-1317,$64,$-1431,$-1433,$0,$-1433,$0,$0,$-151,$380,$-1204,$1474,$0,$-151
9,2016-06-30,23.21,$79.25,0.29,$34.87,0.67,$5.71,4.06,$4.08,5.69,$244.16B,$220.82B,1.11,$17.41B,$17.86B,0.98,$8.27B,$5.22B,63.20%,$8.27B,$0.79B,9.55%,$8.27B,0,0.00%,$8.27B,0,0.00%,$8.27B,$1.39B,16.77%,$8.27B,$1.04B,12.53%,$1.04B,$17.86B,6.16%,$1.04B,$17.48B,6.29%,$1.04B,$277.94B,0.40%,$0.79B,$35.27B,2.00%,$2311,$807,$1504,$0,$1193,$2000,$311,$0,$311,$31,$280,$280,$232,$0,$0,$224,224,$1.03,$1.03,$9406,$0,$0,$244159,$2197,$30922,$379,$161,$33778,$277937,$220822,$17409,$21758,$39186,$260080,$3043,$12787,$0,$17857,$277937,$682,$118,$-2054,$-1935,$0,$0,$8417,$-8998,$-443,$498,$-43,$-43,$-4,$0,$-2091,$-2091,$53,$-2126,$818,$0,$818,$0,$0,$-151,$-92,$575,$-1144,$0,$-151
