,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.71,$-1.51,-1.8,$5.84,0.46,$-1.98,0.0,$-2.66,0.0,$3.73B,$2.30B,1.62,$7.63B,$-1.51B,-5.06,$5.81B,$1.11B,19.17%,$5.81B,$-1.83B,-31.44%,$5.81B,$-1.83B,-31.44%,$5.81B,$-1.22B,-20.95%,$5.81B,$-2.49B,-42.84%,$5.81B,$-2.65B,-45.58%,$-2.65B,$-1.51B,246.77%,$-2.65B,$-4.33B,66.74%,$-2.65B,$8.84B,-28.68%,$-1.83B,$6.12B,-27.91%,$1444,$1105,$339,$31,$223,$1457,$-13,$-159,$-172,$22,$-194,$-194,$-199,$115,$-13,$998,998,$-0.20,$-0.20,$393,$1097,$952,$3730,$2157,$0,$2824,$127,$5108,$8838,$2299,$7626,$421,$8047,$10346,$1,$-6568,$-1688,$-1508,$8838,$-695,$419,$247,$666,$-101,$33,$-90,$-136,$-318,$-347,$-141,$0,$63,$0,$0,$0,$37,$-41,$115,$170,$285,$0,$0,$0,$-62,$223,$-220,$38,$0
1,2018-06-30,3.29,$-1.32,-2.5,$5.86,0.56,$-2.38,0.0,$-2.72,0.0,$3.69B,$2.20B,1.68,$7.63B,$-1.31B,-5.82,$5.82B,$1.04B,17.85%,$5.82B,$-1.88B,-32.33%,$5.82B,$-1.88B,-32.33%,$5.82B,$-1.20B,-20.65%,$5.82B,$-2.54B,-43.65%,$5.82B,$-2.70B,-46.44%,$-2.70B,$-1.31B,773.94%,$-2.70B,$-4.15B,85.02%,$-2.70B,$8.98B,-26.98%,$-1.88B,$6.32B,-26.01%,$1448,$1143,$305,$37,$233,$1521,$-73,$-160,$-233,$26,$-259,$-259,$-264,$71,$-73,$997,997,$-0.26,$-0.26,$415,$1143,$831,$3693,$2273,$0,$2837,$176,$5286,$8979,$2200,$7634,$457,$8091,$10291,$1,$-6369,$-1679,$-1312,$8979,$-501,$291,$170,$461,$-78,$-7,$-81,$-86,$-275,$-315,$-86,$0,$-3,$0,$0,$0,$75,$-14,$133,$87,$220,$0,$0,$0,$-48,$172,$-198,$27,$0
2,2018-03-31,2.29,$-0.90,-2.54,$5.79,0.4,$-2.55,0.0,$-2.63,0.0,$3.62B,$2.09B,1.73,$7.64B,$-0.90B,-8.51,$5.74B,$0.91B,15.83%,$5.74B,$-1.95B,-34.07%,$5.74B,$-1.95B,-34.07%,$5.74B,$-1.21B,-21.16%,$5.74B,$-2.46B,-42.82%,$5.74B,$-2.61B,-45.50%,$-2.61B,$-0.90B,-725.50%,$-2.61B,$-3.87B,109.08%,$-2.61B,$9.33B,-24.20%,$-1.95B,$6.74B,-24.67%,$1423,$1145,$278,$38,$236,$1462,$-39,$-171,$-210,$32,$-242,$-242,$-245,$108,$-39,$994,994,$-0.25,$-0.25,$459,$1225,$704,$3615,$2580,$26,$2968,$145,$5719,$9334,$2092,$7639,$501,$8140,$10232,$1,$-6105,$-1514,$-898,$9334,$-242,$147,$92,$239,$23,$-13,$-55,$-129,$-182,$-185,$-38,$0,$13,$0,$0,$0,$25,$0,$148,$-54,$94,$0,$0,$0,$-40,$54,$-154,$13,$0
3,2017-12-31,4.17,$-0.58,-7.25,$5.76,0.72,$-2.79,0.0,$-2.83,0.0,$3.88B,$2.23B,1.74,$7.54B,$-0.57B,-13.21,$5.70B,$0.81B,14.21%,$5.70B,$-2.13B,-37.36%,$5.70B,$-2.13B,-37.36%,$5.70B,$-1.33B,-23.30%,$5.70B,$-2.66B,-46.60%,$5.70B,$-2.81B,-49.36%,$-2.81B,$-0.57B,-279.34%,$-2.81B,$-3.51B,170.07%,$-2.81B,$9.75B,-24.47%,$-2.13B,$6.97B,-25.09%,$1490,$1299,$191,$41,$275,$3190,$-1700,$-172,$-1872,$62,$-1934,$-1934,$-1938,$-1510,$-1700,$990,990,$-1.96,$-1.96,$613,$1234,$691,$3878,$2708,$0,$2940,$221,$5869,$9747,$2230,$7541,$547,$8088,$10318,$1,$-5763,$-1519,$-571,$9747,$-2793,$801,$1697,$2498,$-29,$-37,$-2,$78,$-93,$-388,$-469,$0,$408,$0,$0,$0,$-1,$-62,$181,$-128,$53,$0,$0,$0,$-33,$20,$-424,$70,$0
4,2017-09-30,4.58,$1.40,3.28,$5.84,0.78,$-2.49,0.0,$-1.47,0.0,$5.04B,$2.47B,2.04,$7.53B,$1.38B,5.44,$5.62B,$0.78B,13.86%,$5.62B,$-0.83B,-14.75%,$5.62B,$-0.83B,-14.75%,$5.62B,$-0.00B,-0.04%,$5.62B,$-1.32B,-23.53%,$5.62B,$-1.42B,-25.36%,$-1.42B,$1.38B,-85.44%,$-1.42B,$-1.19B,139.54%,$-1.42B,$12.01B,-11.65%,$-0.83B,$8.91B,-9.09%,$1460,$1195,$265,$42,$258,$1530,$-70,$-156,$-226,$25,$-251,$-251,$-256,$129,$-70,$990,990,$-0.26,$-0.26,$445,$1752,$1344,$5043,$3989,$65,$2575,$341,$6970,$12013,$2470,$7530,$629,$8159,$10629,$1,$-3825,$-1489,$1384,$12013,$-859,$611,$119,$730,$-77,$-94,$-44,$-47,$-355,$-484,$-391,$0,$16,$0,$0,$0,$-26,$-401,$197,$118,$315,$0,$0,$0,$-28,$287,$-592,$55,$0
5,2017-06-30,3.87,$1.55,2.5,$5.87,0.66,$-2.25,0.0,$-3.19,0.0,$5.05B,$2.38B,2.12,$7.54B,$1.52B,4.95,$5.51B,$0.64B,11.59%,$5.51B,$-1.70B,-30.90%,$5.51B,$-1.70B,-30.90%,$5.51B,$-0.83B,-15.13%,$5.51B,$-2.18B,-39.54%,$5.51B,$-2.95B,-53.49%,$-2.95B,$1.52B,-153.82%,$-2.95B,$-1.00B,326.47%,$-2.95B,$12.05B,-23.82%,$-1.70B,$9.06B,-18.49%,$1363,$1189,$174,$36,$244,$1508,$-145,$-3,$-148,$17,$-165,$-165,$-171,$59,$-145,$990,990,$-0.17,$-0.17,$584,$1728,$1337,$5047,$4111,$63,$2527,$304,$7005,$12052,$2380,$7538,$610,$8148,$10528,$1,$-3569,$-1577,$1524,$12052,$-608,$412,$80,$492,$-12,$-47,$-16,$12,$-125,$-241,$-325,$0,$-9,$0,$0,$0,$19,$-315,$215,$-96,$119,$0,$0,$0,$-20,$99,$-453,$41,$0
6,2017-03-31,6.65,$1.72,3.87,$6.06,1.1,$-2.14,0.0,$-3.65,0.0,$5.11B,$2.45B,2.09,$7.30B,$1.69B,4.32,$5.55B,$0.63B,11.33%,$5.55B,$-2.02B,-36.36%,$5.55B,$-2.02B,-36.36%,$5.55B,$-1.10B,-19.89%,$5.55B,$-2.70B,-48.56%,$5.55B,$-3.34B,-60.22%,$-3.34B,$1.69B,-129.42%,$-3.34B,$-0.91B,833.42%,$-3.34B,$12.16B,-25.92%,$-2.02B,$8.99B,-20.74%,$1386,$1206,$180,$39,$263,$1600,$-214,$-196,$-410,$33,$-443,$-443,$-448,$-6,$-214,$988,988,$-0.45,$-0.45,$546,$1700,$1321,$5106,$4265,$65,$2602,$124,$7056,$12162,$2447,$7299,$725,$8024,$10471,$1,$-3398,$-1567,$1691,$12162,$-443,$208,$136,$344,$51,$0,$-48,$-53,$-80,$-179,$-280,$0,$2,$0,$0,$0,$-1,$-279,$-18,$-7,$-25,$0,$0,$0,$-11,$-36,$-491,$24,$0
7,2016-12-31,4.99,$2.10,2.37,$6.60,0.76,$-1.98,0.0,$-3.81,0.0,$4.91B,$2.43B,2.02,$7.40B,$2.07B,3.58,$5.75B,$0.56B,9.74%,$5.75B,$-2.25B,-39.15%,$5.75B,$-2.25B,-39.15%,$5.75B,$-1.30B,-22.53%,$5.75B,$-2.88B,-50.04%,$5.75B,$-3.39B,-59.00%,$-3.39B,$2.07B,-102.04%,$-3.39B,$-0.98B,-1809.07%,$-3.39B,$12.66B,-25.16%,$-2.25B,$9.47B,-22.27%,$1406,$1247,$159,$40,$259,$1805,$-399,$-138,$-537,$7,$-544,$-544,$-549,$-184,$-399,$887,887,$-0.60,$-0.60,$1037,$1802,$425,$4910,$4480,$66,$3045,$163,$7754,$12664,$2428,$7403,$765,$8168,$10596,$1,$-2950,$-1610,$2068,$12664,$-3373,$956,$1870,$2826,$214,$260,$-21,$85,$243,$-304,$-204,$0,$-15,$0,$0,$0,$82,$-137,$1718,$-1512,$206,$1071,$1071,$0,$-216,$1061,$570,$87,$0
8,2016-09-30,5.62,$2.66,2.11,$7.60,0.74,$-1.36,0.0,$-4.76,0.0,$4.60B,$2.72B,1.69,$6.94B,$2.38B,2.91,$6.36B,$0.48B,7.54%,$6.36B,$-2.89B,-45.41%,$6.36B,$-2.89B,-45.41%,$6.36B,$-1.87B,-29.43%,$6.36B,$-3.49B,-54.89%,$6.36B,$-4.05B,-63.75%,$-4.05B,$2.38B,-103.91%,$-4.05B,$-0.72B,-552.47%,$-4.05B,$12.64B,-28.92%,$-2.89B,$9.32B,-28.04%,$1356,$1230,$126,$33,$267,$2301,$-945,$-139,$-1084,$692,$-1776,$-1776,$-1780,$-703,$-945,$899,899,$-1.98,$-1.98,$440,$1917,$481,$4598,$4708,$65,$3104,$160,$8037,$12635,$2720,$6937,$595,$7532,$10252,$1,$-2401,$-1549,$2383,$12635,$-2829,$741,$1713,$2454,$185,$208,$-203,$-247,$-69,$-444,$-136,$0,$-15,$0,$0,$0,$47,$-104,$1258,$-1138,$120,$623,$623,$0,$-186,$557,$-27,$57,$0
9,2016-06-30,5.55,$4.67,1.19,$8.96,0.62,$-0.92,0.0,$-3.00,0.0,$5.05B,$2.53B,2.0,$6.94B,$4.19B,1.66,$7.24B,$0.72B,9.96%,$7.24B,$-2.04B,-28.18%,$7.24B,$-2.04B,-28.18%,$7.24B,$-0.97B,-13.36%,$7.24B,$-2.63B,-36.35%,$7.24B,$-2.44B,-33.73%,$-2.44B,$4.19B,-51.48%,$-2.44B,$1.01B,-157.89%,$-2.44B,$14.11B,-16.22%,$-2.04B,$11.13B,-18.70%,$1402,$1238,$164,$41,$264,$1862,$-460,$-204,$-664,$-102,$-562,$-562,$-565,$-211,$-460,$899,899,$-0.63,$-0.63,$452,$2195,$480,$5049,$5247,$65,$3182,$569,$9063,$14112,$2528,$6943,$454,$7397,$9925,$1,$-621,$-1507,$4187,$14112,$-1053,$499,$382,$881,$170,$122,$-167,$-282,$-167,$-339,$-74,$0,$-8,$0,$0,$0,$26,$-56,$1276,$-1381,$-105,$623,$623,$0,$-103,$415,$-15,$38,$0
