,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,119.7,$0.00,0.0,$11.82,10.13,$4.41,27.13,$-0.68,0.0,$0.75B,$0.33B,2.24,$0.33B,$0.13B,2.49,$0.56B,$0.45B,80.32%,$0.56B,$-0.04B,-6.44%,$0.56B,$-0.04B,-6.44%,$0.56B,$-0.03B,-4.83%,$0.56B,$-0.04B,-6.98%,$0.56B,$-0.04B,-6.98%,$-0.04B,$0.13B,-54.93%,$-0.04B,$0.09B,-144.44%,$-0.04B,$0.82B,-6.96%,$-0.04B,$0.47B,-15.88%,$156,$33,$123,$49,$77,$159,$-3,$-2,$-6,$-0,$-6,$-6,$-6,$-1,$-3,$48,48,$-0.12,$-0.12,$717,$0,$0,$749,$21,$0,$43,$2,$65,$815,$334,$334,$0,$347,$680,$0,$451,$-1,$134,$815,$-31,$8,$55,$63,$-3,$0,$6,$45,$48,$80,$-10,$-1,$0,$-247,$0,$-247,$-0,$-258,$385,$0,$385,$28,$28,$0,$0,$413,$235,$52,$0
1,2018-06-30,100.3,$0.00,0.0,$11.03,9.09,$4.10,24.47,$-1.00,0.0,$0.67B,$0.34B,2.0,$0.29B,$0.10B,2.76,$0.51B,$0.42B,81.32%,$0.51B,$-0.04B,-8.56%,$0.51B,$-0.04B,-8.56%,$0.51B,$-0.04B,-6.81%,$0.51B,$-0.05B,-8.95%,$0.51B,$-0.05B,-9.34%,$-0.05B,$0.10B,-124.68%,$-0.05B,$0.06B,711.11%,$-0.05B,$0.74B,-11.09%,$-0.04B,$0.39B,-39.55%,$146,$30,$116,$48,$74,$153,$-7,$2,$-5,$1,$-6,$-6,$-6,$-4,$-7,$48,48,$-0.12,$-0.12,$637,$0,$0,$671,$20,$0,$44,$1,$65,$736,$335,$286,$0,$297,$632,$0,$-310,$-2,$104,$736,$-25,$5,$32,$38,$3,$0,$3,$34,$40,$52,$-7,$-1,$0,$-133,$0,$-133,$-0,$-140,$336,$0,$336,$22,$22,$0,$0,$357,$269,$33,$0
2,2018-03-31,79.55,$0.00,0.0,$10.25,7.76,$3.85,20.65,$-1.19,0.0,$0.30B,$0.31B,0.94,$0.00B,$0.04B,0.04,$0.47B,$0.39B,81.99%,$0.47B,$-0.05B,-10.17%,$0.47B,$-0.05B,-10.17%,$0.47B,$-0.04B,-8.26%,$0.47B,$-0.05B,-11.44%,$0.47B,$-0.06B,-11.86%,$-0.06B,$0.04B,-439.22%,$-0.06B,$-0.01B,164.71%,$-0.06B,$0.36B,-17.51%,$-0.05B,$0.04B,-336.84%,$138,$29,$109,$47,$81,$156,$-18,$-0,$-19,$1,$-20,$-20,$-20,$-16,$-18,$47,47,$-0.42,$-0.42,$266,$0,$0,$295,$18,$0,$44,$1,$64,$359,$313,$1,$0,$11,$324,$0,$-305,$-1,$35,$359,$-20,$2,$15,$18,$0,$0,$-0,$27,$27,$25,$-3,$0,$0,$-13,$0,$-13,$-0,$-17,$0,$0,$0,$10,$10,$0,$0,$10,$18,$16,$0
3,2017-12-31,57.55,$0.00,0.0,$9.38,6.14,$3.72,15.46,$-1.24,0.0,$0.27B,$0.30B,0.88,$0.00B,$0.01B,0.11,$0.43B,$0.36B,83.37%,$0.43B,$-0.05B,-11.71%,$0.43B,$-0.05B,-11.71%,$0.43B,$-0.04B,-9.84%,$0.43B,$-0.06B,-12.88%,$0.43B,$-0.06B,-13.35%,$-0.06B,$0.01B,-1628.57%,$-0.06B,$-0.03B,129.55%,$-0.06B,$0.33B,-19.37%,$-0.05B,$0.01B,-1052.63%,$119,$18,$101,$44,$64,$126,$-8,$-1,$-9,$-2,$-7,$-7,$-7,$-6,$-8,$46,46,$-0.14,$-0.14,$234,$0,$0,$265,$16,$0,$45,$4,$65,$330,$302,$1,$0,$16,$319,$0,$311,$-0,$11,$330,$-56,$8,$44,$53,$-2,$0,$12,$77,$87,$83,$-12,$-0,$-33,$-69,$0,$-69,$-1,$-115,$-0,$0,$-0,$24,$24,$0,$0,$24,$-8,$48,$0
4,2017-09-30,71.85,$0.00,0.0,$8.78,8.19,$3.02,23.83,$-1.24,0.0,$0.24B,$0.28B,0.86,$0.00B,$0.00B,0.28,$0.39B,$0.33B,83.16%,$0.39B,$-0.05B,-11.99%,$0.39B,$-0.05B,-11.99%,$0.39B,$-0.04B,-10.20%,$0.39B,$-0.05B,-13.01%,$0.39B,$-0.06B,-14.29%,$-0.06B,$0.00B,-22400.00%,$-0.06B,$-0.04B,149.33%,$-0.06B,$0.31B,-21.09%,$-0.05B,$0.01B,-4700.00%,$111,$19,$92,$40,$63,$122,$-11,$-2,$-13,$1,$-15,$-15,$-15,$-9,$-11,$46,46,$-0.32,$-0.32,$210,$0,$0,$243,$13,$0,$48,$3,$64,$307,$283,$1,$0,$20,$303,$0,$-293,$2,$4,$307,$-50,$7,$33,$40,$-2,$0,$19,$51,$68,$58,$-7,$0,$-33,$-6,$0,$-6,$0,$-46,$-0,$0,$-0,$19,$19,$0,$0,$19,$31,$34,$0
5,2017-06-30,69.6,$0.00,0.0,$8.13,8.57,$2.31,30.14,$-1.15,0.0,$0.22B,$0.26B,0.83,$0.00B,$0.00B,1.58,$0.36B,$0.30B,83.75%,$0.36B,$-0.05B,-12.61%,$0.36B,$-0.05B,-12.61%,$0.36B,$-0.04B,-10.92%,$0.36B,$-0.05B,-13.17%,$0.36B,$-0.05B,-14.29%,$-0.05B,$0.00B,1854.55%,$-0.05B,$-0.05B,170.00%,$-0.05B,$0.28B,-21.56%,$-0.05B,$0.00B,1800.00%,$104,$18,$85,$37,$59,$114,$-11,$-2,$-13,$2,$-14,$-14,$-14,$-8,$-11,$45,45,$-0.31,$-0.31,$186,$0,$0,$219,$11,$0,$50,$3,$63,$283,$264,$1,$0,$18,$282,$0,$-278,$4,$1,$283,$-35,$4,$20,$25,$1,$0,$7,$39,$47,$36,$-4,$0,$-33,$17,$0,$17,$0,$-20,$-0,$0,$-0,$15,$15,$0,$0,$15,$31,$21,$0
6,2017-03-31,67.9,$0.00,0.0,$7.51,9.04,$1.80,37.81,$-1.12,0.0,$0.20B,$0.25B,0.81,$0.00B,$-0.00B,0.0,$0.32B,$0.27B,84.47%,$0.32B,$-0.04B,-13.66%,$0.32B,$-0.04B,-13.66%,$0.32B,$-0.04B,-12.42%,$0.32B,$-0.05B,-13.98%,$0.32B,$-0.05B,-14.91%,$-0.05B,$-0.00B,685.71%,$-0.05B,$-0.05B,208.70%,$-0.05B,$0.26B,-23.08%,$-0.04B,$-0.00B,628.57%,$93,$15,$78,$33,$65,$113,$-20,$0,$-20,$1,$-21,$-21,$-21,$-19,$-20,$45,45,$-0.47,$-0.47,$165,$0,$0,$199,$9,$0,$47,$3,$59,$257,$246,$0,$1,$14,$260,$0,$-264,$3,$-2,$257,$-21,$2,$9,$10,$-0,$0,$5,$23,$27,$16,$-2,$0,$-30,$6,$0,$6,$0,$-26,$-0,$0,$-0,$7,$7,$0,$0,$7,$-2,$9,$0
7,2016-12-31,44.55,$-0.06,-799.82,$6.97,6.39,$1.41,31.54,$-1.14,0.0,$0.20B,$0.21B,0.96,$0.00B,$-0.00B,0.0,$0.29B,$0.25B,84.19%,$0.29B,$-0.04B,-15.12%,$0.29B,$-0.04B,-15.12%,$0.29B,$-0.04B,-13.40%,$0.29B,$-0.04B,-15.12%,$0.29B,$-0.05B,-16.15%,$-0.05B,$-0.00B,482.05%,$-0.05B,$-0.01B,303.23%,$-0.05B,$0.22B,-25.86%,$-0.04B,$-0.00B,451.28%,$84,$13,$71,$29,$47,$89,$-5,$-0,$-5,$1,$-6,$-6,$-6,$-4,$-5,$42,42,$-0.12,$-0.12,$172,$0,$0,$198,$9,$0,$5,$3,$17,$215,$207,$0,$0,$10,$217,$0,$-243,$-0,$-2,$215,$-47,$5,$28,$33,$-2,$0,$8,$48,$54,$41,$-4,$-0,$0,$-4,$0,$-4,$0,$-8,$0,$0,$0,$22,$22,$0,$0,$22,$54,$28,$0
8,2016-09-30,43.43,$0.00,0.0,$6.38,6.8,$0.91,47.49,$-1.28,0.0,$0.18B,$0.19B,0.92,$0.00B,$-0.01B,0.0,$0.26B,$0.22B,83.71%,$0.26B,$-0.05B,-18.56%,$0.26B,$-0.05B,-18.56%,$0.26B,$-0.04B,-16.67%,$0.26B,$-0.05B,-18.94%,$0.26B,$-0.05B,-19.70%,$-0.05B,$-0.01B,507.32%,$-0.05B,$-0.01B,325.00%,$-0.05B,$0.19B,-31.47%,$-0.05B,$-0.01B,478.05%,$76,$11,$65,$27,$47,$85,$-9,$0,$-9,$1,$-10,$-10,$-10,$-8,$-9,$43,43,$-0.23,$-0.23,$147,$0,$0,$175,$8,$0,$6,$3,$16,$191,$190,$0,$0,$9,$199,$0,$-237,$1,$-8,$191,$-41,$4,$20,$24,$-1,$0,$5,$34,$37,$21,$-3,$0,$0,$-14,$0,$-14,$0,$-17,$0,$0,$0,$15,$15,$0,$0,$15,$19,$20,$0
9,2016-06-30,30.35,$0.00,0.0,$5.96,5.09,$0.66,46.02,$-1.35,0.0,$0.15B,$0.18B,0.85,$0.00B,$-0.02B,0.0,$0.24B,$0.20B,82.64%,$0.24B,$-0.05B,-20.66%,$0.24B,$-0.05B,-20.66%,$0.24B,$-0.05B,-18.60%,$0.24B,$-0.05B,-21.49%,$0.24B,$-0.05B,-22.31%,$-0.05B,$-0.02B,654.55%,$-0.05B,$-0.02B,385.71%,$-0.05B,$0.17B,-35.41%,$-0.05B,$-0.02B,606.06%,$69,$11,$58,$25,$43,$79,$-10,$-0,$-11,$1,$-11,$-11,$-11,$-9,$-10,$41,41,$-0.28,$-0.28,$130,$0,$0,$152,$9,$0,$6,$2,$17,$169,$178,$0,$0,$6,$185,$0,$-228,$-0,$-16,$169,$-31,$3,$13,$16,$-1,$0,$4,$22,$26,$10,$-2,$0,$0,$-2,$0,$-2,$0,$-4,$0,$0,$0,$8,$8,$0,$0,$8,$14,$13,$0
