,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,43.4,$37.83,1.15,$130.12,0.33,$6.99,6.21,$3.68,11.79,$0.47B,$0.26B,1.79,$0.00B,$1.02B,0.0,$3.50B,$0.95B,27.17%,$3.50B,$0.09B,2.54%,$3.50B,$0.09B,2.54%,$3.50B,$0.18B,5.14%,$3.50B,$0.09B,2.57%,$3.50B,$0.11B,3.23%,$0.11B,$1.02B,11.23%,$0.11B,$0.94B,12.12%,$0.11B,$1.42B,7.93%,$0.09B,$1.02B,8.73%,$869,$637,$232,$0,$215,$852,$18,$1,$19,$4,$14,$14,$14,$41,$18,$27,27,$0.53,$0.53,$110,$281,$0,$468,$881,$0,$75,$0,$956,$1424,$262,$0,$35,$145,$407,$10,$1159,$-0,$1018,$1424,$49,$70,$5,$74,$-2,$-1,$-17,$0,$-12,$112,$-63,$-4,$0,$4,$0,$4,$0,$-62,$-35,$0,$-35,$0,$0,$-24,$0,$-59,$-10,$0,$-24
1,2018-06-30,53.03,$37.61,1.41,$129.57,0.41,$6.40,8.29,$3.84,13.81,$0.45B,$0.26B,1.75,$0.00B,$1.01B,0.0,$3.49B,$0.94B,26.94%,$3.49B,$0.08B,2.21%,$3.49B,$0.08B,2.21%,$3.49B,$0.17B,4.79%,$3.49B,$0.08B,2.24%,$3.49B,$0.10B,2.96%,$0.10B,$1.01B,10.45%,$0.10B,$0.94B,11.28%,$0.10B,$1.41B,7.25%,$0.08B,$1.01B,7.61%,$871,$631,$240,$0,$214,$845,$26,$0,$26,$7,$19,$19,$19,$49,$26,$27,27,$0.71,$0.71,$109,$273,$0,$453,$886,$0,$73,$0,$959,$1412,$259,$0,$34,$142,$401,$10,$1152,$-0,$1012,$1412,$35,$46,$3,$49,$5,$6,$-21,$1,$-0,$84,$-46,$-2,$0,$1,$0,$1,$0,$-46,$-35,$0,$-35,$0,$0,$-16,$0,$-51,$-13,$0,$-16
2,2018-03-31,40.48,$37.20,1.09,$129.77,0.31,$5.91,6.85,$3.82,10.6,$0.46B,$0.26B,1.77,$0.02B,$1.00B,0.02,$3.49B,$0.93B,26.73%,$3.49B,$0.08B,2.26%,$3.49B,$0.08B,2.26%,$3.49B,$0.17B,4.78%,$3.49B,$0.08B,2.29%,$3.49B,$0.10B,2.92%,$0.10B,$1.00B,10.54%,$0.10B,$0.93B,11.38%,$0.10B,$1.42B,7.21%,$0.08B,$1.02B,7.84%,$876,$641,$235,$0,$212,$853,$23,$-1,$22,$6,$16,$16,$16,$46,$23,$27,27,$0.60,$0.60,$127,$267,$0,$462,$883,$0,$73,$0,$957,$1419,$262,$18,$34,$156,$418,$10,$1141,$0,$1001,$1419,$16,$23,$-0,$23,$8,$12,$-16,$0,$12,$51,$-22,$-2,$0,$-0,$0,$-0,$0,$-23,$-17,$0,$-17,$0,$0,$-8,$0,$-25,$2,$0,$-8
3,2017-12-31,40.57,$36.91,1.1,$128.89,0.31,$4.53,8.96,$3.66,11.08,$0.48B,$0.27B,1.76,$0.04B,$0.99B,0.04,$3.47B,$0.93B,26.74%,$3.47B,$0.08B,2.19%,$3.47B,$0.08B,2.19%,$3.47B,$0.16B,4.67%,$3.47B,$0.08B,2.28%,$3.47B,$0.10B,2.83%,$0.10B,$0.99B,10.31%,$0.10B,$0.92B,11.14%,$0.10B,$1.44B,6.95%,$0.08B,$1.03B,7.58%,$884,$640,$244,$0,$222,$861,$22,$1,$23,$-41,$64,$64,$64,$44,$22,$27,27,$2.37,$2.37,$126,$280,$0,$483,$886,$0,$72,$0,$958,$1442,$274,$35,$34,$175,$449,$10,$1128,$6,$993,$1442,$98,$85,$-33,$53,$10,$-3,$8,$0,$15,$166,$-94,$-4,$0,$-0,$0,$-0,$0,$-97,$-29,$0,$-29,$0,$0,$-32,$0,$-62,$7,$0,$-32
4,2017-09-30,42.32,$34.85,1.21,$130.42,0.32,$2.21,19.13,$2.81,15.06,$0.46B,$0.24B,1.91,$0.05B,$0.94B,0.06,$3.51B,$0.94B,26.82%,$3.51B,$0.08B,2.31%,$3.51B,$0.08B,2.31%,$3.51B,$0.17B,4.73%,$3.51B,$0.11B,3.05%,$3.51B,$0.08B,2.14%,$0.08B,$0.94B,8.03%,$0.08B,$0.87B,8.69%,$0.08B,$1.41B,5.33%,$0.08B,$0.99B,8.15%,$854,$635,$220,$0,$213,$848,$6,$1,$7,$2,$4,$4,$4,$28,$6,$27,27,$0.16,$0.16,$98,$268,$0,$459,$875,$0,$72,$0,$947,$1406,$240,$52,$31,$228,$469,$10,$1073,$5,$937,$1406,$35,$64,$8,$71,$10,$9,$-28,$-1,$-10,$96,$-63,$-1,$0,$1,$0,$1,$0,$-64,$-12,$0,$-12,$0,$0,$-24,$0,$-37,$-4,$0,$-24
5,2017-06-30,47.1,$34.98,1.35,$126.29,0.37,$1.58,29.9,$3.05,15.44,$0.45B,$0.23B,1.98,$0.05B,$0.94B,0.06,$3.40B,$0.93B,27.26%,$3.40B,$0.09B,2.68%,$3.40B,$0.09B,2.68%,$3.40B,$0.17B,5.09%,$3.40B,$0.12B,3.44%,$3.40B,$0.08B,2.41%,$0.08B,$0.94B,8.88%,$0.08B,$0.87B,9.63%,$0.08B,$1.39B,5.94%,$0.09B,$0.99B,9.29%,$877,$643,$234,$0,$206,$849,$28,$0,$28,$10,$18,$18,$18,$49,$28,$27,27,$0.69,$0.69,$94,$267,$0,$452,$871,$0,$70,$0,$941,$1393,$229,$52,$30,$223,$452,$10,$1077,$5,$941,$1393,$30,$42,$5,$47,$15,$10,$-40,$0,$-14,$63,$-38,$-1,$0,$2,$0,$2,$0,$-38,$-13,$0,$-13,$0,$0,$-16,$0,$-29,$-3,$0,$-16
6,2017-03-31,57.37,$34.60,1.66,$120.85,0.47,$1.39,41.29,$2.93,19.58,$0.46B,$0.23B,2.03,$0.07B,$0.93B,0.08,$3.25B,$0.89B,27.51%,$3.25B,$0.09B,2.68%,$3.25B,$0.09B,2.68%,$3.25B,$0.17B,5.14%,$3.25B,$0.11B,3.51%,$3.25B,$0.08B,2.43%,$0.08B,$0.93B,8.67%,$0.08B,$0.86B,9.34%,$0.08B,$1.40B,5.90%,$0.09B,$1.00B,9.11%,$852,$623,$229,$0,$209,$832,$20,$1,$21,$9,$12,$12,$12,$41,$20,$27,27,$0.44,$0.44,$89,$275,$0,$459,$870,$0,$71,$0,$941,$1399,$226,$71,$30,$243,$469,$10,$1067,$5,$931,$1399,$12,$21,$7,$28,$11,$2,$-46,$-0,$-32,$8,$-16,$-1,$0,$2,$0,$2,$0,$-15,$6,$0,$6,$0,$0,$-8,$0,$-2,$-9,$0,$-8
7,2016-12-31,63.97,$34.45,1.86,$116.61,0.55,$2.00,32.02,$3.24,19.74,$0.48B,$0.28B,1.75,$0.06B,$0.93B,0.07,$3.14B,$0.87B,27.81%,$3.14B,$0.10B,3.13%,$3.14B,$0.10B,3.13%,$3.14B,$0.18B,5.61%,$3.14B,$0.13B,3.99%,$3.14B,$0.09B,2.77%,$0.09B,$0.93B,9.67%,$0.09B,$0.86B,10.34%,$0.09B,$1.43B,6.70%,$0.10B,$0.99B,10.59%,$925,$667,$258,$0,$231,$898,$27,$24,$51,$10,$41,$41,$41,$48,$27,$27,27,$1.52,$1.52,$93,$277,$0,$484,$878,$0,$69,$0,$947,$1431,$276,$64,$29,$228,$505,$10,$1063,$5,$927,$1431,$87,$77,$-17,$60,$-5,$-38,$46,$1,$4,$152,$-142,$-2,$-64,$21,$0,$21,$0,$-187,$64,$0,$64,$0,$0,$-32,$0,$32,$-3,$0,$-32
8,2016-09-30,50.45,$33.25,1.52,$109.51,0.46,$3.43,14.7,$2.33,21.65,$0.43B,$0.23B,1.86,$0.04B,$0.89B,0.05,$2.95B,$0.81B,27.61%,$2.95B,$0.10B,3.29%,$2.95B,$0.10B,3.29%,$2.95B,$0.17B,5.84%,$2.95B,$0.10B,3.43%,$2.95B,$0.06B,2.14%,$0.06B,$0.89B,7.11%,$0.06B,$0.82B,7.55%,$0.06B,$1.30B,5.04%,$0.10B,$0.93B,10.83%,$743,$538,$205,$0,$189,$727,$16,$1,$17,$6,$11,$11,$11,$35,$16,$27,27,$0.40,$0.40,$104,$229,$0,$431,$794,$0,$75,$0,$869,$1300,$232,$40,$25,$174,$406,$10,$1030,$6,$894,$1300,$46,$56,$-3,$54,$11,$3,$-3,$1,$12,$112,$-96,$-1,$-48,$13,$0,$13,$0,$-133,$40,$0,$40,$0,$0,$-24,$0,$16,$-5,$0,$-24
9,2016-06-30,47.85,$33.17,1.44,$108.36,0.44,$4.23,11.32,$2.41,19.85,$0.43B,$0.21B,2.1,$0.00B,$0.89B,0.0,$2.91B,$0.80B,27.52%,$2.91B,$0.10B,3.47%,$2.91B,$0.10B,3.47%,$2.91B,$0.17B,5.97%,$2.91B,$0.10B,3.53%,$2.91B,$0.07B,2.23%,$0.07B,$0.89B,7.41%,$0.07B,$0.85B,7.78%,$0.07B,$1.23B,5.31%,$0.10B,$0.89B,11.51%,$730,$528,$202,$0,$178,$706,$24,$1,$25,$9,$15,$15,$15,$43,$24,$27,27,$0.57,$0.57,$123,$224,$0,$432,$754,$0,$43,$0,$796,$1229,$206,$0,$24,$131,$337,$10,$1027,$6,$892,$1229,$35,$37,$-5,$32,$20,$6,$-25,$1,$7,$74,$-54,$-1,$0,$14,$0,$14,$0,$-42,$0,$0,$0,$0,$0,$-16,$0,$-16,$17,$0,$-16
