,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,18.23,$8.56,2.13,$36.67,0.5,$3.63,5.02,$1.77,10.3,$0.60B,$0.31B,1.94,$0.50B,$0.48B,1.05,$2.20B,$0.29B,13.05%,$2.20B,$0.12B,5.64%,$2.20B,$0.12B,5.64%,$2.20B,$0.18B,8.00%,$2.20B,$0.11B,4.86%,$2.20B,$0.11B,4.86%,$0.11B,$0.48B,21.42%,$0.11B,$-0.05B,-247.40%,$0.11B,$1.35B,7.81%,$0.12B,$0.98B,12.35%,$553,$488,$65,$0,$32,$537,$17,$-7,$10,$5,$5,$5,$5,$39,$17,$57,58,$0.08,$0.08,$104,$232,$0,$597,$199,$0,$526,$28,$754,$1350,$308,$504,$21,$562,$870,$1,$143,$-2,$480,$1350,$58,$43,$-0,$42,$-49,$-66,$0,$-5,$-43,$57,$-3,$0,$0,$0,$0,$0,$3,$0,$-82,$0,$-82,$-43,$-43,$-14,$0,$-139,$-82,$8,$-14
1,2018-06-30,18.59,$8.72,2.13,$33.92,0.55,$3.63,5.12,$1.99,9.34,$0.60B,$0.31B,1.96,$0.50B,$0.50B,1.01,$2.07B,$0.28B,13.66%,$2.07B,$0.13B,6.47%,$2.07B,$0.13B,6.47%,$2.07B,$0.17B,8.30%,$2.07B,$0.13B,6.13%,$2.07B,$0.12B,5.84%,$0.12B,$0.50B,24.13%,$0.12B,$-0.04B,-250.78%,$0.12B,$1.37B,8.78%,$0.13B,$1.00B,13.31%,$613,$527,$85,$0,$34,$567,$46,$-3,$43,$11,$32,$32,$32,$56,$46,$58,59,$0.55,$0.54,$119,$234,$0,$604,$196,$0,$543,$27,$765,$1369,$309,$504,$20,$561,$870,$1,$143,$-3,$499,$1369,$53,$20,$-3,$17,$-47,$-56,$0,$0,$-30,$40,$5,$0,$0,$0,$0,$0,$3,$8,$-81,$0,$-81,$-21,$-21,$-9,$0,$-111,$-62,$5,$-9
2,2018-03-31,20.65,$8.84,2.34,$30.48,0.68,$3.94,5.24,$1.81,11.41,$0.64B,$0.33B,1.91,$0.51B,$0.51B,0.98,$1.90B,$0.27B,14.04%,$1.90B,$0.13B,6.70%,$1.90B,$0.13B,6.70%,$1.90B,$0.16B,8.60%,$1.90B,$0.12B,6.33%,$1.90B,$0.11B,5.91%,$0.11B,$0.51B,22.63%,$0.11B,$-0.04B,503.37%,$0.11B,$1.41B,8.83%,$0.13B,$1.02B,13.79%,$491,$427,$64,$0,$33,$466,$26,$0,$26,$5,$21,$21,$21,$36,$26,$58,61,$0.37,$0.35,$153,$237,$0,$637,$196,$0,$549,$27,$772,$1410,$334,$505,$20,$562,$896,$1,$115,$-2,$513,$1410,$21,$10,$-3,$8,$-46,$-58,$0,$-1,$-41,$-12,$3,$0,$0,$0,$0,$0,$3,$7,$-18,$0,$-18,$-5,$-5,$-5,$0,$-27,$-33,$3,$-5
3,2017-12-31,21.46,$8.79,2.44,$28.13,0.76,$5.12,4.19,$1.78,12.06,$0.58B,$0.28B,2.03,$0.51B,$0.51B,1.0,$1.77B,$0.26B,14.77%,$1.77B,$0.13B,7.41%,$1.77B,$0.13B,7.41%,$1.77B,$0.17B,9.39%,$1.77B,$0.12B,6.96%,$1.77B,$0.11B,6.28%,$0.11B,$0.51B,22.79%,$0.11B,$-0.05B,120.65%,$0.11B,$1.35B,9.63%,$0.13B,$1.01B,15.72%,$543,$471,$73,$0,$32,$508,$35,$-7,$28,$-21,$49,$49,$49,$45,$35,$59,63,$0.84,$0.80,$192,$181,$0,$576,$195,$0,$554,$25,$775,$1352,$284,$505,$20,$562,$845,$1,$99,$-2,$506,$1352,$111,$35,$-9,$26,$32,$-13,$0,$-11,$7,$144,$-15,$0,$-323,$0,$0,$0,$6,$-332,$-18,$325,$307,$-69,$-69,$-15,$-7,$216,$28,$10,$-15
4,2017-09-30,22.51,$8.27,2.72,$26.48,0.85,$5.46,4.12,$1.34,16.8,$0.59B,$0.29B,2.03,$0.51B,$0.49B,1.04,$1.69B,$0.26B,15.36%,$1.69B,$0.14B,8.13%,$1.69B,$0.14B,8.13%,$1.69B,$0.17B,10.14%,$1.69B,$0.13B,7.71%,$1.69B,$0.09B,5.04%,$0.09B,$0.49B,17.76%,$0.09B,$-0.07B,52.63%,$0.09B,$1.38B,8.18%,$0.14B,$0.99B,18.09%,$425,$364,$61,$0,$22,$399,$27,$3,$30,$11,$19,$19,$19,$35,$27,$59,62,$0.32,$0.30,$154,$246,$0,$585,$196,$0,$553,$24,$794,$1379,$289,$506,$30,$602,$891,$1,$54,$-2,$488,$1379,$62,$25,$3,$28,$26,$-78,$0,$-1,$-29,$61,$-3,$0,$-323,$0,$0,$0,$6,$-320,$-17,$325,$308,$-41,$-41,$-12,$-6,$249,$-10,$8,$-12
5,2017-06-30,21.62,$8.01,2.7,$26.68,0.81,$5.90,3.66,$1.55,13.95,$0.52B,$0.25B,2.12,$0.19B,$0.47B,0.4,$1.73B,$0.28B,16.29%,$1.73B,$0.17B,9.57%,$1.73B,$0.17B,9.57%,$1.73B,$0.20B,11.59%,$1.73B,$0.15B,8.81%,$1.73B,$0.10B,5.74%,$0.10B,$0.47B,20.59%,$0.10B,$0.24B,41.21%,$0.10B,$0.93B,10.50%,$0.17B,$0.66B,23.46%,$436,$368,$68,$0,$25,$397,$39,$-3,$36,$13,$23,$23,$23,$47,$39,$60,63,$0.38,$0.36,$179,$199,$0,$520,$136,$0,$234,$22,$412,$932,$245,$187,$26,$214,$459,$1,$39,$-2,$473,$932,$43,$17,$5,$22,$31,$-61,$0,$5,$10,$75,$-7,$0,$0,$0,$0,$0,$1,$-6,$-9,$0,$-9,$-37,$-37,$-8,$-0,$-54,$15,$5,$-8
6,2017-03-31,20.29,$7.97,2.54,$26.80,0.76,$5.84,3.47,$1.72,11.8,$0.54B,$0.26B,2.1,$0.19B,$0.48B,0.39,$1.76B,$0.30B,17.27%,$1.76B,$0.19B,10.51%,$1.76B,$0.19B,10.51%,$1.76B,$0.22B,12.67%,$1.76B,$0.17B,9.72%,$1.76B,$0.11B,6.36%,$0.11B,$0.48B,23.19%,$0.11B,$0.24B,47.11%,$0.11B,$0.95B,11.71%,$0.19B,$0.67B,25.39%,$363,$303,$59,$0,$25,$332,$30,$-2,$29,$8,$20,$20,$20,$39,$30,$60,63,$0.34,$0.32,$211,$190,$0,$537,$133,$0,$238,$21,$413,$949,$255,$188,$25,$213,$468,$1,$20,$-2,$481,$949,$20,$9,$2,$10,$36,$-52,$0,$9,$35,$65,$1,$0,$0,$0,$0,$0,$1,$2,$-1,$0,$-1,$-11,$-11,$-4,$-0,$-16,$51,$3,$-4
7,2016-12-31,15.46,$7.86,1.97,$27.84,0.56,$5.40,2.86,$1.82,8.49,$0.48B,$0.17B,2.89,$0.24B,$0.47B,0.5,$1.85B,$0.33B,17.62%,$1.85B,$0.20B,11.00%,$1.85B,$0.20B,11.00%,$1.85B,$0.24B,13.06%,$1.85B,$0.19B,10.08%,$1.85B,$0.12B,6.50%,$0.12B,$0.47B,25.22%,$0.12B,$0.23B,53.27%,$0.12B,$0.90B,12.45%,$0.20B,$0.71B,27.28%,$462,$391,$71,$0,$26,$421,$41,$-5,$35,$12,$23,$23,$23,$50,$41,$64,66,$0.38,$0.36,$163,$140,$0,$481,$134,$0,$243,$20,$417,$899,$167,$235,$24,$260,$426,$1,$4,$-3,$472,$899,$119,$38,$22,$60,$-1,$25,$0,$-12,$-1,$179,$-20,$0,$0,$0,$0,$0,$3,$-17,$-102,$0,$-102,$-75,$-75,$0,$0,$-177,$-15,$12,$0
8,2016-09-30,13.91,$7.93,1.76,$28.65,0.49,$4.79,2.91,$1.96,7.1,$0.56B,$0.19B,2.94,$0.28B,$0.50B,0.56,$1.93B,$0.34B,17.75%,$1.93B,$0.22B,11.26%,$1.93B,$0.22B,11.26%,$1.93B,$0.26B,13.28%,$1.93B,$0.20B,10.43%,$1.93B,$0.13B,6.75%,$0.13B,$0.50B,27.79%,$0.13B,$0.25B,61.47%,$0.13B,$0.99B,13.32%,$0.22B,$0.78B,29.07%,$464,$381,$83,$0,$24,$409,$55,$-3,$52,$18,$33,$33,$33,$64,$55,$64,66,$0.52,$0.51,$190,$195,$0,$562,$139,$0,$248,$19,$430,$992,$191,$280,$24,$304,$495,$1,$-15,$-2,$497,$992,$96,$29,$10,$39,$-5,$-30,$0,$-11,$-30,$106,$-15,$0,$0,$0,$0,$0,$2,$-13,$-45,$0,$-45,$-38,$-38,$0,$1,$-82,$11,$9,$0
9,2016-06-30,12.41,$7.51,1.65,$29.43,0.42,$4.96,2.5,$1.92,6.46,$0.56B,$0.20B,2.77,$0.28B,$0.48B,0.58,$1.99B,$0.35B,17.30%,$1.99B,$0.22B,10.93%,$1.99B,$0.22B,10.93%,$1.99B,$0.26B,12.94%,$1.99B,$0.20B,10.03%,$1.99B,$0.13B,6.47%,$0.13B,$0.48B,28.65%,$0.13B,$0.23B,68.53%,$0.13B,$0.99B,13.11%,$0.22B,$0.76B,29.40%,$471,$380,$91,$0,$26,$413,$59,$-4,$55,$19,$36,$36,$36,$70,$59,$65,67,$0.55,$0.53,$188,$213,$0,$558,$138,$0,$253,$18,$429,$987,$202,$279,$23,$303,$504,$1,$-49,$-2,$482,$987,$63,$20,$9,$29,$21,$-46,$0,$-16,$-16,$76,$-8,$0,$0,$0,$0,$0,$0,$-8,$-44,$0,$-44,$-16,$-16,$0,$1,$-59,$9,$6,$0
