,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,64.31,$30.52,2.11,$7.48,8.6,$4.22,15.22,$2.70,23.82,$0.18B,$0.96B,0.18,$3.97B,$3.27B,1.21,$0.81B,$0.73B,89.74%,$0.81B,$0.36B,44.00%,$0.81B,$0.36B,44.00%,$0.81B,$0.68B,83.81%,$0.81B,$0.28B,34.12%,$0.81B,$0.29B,36.22%,$0.29B,$3.27B,8.77%,$0.29B,$2.63B,10.86%,$0.29B,$8.52B,3.52%,$0.36B,$7.24B,4.83%,$209,$20,$189,$0,$18,$111,$98,$-15,$84,$3,$81,$81,$77,$181,$98,$108,108,$0.71,$0.71,$177,$0,$0,$177,$6946,$0,$642,$754,$8342,$8519,$962,$3967,$219,$4285,$5247,$0,$-1166,$-254,$3272,$8519,$229,$238,$-65,$173,$0,$0,$0,$-32,$-32,$370,$-499,$0,$0,$27,$11,$38,$-1,$-462,$1541,$-1070,$471,$0,$0,$-330,$-37,$105,$5,$14,$-330
1,2018-06-30,66.35,$30.90,2.15,$7.50,8.85,$9.44,7.03,$2.73,24.3,$0.12B,$0.64B,0.19,$4.00B,$3.31B,1.21,$0.81B,$0.73B,89.52%,$0.81B,$0.35B,43.65%,$0.81B,$0.35B,43.65%,$0.81B,$0.67B,82.74%,$0.81B,$0.26B,31.81%,$0.81B,$0.30B,36.50%,$0.30B,$3.31B,8.74%,$0.30B,$2.67B,10.80%,$0.30B,$8.27B,3.57%,$0.35B,$7.32B,4.75%,$201,$20,$181,$0,$20,$109,$92,$-18,$74,$6,$68,$68,$76,$170,$92,$108,108,$0.70,$0.70,$122,$0,$0,$122,$6772,$0,$642,$730,$8144,$8267,$642,$4004,$219,$4312,$4955,$0,$-1132,$-247,$3312,$8267,$147,$156,$-53,$102,$0,$0,$0,$-21,$-21,$229,$-241,$0,$0,$-10,$6,$-4,$34,$-211,$357,$-165,$192,$0,$0,$-219,$-31,$-58,$-46,$12,$-219
2,2018-03-31,61.05,$31.43,1.94,$7.69,7.94,$11.94,5.11,$2.62,23.3,$0.17B,$0.52B,0.33,$4.12B,$3.37B,1.22,$0.83B,$0.74B,88.58%,$0.83B,$0.36B,42.79%,$0.83B,$0.36B,42.79%,$0.83B,$0.67B,80.77%,$0.83B,$0.25B,30.05%,$0.83B,$0.28B,34.13%,$0.28B,$3.37B,8.30%,$0.28B,$2.72B,10.22%,$0.28B,$8.29B,3.42%,$0.36B,$7.49B,4.74%,$202,$21,$180,$0,$27,$121,$81,$-26,$55,$-6,$61,$61,$65,$158,$81,$108,108,$0.60,$0.60,$171,$0,$0,$171,$6757,$0,$646,$714,$8117,$8288,$515,$4122,$223,$4404,$4918,$0,$-1097,$-229,$3370,$8288,$68,$77,$-22,$55,$0,$0,$0,$-21,$-21,$103,$-70,$0,$0,$27,$3,$30,$0,$-40,$237,$-165,$72,$0,$0,$-109,$-23,$-60,$6,$8,$-109
3,2017-12-31,66.76,$31.91,2.09,$7.86,8.49,$12.76,5.23,$2.55,26.18,$0.16B,$0.48B,0.34,$4.05B,$3.41B,1.19,$0.85B,$0.74B,86.57%,$0.85B,$0.36B,42.29%,$0.85B,$0.36B,42.29%,$0.85B,$0.68B,79.51%,$0.85B,$0.25B,29.92%,$0.85B,$0.28B,32.51%,$0.28B,$3.41B,8.02%,$0.28B,$2.77B,11.04%,$0.28B,$8.23B,3.34%,$0.36B,$7.46B,4.76%,$197,$21,$176,$0,$22,$112,$85,$-22,$63,$-0,$63,$63,$75,$169,$85,$108,108,$0.69,$0.70,$162,$0,$0,$162,$6704,$0,$644,$721,$8069,$8231,$480,$4048,$225,$4340,$4820,$0,$-1052,$-236,$3411,$8231,$285,$316,$-103,$214,$0,$0,$0,$17,$17,$516,$49,$0,$0,$154,$9,$163,$14,$226,$-187,$-192,$-379,$23,$23,$-431,$44,$-743,$7,$19,$-431
4,2017-09-30,64.36,$32.27,1.99,$8.17,7.87,$12.07,5.33,$2.30,27.98,$0.17B,$0.48B,0.35,$4.09B,$3.45B,1.19,$0.88B,$0.75B,85.24%,$0.88B,$0.36B,40.64%,$0.88B,$0.36B,40.64%,$0.88B,$0.67B,75.60%,$0.88B,$0.24B,27.70%,$0.88B,$0.25B,28.26%,$0.25B,$3.45B,7.22%,$0.25B,$2.81B,9.94%,$0.25B,$8.33B,2.99%,$0.36B,$7.54B,4.79%,$211,$22,$189,$0,$22,$115,$96,$-29,$66,$2,$64,$64,$80,$174,$96,$108,108,$0.74,$0.74,$170,$0,$0,$170,$6752,$0,$643,$769,$8165,$8334,$480,$4091,$227,$4404,$4884,$0,$-1018,$-230,$3450,$8334,$211,$233,$-66,$166,$0,$0,$0,$9,$9,$386,$49,$0,$0,$106,$5,$111,$6,$166,$1417,$-1717,$-300,$23,$23,$-322,$48,$-551,$8,$15,$-322
5,2017-06-30,62.12,$32.34,1.92,$8.32,7.47,$11.16,5.56,$2.59,23.98,$0.17B,$0.45B,0.38,$4.10B,$3.46B,1.19,$0.90B,$0.76B,84.47%,$0.90B,$0.35B,39.22%,$0.90B,$0.35B,39.22%,$0.90B,$0.66B,73.41%,$0.90B,$0.24B,27.26%,$0.90B,$0.28B,31.28%,$0.28B,$3.46B,8.09%,$0.28B,$2.82B,12.64%,$0.28B,$8.32B,3.35%,$0.35B,$7.56B,4.68%,$222,$29,$192,$0,$21,$128,$94,$-27,$66,$2,$64,$64,$64,$171,$94,$108,108,$0.60,$0.59,$172,$0,$0,$172,$6765,$0,$641,$740,$8146,$8317,$447,$4099,$228,$4414,$4861,$0,$-989,$-244,$3456,$8317,$127,$154,$-33,$121,$0,$0,$0,$-0,$-0,$248,$9,$0,$0,$-48,$3,$-46,$216,$179,$-181,$-101,$-282,$22,$22,$-214,$56,$-418,$14,$10,$-214
6,2017-03-31,57.69,$32.45,1.78,$8.30,6.95,$9.29,6.21,$2.48,23.26,$0.15B,$0.26B,0.6,$4.17B,$3.46B,1.21,$0.89B,$0.75B,84.49%,$0.89B,$0.31B,35.28%,$0.89B,$0.31B,35.28%,$0.89B,$0.62B,70.00%,$0.89B,$0.21B,23.03%,$0.89B,$0.27B,30.11%,$0.27B,$3.46B,7.74%,$0.27B,$1.61B,14.10%,$0.27B,$8.20B,3.17%,$0.31B,$7.63B,4.11%,$219,$41,$178,$0,$25,$135,$84,$-26,$59,$-1,$60,$60,$57,$161,$84,$108,108,$0.53,$0.53,$153,$0,$0,$153,$4770,$0,$1849,$1426,$8045,$8198,$256,$4173,$229,$4485,$4741,$0,$-946,$-246,$3457,$8198,$60,$76,$-14,$62,$0,$0,$0,$-10,$-10,$112,$10,$0,$0,$187,$2,$189,$-0,$198,$-216,$-42,$-259,$0,$0,$-107,$51,$-314,$-4,$7,$-107
7,2016-12-31,53.92,$32.22,1.67,$8.81,6.12,$10.20,5.29,$2.49,21.65,$0.16B,$0.94B,0.17,$3.76B,$3.43B,1.1,$0.94B,$0.80B,85.02%,$0.94B,$0.32B,34.01%,$0.94B,$0.32B,34.01%,$0.94B,$0.60B,64.08%,$0.94B,$0.21B,22.00%,$0.94B,$0.27B,28.48%,$0.27B,$3.43B,7.70%,$0.27B,$2.79B,14.24%,$0.27B,$8.45B,3.12%,$0.32B,$7.19B,4.12%,$229,$37,$192,$0,$27,$145,$84,$-31,$53,$8,$45,$45,$48,$160,$84,$107,107,$0.45,$0.44,$155,$0,$0,$155,$6782,$0,$636,$881,$8298,$8454,$944,$3764,$230,$4085,$5029,$0,$-894,$-254,$3425,$8454,$275,$283,$-56,$227,$0,$0,$0,$39,$39,$541,$-55,$0,$0,$-220,$-9,$-229,$14,$-270,$422,$-322,$100,$85,$85,$-417,$-34,$-266,$-2,$21,$-417
8,2016-09-30,57.89,$33.05,1.75,$9.17,6.32,$4.09,14.17,$2.53,22.88,$0.21B,$0.51B,0.41,$4.14B,$3.51B,1.18,$0.98B,$0.82B,83.93%,$0.98B,$0.35B,35.82%,$0.98B,$0.35B,35.82%,$0.98B,$0.66B,67.76%,$0.98B,$0.22B,22.93%,$0.98B,$0.27B,27.74%,$0.27B,$3.51B,7.71%,$0.27B,$1.65B,17.37%,$0.27B,$8.47B,3.13%,$0.35B,$7.65B,4.39%,$225,$31,$194,$0,$20,$136,$89,$-22,$66,$3,$63,$63,$111,$165,$89,$107,107,$1.03,$1.03,$209,$0,$0,$209,$4848,$0,$1864,$1547,$8259,$8468,$509,$4142,$233,$4447,$4956,$0,$-835,$-221,$3512,$8468,$226,$207,$-53,$154,$0,$0,$0,$-3,$-3,$377,$-43,$0,$0,$-20,$-11,$-31,$46,$-28,$152,$-193,$-41,$84,$84,$-311,$-31,$-298,$52,$18,$-311
9,2016-06-30,61.36,$32.93,1.86,$9.09,6.75,$-0.95,0.0,$1.70,36.09,$0.17B,$0.27B,0.64,$4.64B,$3.46B,1.34,$0.97B,$0.81B,84.07%,$0.97B,$0.32B,32.78%,$0.97B,$0.32B,32.78%,$0.97B,$0.63B,65.25%,$0.97B,$0.18B,18.92%,$0.97B,$0.18B,18.82%,$0.18B,$3.46B,5.14%,$0.18B,$1.56B,11.92%,$0.18B,$8.68B,2.08%,$0.32B,$8.11B,3.91%,$217,$29,$188,$0,$25,$161,$57,$-30,$27,$-8,$35,$35,$52,$137,$57,$106,107,$0.48,$0.48,$173,$0,$0,$173,$4893,$0,$1906,$1710,$8509,$8683,$271,$4642,$234,$4949,$5220,$0,$-839,$-206,$3463,$8683,$114,$131,$-2,$129,$0,$0,$0,$1,$1,$245,$-191,$0,$0,$0,$-31,$-31,$7,$-215,$257,$-67,$189,$19,$19,$-206,$-17,$-15,$16,$14,$-206
10,2016-03-31,54.23,$33.68,1.61,$9.29,5.84,$-3.35,0.0,$1.81,29.96,$0.27B,$0.28B,0.95,$4.56B,$3.53B,1.29,$0.99B,$0.84B,84.82%,$0.99B,$0.37B,37.25%,$0.99B,$0.37B,37.25%,$0.99B,$0.67B,67.71%,$0.99B,$0.24B,24.09%,$0.99B,$0.19B,19.53%,$0.19B,$3.53B,5.34%,$0.19B,$1.54B,12.55%,$0.19B,$8.70B,2.19%,$0.37B,$8.10B,4.51%,$270,$44,$226,$0,$28,$180,$90,$-30,$61,$1,$60,$60,$57,$141,$90,$106,106,$0.54,$0.54,$267,$0,$0,$267,$5017,$0,$1997,$1423,$8436,$8703,$282,$4564,$237,$4890,$5172,$0,$-786,$-172,$3531,$8703,$61,$51,$1,$51,$0,$0,$0,$8,$8,$120,$96,$0,$0,$0,$2,$2,$-4,$94,$43,$-37,$6,$0,$0,$-102,$-13,$-109,$110,$10,$-102
11,2015-12-31,50.61,$34.10,1.48,$8.83,5.73,$-8.24,0.0,$1.61,31.43,$0.16B,$0.34B,0.46,$4.48B,$3.56B,1.26,$0.94B,$0.81B,86.03%,$0.94B,$0.36B,38.17%,$0.94B,$0.36B,38.17%,$0.94B,$0.68B,71.96%,$0.94B,$0.22B,23.03%,$0.94B,$0.17B,18.34%,$0.17B,$3.56B,4.70%,$0.17B,$1.50B,11.13%,$0.17B,$8.74B,1.95%,$0.36B,$8.04B,4.39%,$265,$54,$212,$0,$30,$151,$114,$-44,$70,$17,$53,$53,$51,$219,$114,$106,107,$0.48,$0.48,$157,$0,$0,$157,$5011,$0,$2060,$1514,$8585,$8742,$342,$4480,$272,$4838,$5181,$0,$-739,$-172,$3561,$8742,$185,$317,$17,$334,$0,$0,$0,$-11,$-11,$509,$-676,$0,$0,$0,$-8,$-8,$39,$-645,$669,$-92,$578,$1,$1,$-404,$-53,$121,$-41,$22,$-404
12,2015-09-30,48.8,$34.68,1.41,$8.83,5.53,$-9.25,0.0,$1.43,34.13,$0.19B,$0.30B,0.64,$4.60B,$3.62B,1.27,$0.92B,$0.80B,86.23%,$0.92B,$0.32B,34.38%,$0.92B,$0.32B,34.38%,$0.92B,$0.59B,64.21%,$0.92B,$0.18B,19.63%,$0.92B,$0.15B,16.59%,$0.15B,$3.62B,4.09%,$0.15B,$1.51B,9.62%,$0.15B,$8.89B,1.74%,$0.32B,$8.22B,3.90%,$215,$28,$187,$0,$27,$159,$56,$-30,$25,$3,$22,$22,$22,$134,$56,$106,106,$0.20,$0.20,$191,$0,$0,$191,$5029,$0,$2106,$1562,$8697,$8888,$299,$4600,$282,$4970,$5268,$0,$-655,$-157,$3620,$8888,$129,$212,$20,$232,$0,$0,$0,$-30,$-30,$331,$-536,$0,$0,$-155,$-10,$-166,$76,$-625,$645,$-10,$635,$0,$0,$-302,$-24,$309,$-7,$16,$-302
13,2015-06-30,48.94,$35.78,1.37,$8.76,5.59,$-4.52,0.0,$1.50,32.63,$0.23B,$0.31B,0.75,$4.55B,$3.74B,1.22,$0.90B,$0.77B,85.62%,$0.90B,$0.33B,36.50%,$0.90B,$0.33B,36.50%,$0.90B,$0.59B,65.04%,$0.90B,$0.19B,20.46%,$0.90B,$0.16B,17.48%,$0.16B,$3.74B,4.12%,$0.16B,$1.60B,9.47%,$0.16B,$8.97B,1.81%,$0.33B,$8.28B,4.11%,$238,$25,$213,$0,$31,$130,$108,$-26,$82,$15,$67,$67,$63,$175,$108,$106,106,$0.60,$0.59,$234,$0,$0,$234,$5057,$0,$2134,$1542,$8734,$8968,$313,$4545,$286,$4920,$5232,$0,$-575,$-121,$3735,$8968,$106,$134,$4,$139,$0,$0,$0,$-28,$-28,$216,$-416,$0,$0,$-122,$-27,$-149,$43,$-523,$574,$0,$574,$0,$0,$-201,$-11,$363,$35,$12,$-201
14,2015-03-31,55.57,$35.57,1.56,$9.03,6.16,$0.84,66.44,$1.55,35.85,$0.21B,$0.30B,0.7,$4.34B,$3.71B,1.17,$0.92B,$0.76B,82.26%,$0.92B,$0.31B,34.17%,$0.92B,$0.31B,34.17%,$0.92B,$0.57B,62.13%,$0.92B,$0.16B,16.87%,$0.92B,$0.16B,17.41%,$0.16B,$3.71B,4.14%,$0.16B,$1.56B,9.60%,$0.16B,$8.73B,1.87%,$0.31B,$8.05B,3.99%,$220,$25,$195,$0,$37,$140,$80,$-41,$39,$2,$37,$37,$36,$147,$80,$105,106,$0.34,$0.34,$207,$0,$0,$207,$4957,$0,$2147,$1419,$8523,$8731,$298,$4336,$289,$4721,$5019,$0,$-538,$0,$3711,$8731,$39,$67,$5,$72,$0,$0,$0,$-29,$-29,$81,$-384,$0,$0,$0,$1,$1,$17,$-365,$418,$8,$426,$0,$0,$-100,$-7,$319,$9,$7,$-100
