,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,123.47,$18.24,6.77,$22.66,5.45,$4.88,25.29,$2.06,59.94,$0.85B,$0.29B,2.94,$0.20B,$1.35B,0.15,$1.71B,$0.54B,31.54%,$1.71B,$0.24B,13.90%,$1.71B,$0.24B,13.90%,$1.71B,$0.34B,19.92%,$1.71B,$0.23B,13.67%,$1.71B,$0.16B,9.05%,$0.16B,$1.35B,11.88%,$0.16B,$1.23B,13.18%,$0.16B,$1.95B,8.21%,$0.24B,$1.55B,15.85%,$432,$296,$136,$10,$65,$371,$61,$0,$61,$8,$53,$55,$55,$87,$61,$74,76,$0.75,$0.73,$297,$207,$43,$850,$822,$91,$127,$22,$1096,$1946,$289,$196,$44,$306,$594,$19,$1313,$-154,$1352,$1946,$155,$78,$15,$93,$0,$0,$0,$-33,$-33,$215,$-75,$0,$0,$0,$0,$0,$3,$-72,$0,$0,$0,$-42,$-42,$-31,$0,$-73,$61,$15,$-31
1,2018-06-30,99.15,$17.44,5.68,$22.20,4.47,$4.08,24.27,$2.00,49.57,$0.77B,$0.29B,2.67,$0.20B,$1.28B,0.15,$1.68B,$0.53B,31.53%,$1.68B,$0.24B,14.30%,$1.68B,$0.24B,14.30%,$1.68B,$0.34B,20.38%,$1.68B,$0.24B,14.06%,$1.68B,$0.15B,9.00%,$0.15B,$1.28B,11.65%,$0.15B,$1.15B,12.94%,$0.15B,$1.87B,8.01%,$0.24B,$1.48B,16.08%,$448,$305,$142,$11,$70,$387,$60,$-0,$60,$6,$54,$56,$56,$86,$60,$74,75,$0.76,$0.75,$226,$208,$37,$767,$827,$92,$128,$22,$1107,$1874,$288,$196,$42,$304,$592,$19,$1258,$-144,$1282,$1874,$100,$52,$9,$61,$0,$0,$0,$-34,$-34,$127,$-48,$0,$0,$0,$0,$0,$3,$-46,$0,$0,$0,$-62,$-62,$-21,$0,$-83,$-10,$9,$-21
2,2018-03-31,88.03,$17.74,4.96,$21.48,4.1,$3.55,24.81,$1.76,50.02,$0.74B,$0.26B,2.82,$0.20B,$1.31B,0.15,$1.63B,$0.51B,31.45%,$1.63B,$0.22B,13.64%,$1.63B,$0.22B,13.64%,$1.63B,$0.32B,19.78%,$1.63B,$0.22B,13.33%,$1.63B,$0.13B,8.23%,$0.13B,$1.31B,10.42%,$0.13B,$1.17B,11.59%,$0.13B,$1.87B,7.14%,$0.22B,$1.50B,14.97%,$416,$281,$134,$10,$68,$362,$53,$0,$54,$13,$41,$44,$44,$80,$53,$74,76,$0.59,$0.58,$200,$216,$38,$744,$858,$90,$132,$22,$1126,$1870,$263,$198,$36,$301,$564,$19,$1223,$-96,$1305,$1870,$44,$26,$3,$30,$0,$0,$0,$-28,$-28,$45,$-28,$0,$0,$0,$0,$0,$-1,$-29,$0,$0,$0,$-47,$-47,$-10,$0,$-57,$-36,$3,$-10
3,2017-12-31,98.24,$17.32,5.67,$21.15,4.64,$3.10,31.7,$1.99,49.37,$0.74B,$0.28B,2.66,$0.20B,$1.28B,0.15,$1.60B,$0.51B,32.00%,$1.60B,$0.23B,14.38%,$1.60B,$0.23B,14.38%,$1.60B,$0.33B,20.38%,$1.60B,$0.22B,13.94%,$1.60B,$0.15B,9.44%,$0.15B,$1.28B,12.06%,$0.15B,$1.15B,13.44%,$0.15B,$1.86B,8.20%,$0.23B,$1.48B,15.88%,$416,$287,$128,$10,$56,$352,$64,$-4,$59,$62,$-3,$0,$0,$88,$64,$74,76,$-0.01,$0.00,$236,$215,$39,$744,$855,$86,$129,$23,$1119,$1863,$280,$197,$43,$303,$583,$19,$1178,$-117,$1280,$1863,$151,$97,$57,$154,$-40,$-4,$13,$-11,$-41,$263,$-131,$0,$-6,$0,$0,$0,$3,$-134,$-35,$0,$-35,$-34,$-34,$-39,$-1,$-109,$33,$16,$-39
4,2017-09-30,95.7,$17.72,5.4,$20.77,4.61,$2.01,47.69,$2.51,38.13,$0.78B,$0.30B,2.59,$0.20B,$1.32B,0.15,$1.57B,$0.51B,32.38%,$1.57B,$0.22B,14.05%,$1.57B,$0.22B,14.05%,$1.57B,$0.32B,20.11%,$1.57B,$0.22B,13.86%,$1.57B,$0.19B,12.13%,$0.19B,$1.32B,15.68%,$0.19B,$1.19B,17.54%,$0.19B,$1.93B,10.52%,$0.22B,$1.51B,15.55%,$398,$273,$125,$9,$63,$335,$63,$0,$63,$14,$49,$51,$51,$88,$63,$74,76,$0.69,$0.67,$269,$216,$40,$777,$835,$85,$130,$17,$1154,$1930,$300,$197,$46,$314,$614,$19,$1189,$-131,$1317,$1930,$151,$72,$25,$97,$0,$0,$0,$-65,$-65,$182,$-101,$0,$-6,$0,$0,$0,$3,$-104,$-2,$0,$-2,$9,$9,$-29,$-1,$-23,$66,$14,$-29
5,2017-06-30,93.84,$16.79,5.59,$20.54,4.57,$1.28,73.41,$2.34,40.1,$0.72B,$0.29B,2.48,$0.20B,$1.24B,0.16,$1.55B,$0.50B,32.56%,$1.55B,$0.21B,13.46%,$1.55B,$0.21B,13.46%,$1.55B,$0.30B,19.48%,$1.55B,$0.20B,13.14%,$1.55B,$0.18B,11.46%,$0.18B,$1.24B,15.16%,$0.18B,$1.11B,17.02%,$0.18B,$1.84B,10.07%,$0.21B,$1.44B,15.08%,$398,$273,$125,$10,$61,$356,$42,$-1,$41,$3,$38,$39,$39,$66,$42,$74,76,$0.53,$0.51,$227,$211,$38,$718,$812,$84,$129,$16,$1125,$1843,$289,$196,$47,$312,$601,$19,$1148,$-152,$1242,$1843,$100,$47,$20,$67,$0,$0,$0,$-61,$-61,$106,$-67,$0,$-6,$0,$0,$0,$3,$-70,$-1,$0,$-1,$1,$1,$-19,$-0,$-20,$24,$9,$-19
6,2017-03-31,80.89,$15.88,5.09,$20.48,3.95,$0.83,97.08,$2.43,33.29,$0.65B,$0.26B,2.54,$0.19B,$1.17B,0.17,$1.54B,$0.51B,33.29%,$1.54B,$0.23B,14.79%,$1.54B,$0.23B,14.79%,$1.54B,$0.32B,20.78%,$1.54B,$0.22B,14.46%,$1.54B,$0.18B,11.92%,$0.18B,$1.17B,16.13%,$0.18B,$1.04B,18.18%,$0.18B,$1.73B,10.62%,$0.23B,$1.36B,16.77%,$388,$254,$134,$10,$63,$327,$61,$-1,$60,$2,$57,$61,$61,$84,$61,$73,75,$0.83,$0.81,$169,$212,$46,$653,$783,$81,$127,$22,$1081,$1734,$257,$194,$47,$308,$565,$19,$1119,$-179,$1169,$1734,$61,$23,$4,$27,$0,$0,$0,$-67,$-67,$21,$-38,$0,$0,$0,$0,$0,$3,$-35,$-1,$0,$-1,$-12,$-12,$-10,$-0,$-22,$-34,$4,$-10
7,2016-12-31,83.95,$15.29,5.49,$20.19,4.16,$0.57,146.85,$1.92,43.73,$0.64B,$0.24B,2.66,$0.23B,$1.12B,0.2,$1.51B,$0.50B,33.13%,$1.51B,$0.20B,12.99%,$1.51B,$0.20B,12.99%,$1.51B,$0.29B,19.02%,$1.51B,$0.19B,12.59%,$1.51B,$0.14B,9.54%,$0.14B,$1.12B,12.96%,$0.14B,$0.99B,14.67%,$0.14B,$1.72B,8.44%,$0.20B,$1.34B,14.64%,$382,$259,$123,$10,$61,$328,$54,$-1,$53,$16,$37,$39,$39,$77,$54,$73,75,$0.53,$0.51,$203,$199,$39,$642,$778,$83,$126,$21,$1075,$1717,$241,$226,$47,$358,$599,$18,$1072,$-187,$1118,$1717,$144,$91,$44,$135,$-23,$-21,$6,$-20,$-59,$219,$-170,$0,$0,$0,$-8,$-8,$3,$-176,$-70,$0,$-70,$-26,$-26,$-36,$18,$-114,$-72,$20,$-36
8,2016-09-30,73.6,$15.61,4.72,$19.97,3.69,$1.01,72.83,$1.85,39.78,$0.66B,$0.24B,2.78,$0.23B,$1.14B,0.2,$1.49B,$0.50B,33.42%,$1.49B,$0.19B,12.58%,$1.49B,$0.19B,12.58%,$1.49B,$0.28B,18.76%,$1.49B,$0.18B,12.10%,$1.49B,$0.14B,9.28%,$0.14B,$1.14B,12.69%,$0.14B,$1.01B,14.46%,$0.14B,$1.74B,8.11%,$0.19B,$1.37B,14.20%,$377,$256,$121,$9,$58,$325,$51,$-2,$49,$14,$35,$38,$38,$74,$51,$73,75,$0.51,$0.50,$206,$201,$42,$658,$773,$81,$130,$23,$1077,$1735,$237,$229,$50,$356,$593,$18,$1042,$-144,$1142,$1735,$105,$68,$30,$98,$0,$0,$0,$-55,$-55,$148,$-123,$0,$0,$0,$-8,$-8,$2,$-129,$-69,$0,$-69,$-6,$-6,$-26,$14,$-88,$-69,$14,$-26
9,2016-06-30,74.84,$15.16,4.94,$19.61,3.82,$1.46,51.33,$1.37,54.63,$0.66B,$0.24B,2.75,$0.23B,$1.11B,0.21,$1.46B,$0.48B,33.26%,$1.46B,$0.13B,9.07%,$1.46B,$0.13B,9.07%,$1.46B,$0.22B,15.40%,$1.46B,$0.12B,8.52%,$1.46B,$0.10B,7.01%,$0.10B,$1.11B,9.71%,$0.10B,$0.98B,11.16%,$0.10B,$1.71B,6.06%,$0.13B,$1.34B,10.31%,$388,$255,$133,$9,$63,$327,$61,$-2,$60,$17,$43,$45,$45,$84,$61,$73,75,$0.61,$0.60,$203,$198,$40,$659,$741,$78,$130,$23,$1046,$1705,$239,$229,$52,$356,$596,$18,$1014,$-150,$1109,$1705,$67,$45,$28,$73,$0,$0,$0,$-61,$-61,$79,$-74,$0,$0,$0,$-8,$-8,$1,$-81,$-69,$0,$-69,$1,$1,$-18,$13,$-73,$-72,$10,$-18
