,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,32.27,$12.09,2.67,$10.10,3.19,$2.55,12.65,$1.47,21.95,$1.71B,$1.27B,1.35,$5.92B,$9.06B,0.65,$7.66B,$2.10B,27.40%,$7.66B,$1.69B,22.09%,$7.66B,$1.69B,22.09%,$7.66B,$2.18B,28.46%,$7.66B,$1.30B,16.90%,$7.66B,$1.11B,14.51%,$1.11B,$9.06B,12.28%,$1.11B,$8.72B,12.76%,$1.11B,$17.43B,6.23%,$1.69B,$14.98B,11.13%,$1910,$1452,$458,$2,$98,$1573,$337,$-97,$240,$-15,$255,$255,$255,$459,$337,$755,757,$0.34,$0.34,$348,$389,$253,$1714,$1672,$362,$337,$289,$15713,$17427,$1273,$5921,$291,$7097,$8370,$936,$1439,$-1552,$9057,$17427,$841,$361,$286,$647,$-164,$-9,$0,$-7,$-313,$820,$-281,$0,$0,$0,$0,$0,$17,$-264,$-62,$0,$-62,$-221,$-221,$-741,$-8,$-1032,$-476,$31,$-741
1,2018-06-30,36.46,$12.25,2.98,$10.05,3.63,$3.17,11.49,$1.30,28.05,$2.23B,$1.02B,2.18,$6.23B,$9.28B,0.67,$7.63B,$2.14B,28.07%,$7.63B,$1.56B,20.47%,$7.63B,$1.56B,20.47%,$7.63B,$2.06B,27.00%,$7.63B,$1.16B,15.19%,$7.63B,$0.99B,12.94%,$0.99B,$9.28B,10.90%,$0.99B,$8.94B,11.34%,$0.99B,$18.05B,5.45%,$1.56B,$15.51B,10.18%,$2065,$1447,$618,$2,$103,$1589,$476,$-94,$382,$65,$317,$317,$317,$595,$476,$758,761,$0.42,$0.42,$901,$414,$253,$2228,$1597,$362,$342,$279,$15820,$18048,$1022,$6226,$295,$7745,$8767,$947,$1441,$-1603,$9281,$18048,$586,$239,$133,$372,$-86,$-36,$0,$-1,$-193,$733,$-178,$0,$0,$0,$0,$0,$29,$-149,$-62,$0,$-62,$48,$48,$-485,$-8,$-507,$77,$18,$-485
2,2018-03-31,34.71,$11.88,2.92,$9.73,3.57,$2.92,11.87,$0.91,38.14,$1.92B,$0.91B,2.11,$6.23B,$8.99B,0.69,$7.37B,$1.99B,27.06%,$7.37B,$1.24B,16.86%,$7.37B,$1.24B,16.86%,$7.37B,$1.75B,23.75%,$7.37B,$0.83B,11.32%,$7.37B,$0.69B,9.42%,$0.69B,$8.99B,7.71%,$0.69B,$8.65B,8.02%,$0.69B,$17.89B,3.79%,$1.24B,$15.22B,8.09%,$1865,$1348,$517,$2,$101,$1461,$404,$-105,$299,$30,$269,$269,$269,$524,$404,$757,759,$0.35,$0.35,$851,$445,$0,$1919,$1573,$362,$346,$278,$15966,$17885,$911,$6230,$299,$7983,$8894,$946,$1365,$-1786,$8991,$17885,$269,$120,$85,$205,$-83,$-66,$0,$-5,$-322,$136,$-79,$0,$0,$0,$0,$0,$3,$-76,$-62,$0,$-62,$25,$25,$-242,$-7,$-286,$-226,$9,$-242
3,2017-12-31,34.64,$11.78,2.94,$9.52,3.64,$2.81,12.35,$0.77,44.99,$1.72B,$1.17B,1.47,$6.23B,$8.90B,0.7,$7.20B,$1.90B,26.38%,$7.20B,$1.13B,15.72%,$7.20B,$1.13B,15.72%,$7.20B,$1.65B,22.96%,$7.20B,$0.72B,9.95%,$7.20B,$0.58B,8.09%,$0.58B,$8.90B,6.42%,$0.58B,$8.55B,6.68%,$0.58B,$18.06B,3.13%,$1.13B,$15.13B,7.28%,$1823,$1316,$507,$2,$93,$1347,$476,$-102,$374,$103,$271,$271,$271,$603,$476,$753,757,$0.36,$0.22,$824,$383,$0,$1715,$1618,$615,$348,$316,$16344,$18059,$1165,$6232,$276,$7995,$9160,$944,$1078,$-1562,$8899,$18059,$582,$521,$205,$726,$-85,$-39,$0,$-11,$-29,$1201,$-419,$0,$606,$0,$0,$0,$180,$367,$-606,$0,$-606,$128,$128,$-941,$-1,$-1420,$148,$40,$-941
4,2017-09-30,33.14,$12.01,2.76,$9.32,3.56,$2.07,16.01,$1.14,29.07,$1.52B,$1.02B,1.48,$6.44B,$9.05B,0.71,$6.97B,$1.71B,24.52%,$6.97B,$0.83B,11.90%,$6.97B,$0.83B,11.90%,$6.97B,$1.36B,19.51%,$6.97B,$0.43B,6.16%,$6.97B,$0.86B,12.37%,$0.86B,$9.05B,9.44%,$0.86B,$8.69B,9.82%,$0.86B,$18.40B,4.56%,$0.83B,$15.49B,5.26%,$1872,$1374,$498,$4,$97,$1667,$205,$-102,$103,$-27,$130,$130,$130,$337,$205,$754,757,$0.17,$0.31,$497,$340,$0,$1517,$1534,$33,$352,$874,$16885,$18402,$1023,$6444,$689,$8334,$9357,$941,$1050,$-1337,$9045,$18402,$311,$394,$251,$645,$-229,$4,$0,$-9,$-50,$847,$164,$0,$0,$0,$0,$0,$28,$192,$-606,$0,$-606,$89,$89,$-699,$-2,$-1218,$-179,$29,$-699
5,2017-06-30,32.32,$12.08,2.68,$9.11,3.55,$2.00,16.19,$1.27,25.45,$2.09B,$1.52B,1.37,$6.45B,$9.09B,0.71,$6.81B,$1.59B,23.39%,$6.81B,$0.89B,13.00%,$6.81B,$0.89B,13.00%,$6.81B,$1.42B,20.91%,$6.81B,$0.51B,7.49%,$6.81B,$0.96B,14.09%,$0.96B,$9.09B,10.46%,$0.96B,$8.74B,10.88%,$0.96B,$18.99B,4.91%,$0.89B,$15.54B,5.57%,$1808,$1336,$472,$4,$98,$1651,$157,$-99,$58,$34,$24,$24,$24,$286,$157,$753,756,$0.03,$0.03,$701,$349,$411,$2088,$1534,$33,$354,$861,$16902,$18990,$1524,$6447,$699,$8376,$9900,$941,$1154,$-1379,$9090,$18990,$181,$262,$214,$476,$-131,$-7,$0,$-13,$-96,$524,$-162,$0,$0,$0,$0,$0,$56,$-106,$0,$0,$0,$81,$81,$-466,$-8,$-393,$25,$19,$-466
6,2017-03-31,32.48,$12.26,2.65,$8.93,3.64,$2.11,15.42,$1.45,22.4,$1.47B,$1.02B,1.43,$6.77B,$9.22B,0.74,$6.65B,$1.50B,22.61%,$6.65B,$0.98B,14.67%,$6.65B,$0.98B,14.67%,$6.65B,$1.53B,23.03%,$6.65B,$0.61B,9.21%,$6.65B,$1.09B,16.41%,$1.09B,$9.22B,11.80%,$1.09B,$8.86B,12.28%,$1.09B,$19.00B,5.38%,$0.98B,$15.99B,5.84%,$1693,$1272,$421,$4,$109,$1400,$293,$-112,$181,$24,$157,$157,$157,$426,$293,$751,755,$0.21,$0.21,$455,$386,$0,$1465,$1544,$56,$357,$844,$17536,$19001,$1022,$6774,$703,$8764,$9786,$939,$1364,$-1428,$9215,$19001,$157,$133,$47,$180,$-70,$-28,$0,$-9,$-280,$35,$-67,$0,$0,$0,$0,$0,$-1,$-68,$0,$0,$0,$55,$55,$-233,$-10,$-188,$-221,$10,$-233
7,2016-12-31,28.5,$12.26,2.32,$8.90,3.2,$2.21,12.9,$1.35,21.11,$1.62B,$1.21B,1.35,$6.84B,$9.18B,0.75,$6.37B,$1.39B,21.76%,$6.37B,$0.82B,12.91%,$6.37B,$0.82B,12.91%,$6.37B,$1.39B,21.79%,$6.37B,$0.50B,7.92%,$6.37B,$1.01B,15.79%,$1.01B,$9.18B,10.56%,$1.01B,$8.82B,10.97%,$1.01B,$19.24B,4.79%,$0.82B,$16.02B,4.68%,$1596,$1278,$318,$5,$107,$1422,$174,$-87,$87,$25,$62,$62,$551,$311,$174,$719,722,$0.78,$0.77,$676,$358,$0,$1622,$1562,$56,$359,$839,$17621,$19243,$1206,$6840,$695,$8857,$10063,$936,$1421,$-1459,$9180,$19243,$1027,$565,$-901,$-336,$52,$61,$0,$19,$143,$735,$-520,$0,$2486,$0,$0,$0,$593,$2559,$-725,$0,$-725,$-1942,$-1942,$-954,$-9,$-3630,$-336,$60,$-932
8,2016-09-30,29.94,$12.29,2.44,$8.27,3.62,$2.98,10.05,$0.73,41.02,$3.36B,$3.33B,1.01,$6.84B,$9.19B,0.74,$5.59B,$1.25B,22.33%,$5.59B,$0.73B,12.99%,$5.59B,$0.73B,12.99%,$5.59B,$1.27B,22.80%,$5.59B,$0.44B,7.84%,$5.59B,$0.51B,9.18%,$0.51B,$9.19B,6.08%,$0.51B,$8.83B,6.29%,$0.51B,$20.95B,2.65%,$0.73B,$16.03B,4.51%,$1709,$1328,$381,$5,$102,$1448,$261,$-77,$184,$22,$162,$162,$227,$400,$261,$750,754,$0.30,$0.30,$769,$368,$0,$3356,$1476,$73,$361,$932,$17590,$20946,$3327,$6840,$714,$8429,$11756,$935,$1101,$-1110,$9190,$20946,$476,$428,$12,$440,$-59,$49,$0,$2,$53,$886,$66,$0,$0,$0,$0,$0,$525,$591,$975,$0,$975,$-1955,$-1955,$-722,$-8,$-1710,$-233,$53,$-700
9,2016-06-30,27.64,$12.86,2.15,$8.62,3.21,$2.49,11.09,$0.78,35.44,$3.33B,$1.56B,2.14,$9.35B,$9.42B,0.99,$5.23B,$1.15B,21.95%,$5.23B,$0.63B,12.06%,$5.23B,$0.63B,12.06%,$5.23B,$1.16B,22.12%,$5.23B,$0.34B,6.53%,$5.23B,$0.47B,8.90%,$0.47B,$9.43B,6.33%,$0.47B,$9.07B,6.51%,$0.47B,$21.99B,2.69%,$0.63B,$18.78B,4.30%,$1655,$1271,$384,$4,$116,$1407,$248,$-87,$161,$31,$130,$130,$157,$395,$248,$743,748,$0.21,$0.21,$485,$387,$0,$3328,$1462,$905,$359,$1039,$18661,$21989,$1557,$9354,$722,$11002,$12559,$916,$1106,$-1133,$9430,$21989,$249,$289,$28,$317,$-90,$17,$0,$4,$2,$539,$-99,$0,$0,$0,$0,$0,$473,$374,$675,$0,$675,$-1617,$-1617,$-480,$-11,$-1433,$-520,$40,$-469
