,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,38.97,$9.47,4.12,$0.92,42.4,$-3.55,0.0,$-1.33,0.0,$0.29B,$0.05B,5.52,$0.00B,$0.53B,0.0,$0.05B,$0.05B,100.00%,$0.05B,$-0.06B,-128.57%,$0.05B,$-0.06B,-128.57%,$0.05B,$-0.06B,-120.41%,$0.05B,$-0.06B,-114.29%,$0.05B,$-0.06B,-112.24%,$-0.06B,$0.53B,-11.55%,$-0.06B,$0.52B,-11.83%,$-0.06B,$0.59B,-10.10%,$-0.06B,$0.53B,-13.23%,$29,$0,$29,$21,$7,$28,$1,$2,$3,$0,$3,$3,$3,$1,$1,$56,58,$0.06,$0.05,$272,$0,$0,$287,$10,$276,$12,$0,$299,$586,$52,$0,$0,$1,$53,$1,$-305,$-2,$532,$586,$-52,$3,$16,$18,$-1,$0,$-1,$-27,$-29,$-63,$-4,$-1,$0,$0,$-166,$-166,$0,$-172,$0,$0,$0,$268,$268,$0,$-15,$253,$18,$15,$0
1,2018-06-30,37.01,$9.30,3.98,$0.42,87.91,$-3.05,0.0,$-1.66,0.0,$0.27B,$0.07B,3.79,$0.00B,$0.52B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$-0.09B,-440.00%,$0.02B,$-0.09B,-440.00%,$0.02B,$-0.08B,-410.00%,$0.02B,$-0.08B,-405.00%,$0.02B,$-0.08B,-405.00%,$-0.08B,$0.52B,-19.47%,$-0.08B,$0.51B,-20.02%,$-0.08B,$0.59B,-16.27%,$-0.09B,$0.52B,-21.15%,$0,$0,$0,$23,$5,$28,$-28,$2,$-26,$0,$-26,$-26,$-26,$-27,$-28,$56,56,$-0.46,$-0.46,$255,$0,$0,$270,$9,$300,$12,$0,$322,$591,$71,$0,$0,$1,$72,$1,$-308,$-2,$519,$591,$-55,$2,$9,$11,$-0,$0,$-2,$-7,$-9,$-53,$-3,$-1,$0,$0,$-173,$-173,$0,$-177,$0,$0,$0,$264,$264,$0,$-15,$249,$19,$9,$0
2,2018-03-31,29.98,$9.67,3.1,$0.69,43.56,$-2.57,0.0,$-1.35,0.0,$0.47B,$0.07B,6.41,$0.00B,$0.54B,0.0,$0.03B,$0.03B,100.00%,$0.03B,$-0.07B,-209.09%,$0.03B,$-0.07B,-209.09%,$0.03B,$-0.06B,-187.88%,$0.03B,$-0.06B,-187.88%,$0.03B,$-0.06B,-190.91%,$-0.06B,$0.54B,-17.43%,$-0.06B,$0.53B,-17.99%,$-0.06B,$0.61B,-13.88%,$-0.07B,$0.54B,-19.09%,$0,$0,$0,$26,$5,$31,$-31,$1,$-29,$0,$-29,$-29,$-29,$-29,$-31,$48,48,$-0.62,$-0.62,$462,$0,$0,$471,$9,$120,$11,$0,$141,$612,$73,$0,$0,$1,$75,$1,$-282,$-2,$538,$612,$-29,$1,$4,$6,$0,$0,$2,$-1,$-0,$-24,$-2,$-0,$0,$0,$15,$15,$0,$13,$0,$0,$0,$261,$261,$0,$-15,$247,$235,$4,$0
3,2017-12-31,21.92,$6.73,3.26,$0.76,28.71,$-2.25,0.0,$-1.04,0.0,$0.23B,$0.07B,3.18,$0.00B,$0.32B,0.0,$0.04B,$0.04B,100.00%,$0.04B,$-0.05B,-145.95%,$0.04B,$-0.05B,-145.95%,$0.04B,$-0.05B,-129.73%,$0.04B,$-0.05B,-129.73%,$0.04B,$-0.05B,-132.43%,$-0.05B,$0.32B,-16.17%,$-0.05B,$0.31B,-16.78%,$-0.05B,$0.39B,-12.08%,$-0.05B,$0.32B,-17.82%,$20,$0,$20,$20,$4,$25,$-5,$1,$-4,$-1,$-3,$-3,$-3,$-4,$-5,$47,47,$-0.07,$-0.07,$224,$0,$0,$231,$7,$139,$11,$0,$159,$390,$73,$0,$0,$1,$74,$0,$-253,$-2,$316,$390,$-49,$5,$14,$19,$7,$0,$3,$-12,$-4,$-34,$-5,$-2,$0,$0,$39,$39,$0,$32,$0,$0,$0,$4,$4,$0,$0,$4,$2,$14,$0
4,2017-09-30,22.92,$6.19,3.7,$0.49,46.37,$0.78,29.52,$-1.00,0.0,$0.22B,$0.10B,2.17,$0.00B,$0.29B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$-0.06B,-256.52%,$0.02B,$-0.06B,-256.52%,$0.02B,$-0.05B,-230.43%,$0.02B,$-0.05B,-230.43%,$0.02B,$-0.06B,-239.13%,$-0.06B,$0.29B,-18.18%,$-0.06B,$0.28B,-18.85%,$-0.06B,$0.40B,-13.25%,$-0.06B,$0.29B,-19.50%,$0,$0,$0,$19,$4,$24,$-24,$1,$-22,$0,$-23,$-23,$-23,$-22,$-24,$47,47,$-0.48,$-0.48,$210,$0,$0,$218,$6,$163,$11,$0,$180,$398,$100,$0,$0,$7,$108,$0,$-275,$-1,$291,$398,$-46,$4,$10,$14,$8,$0,$3,$-4,$5,$-27,$-4,$-2,$0,$0,$28,$28,$-0,$23,$0,$0,$0,$3,$3,$0,$0,$3,$-1,$10,$0
5,2017-06-30,21.11,$6.43,3.28,$0.68,30.82,$4.09,5.16,$-0.87,0.0,$0.21B,$0.11B,1.96,$0.00B,$0.30B,0.0,$0.03B,$0.03B,100.00%,$0.03B,$-0.04B,-141.94%,$0.03B,$-0.04B,-141.94%,$0.03B,$-0.04B,-125.81%,$0.03B,$-0.04B,-129.03%,$0.03B,$-0.04B,-129.03%,$-0.04B,$0.30B,-14.27%,$-0.04B,$0.29B,-14.81%,$-0.04B,$0.42B,-10.09%,$-0.04B,$0.30B,-15.70%,$13,$0,$13,$17,$4,$21,$-9,$1,$-7,$0,$-8,$-8,$-8,$-7,$-9,$47,47,$-0.17,$-0.17,$188,$0,$0,$211,$4,$190,$11,$0,$205,$416,$107,$0,$0,$7,$115,$0,$-260,$-1,$301,$416,$-23,$2,$7,$9,$-6,$0,$4,$-4,$-9,$-23,$-1,$-1,$0,$0,$20,$20,$-0,$18,$0,$0,$0,$2,$2,$0,$0,$2,$-3,$7,$0
6,2017-03-31,23.92,$6.51,3.68,$2.00,11.97,$4.04,5.92,$0.41,58.34,$0.17B,$0.11B,1.55,$0.00B,$0.30B,0.0,$0.08B,$0.08B,100.00%,$0.08B,$0.01B,16.67%,$0.08B,$0.01B,16.67%,$0.08B,$0.02B,20.24%,$0.08B,$0.02B,19.05%,$0.08B,$0.02B,17.86%,$0.02B,$0.30B,5.83%,$0.02B,$0.29B,6.08%,$0.02B,$0.42B,3.99%,$0.01B,$0.30B,5.44%,$4,$0,$4,$15,$5,$20,$-16,$1,$-15,$0,$-15,$-15,$-15,$-15,$-16,$47,47,$-0.33,$-0.33,$155,$0,$0,$166,$3,$238,$11,$0,$252,$418,$107,$0,$0,$8,$115,$0,$-253,$-1,$304,$418,$-15,$1,$3,$4,$2,$0,$0,$-1,$1,$-11,$-0,$-1,$0,$0,$10,$10,$-0,$9,$0,$0,$0,$1,$1,$0,$0,$1,$-1,$3,$0
7,2016-12-31,26.32,$6.74,3.9,$2.10,12.52,$3.92,6.72,$0.56,47.0,$0.14B,$0.11B,1.33,$0.00B,$0.31B,0.0,$0.09B,$0.09B,100.00%,$0.09B,$0.02B,26.44%,$0.09B,$0.02B,26.44%,$0.09B,$0.03B,29.89%,$0.09B,$0.03B,28.74%,$0.09B,$0.02B,27.59%,$0.02B,$0.31B,10.86%,$0.02B,$0.30B,11.39%,$0.02B,$0.43B,7.51%,$0.02B,$0.31B,10.41%,$6,$0,$6,$13,$3,$16,$-10,$1,$-9,$-0,$-9,$-9,$-9,$-9,$-10,$41,42,$-0.23,$-0.21,$130,$0,$0,$142,$3,$273,$10,$0,$287,$429,$106,$0,$0,$8,$115,$0,$-238,$-1,$314,$429,$24,$4,$8,$12,$-9,$0,$-3,$67,$59,$95,$-2,$-2,$0,$0,$-211,$-211,$0,$-214,$0,$0,$0,$121,$121,$0,$0,$121,$2,$8,$0
8,2016-09-30,24.49,$4.92,4.98,$2.51,9.76,$2.36,10.39,$0.96,25.51,$0.11B,$0.11B,1.0,$0.00B,$0.20B,0.0,$0.10B,$0.10B,100.00%,$0.10B,$0.04B,38.83%,$0.10B,$0.04B,38.83%,$0.10B,$0.04B,41.75%,$0.10B,$0.04B,40.78%,$0.10B,$0.04B,39.81%,$0.04B,$0.20B,22.40%,$0.04B,$0.19B,23.73%,$0.04B,$0.32B,15.52%,$0.04B,$0.20B,21.86%,$8,$0,$8,$14,$3,$17,$-9,$1,$-9,$-1,$-8,$-8,$-8,$-8,$-9,$41,41,$-0.20,$-0.20,$104,$0,$0,$111,$3,$198,$11,$0,$211,$322,$111,$0,$0,$9,$120,$0,$-229,$-0,$202,$322,$33,$3,$6,$8,$-3,$0,$1,$68,$69,$110,$-1,$-1,$0,$0,$-107,$-107,$0,$-109,$0,$0,$0,$1,$1,$0,$0,$1,$2,$6,$0
9,2016-06-30,18.99,$5.09,3.73,$2.40,7.9,$0.41,46.66,$0.91,20.87,$0.24B,$0.12B,2.1,$0.00B,$0.21B,0.0,$0.10B,$0.10B,100.00%,$0.10B,$0.04B,39.39%,$0.10B,$0.04B,39.39%,$0.10B,$0.04B,42.42%,$0.10B,$0.04B,41.41%,$0.10B,$0.04B,39.39%,$0.04B,$0.21B,22.84%,$0.04B,$0.20B,24.26%,$0.04B,$0.33B,16.49%,$0.04B,$0.21B,22.84%,$66,$0,$66,$14,$3,$17,$49,$0,$49,$2,$47,$47,$47,$49,$49,$41,42,$1.16,$1.13,$91,$0,$0,$244,$3,$78,$10,$0,$91,$334,$116,$0,$0,$10,$126,$0,$-221,$0,$209,$334,$41,$2,$4,$6,$-150,$0,$1,$78,$-70,$-24,$-0,$-1,$0,$0,$20,$20,$0,$18,$0,$0,$0,$1,$1,$0,$0,$1,$-5,$4,$0
