,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,49.2,$13.39,3.68,$10.50,4.69,$6.08,8.1,$1.86,26.45,$0.94B,$0.07B,13.62,$0.00B,$1.13B,0.0,$0.91B,$0.85B,93.44%,$0.91B,$0.18B,20.02%,$0.91B,$0.18B,20.02%,$0.91B,$0.22B,24.51%,$0.91B,$0.20B,21.33%,$0.91B,$0.17B,18.05%,$0.17B,$1.13B,14.91%,$0.17B,$1.01B,16.76%,$0.17B,$1.23B,13.54%,$0.18B,$1.13B,16.53%,$241,$14,$227,$54,$152,$231,$10,$4,$14,$-1,$15,$15,$15,$21,$10,$84,89,$0.18,$0.17,$837,$0,$0,$937,$111,$0,$121,$65,$296,$1233,$69,$0,$35,$35,$104,$0,$31,$-10,$1129,$1233,$23,$31,$102,$133,$-25,$0,$0,$-2,$-41,$116,$-34,$0,$0,$-112,$0,$-112,$0,$-146,$0,$0,$0,$-50,$-50,$0,$-41,$-91,$-121,$86,$0
1,2018-06-30,39.18,$13.11,2.99,$10.34,3.79,$6.38,6.14,$1.78,22.01,$0.90B,$0.07B,13.69,$0.00B,$1.10B,0.0,$0.90B,$0.83B,92.75%,$0.90B,$0.18B,20.09%,$0.90B,$0.18B,20.09%,$0.90B,$0.22B,24.67%,$0.90B,$0.19B,21.09%,$0.90B,$0.16B,17.63%,$0.16B,$1.10B,14.96%,$0.16B,$0.98B,16.95%,$0.16B,$1.20B,13.54%,$0.18B,$1.10B,17.05%,$235,$15,$220,$53,$149,$227,$8,$3,$11,$0,$11,$11,$11,$18,$8,$84,89,$0.13,$0.12,$803,$0,$0,$902,$110,$0,$122,$64,$296,$1198,$66,$0,$34,$34,$100,$0,$22,$-10,$1098,$1198,$8,$21,$69,$90,$-15,$0,$0,$-7,$-37,$61,$-25,$0,$0,$-113,$0,$-113,$0,$-138,$0,$0,$0,$-50,$-50,$0,$-28,$-78,$-155,$57,$0
2,2018-03-31,41.75,$13.06,3.2,$10.16,4.11,$6.74,6.2,$1.75,23.86,$0.91B,$0.09B,9.73,$0.00B,$1.09B,0.0,$0.87B,$0.80B,92.19%,$0.87B,$0.18B,20.55%,$0.87B,$0.18B,20.55%,$0.87B,$0.22B,25.37%,$0.87B,$0.19B,21.35%,$0.87B,$0.16B,17.80%,$0.16B,$1.09B,15.45%,$0.16B,$0.97B,18.36%,$0.16B,$1.22B,13.96%,$0.18B,$1.09B,17.84%,$223,$15,$208,$51,$152,$228,$-5,$3,$-2,$0,$-2,$-2,$-2,$5,$-5,$84,84,$-0.03,$-0.03,$815,$0,$0,$910,$108,$15,$125,$60,$308,$1218,$94,$0,$33,$33,$126,$0,$55,$-7,$1092,$1218,$-2,$10,$35,$45,$-7,$0,$0,$-5,$-4,$38,$-16,$0,$0,$-138,$0,$-138,$0,$-153,$0,$0,$0,$-28,$-28,$0,$-12,$-40,$-155,$28,$0
3,2017-12-31,41.96,$13.24,3.17,$9.98,4.2,$6.90,6.08,$1.72,24.4,$0.91B,$0.09B,10.6,$0.00B,$1.11B,0.0,$0.85B,$0.78B,91.73%,$0.85B,$0.18B,21.16%,$0.85B,$0.18B,21.16%,$0.85B,$0.22B,26.12%,$0.85B,$0.18B,21.75%,$0.85B,$0.15B,18.09%,$0.15B,$1.11B,16.31%,$0.15B,$0.98B,20.40%,$0.15B,$1.23B,14.76%,$0.18B,$1.11B,19.08%,$215,$16,$199,$48,$136,$45,$170,$2,$172,$31,$141,$141,$141,$180,$170,$82,87,$1.72,$1.62,$821,$0,$0,$913,$104,$25,$125,$59,$313,$1226,$86,$0,$31,$31,$117,$0,$79,$-8,$1109,$1226,$153,$41,$-46,$-5,$-32,$0,$0,$-1,$20,$168,$222,$0,$-51,$-91,$0,$-91,$-1,$80,$0,$0,$0,$28,$28,$0,$-1,$27,$276,$100,$0
4,2017-09-30,43.3,$11.18,3.87,$10.03,4.32,$3.59,12.08,$0.22,196.82,$0.79B,$0.08B,9.79,$0.00B,$0.93B,0.0,$0.83B,$0.76B,91.53%,$0.83B,$0.02B,2.18%,$0.83B,$0.02B,2.18%,$0.83B,$0.06B,7.14%,$0.83B,$0.02B,2.54%,$0.83B,$0.01B,0.61%,$0.01B,$0.93B,0.58%,$0.01B,$0.80B,0.76%,$0.01B,$1.03B,0.53%,$0.02B,$0.93B,2.09%,$223,$19,$204,$46,$141,$216,$7,$1,$8,$0,$8,$8,$8,$18,$7,$82,87,$0.10,$0.09,$558,$0,$144,$786,$94,$0,$125,$22,$241,$1027,$80,$0,$22,$22,$102,$0,$-67,$-9,$925,$1027,$12,$31,$91,$122,$-20,$0,$0,$-2,$-6,$128,$-20,$0,$-51,$11,$0,$11,$0,$-59,$0,$0,$0,$22,$22,$0,$0,$22,$91,$75,$0
5,2017-06-30,30.02,$10.85,2.77,$9.73,3.09,$3.00,10.02,$0.15,200.13,$0.60B,$0.07B,9.13,$0.00B,$0.89B,0.0,$0.79B,$0.72B,91.76%,$0.79B,$0.01B,1.65%,$0.79B,$0.01B,1.65%,$0.79B,$0.05B,6.59%,$0.79B,$0.02B,1.90%,$0.79B,$-0.00B,-0.13%,$-0.00B,$0.89B,-0.12%,$-0.00B,$0.63B,-0.17%,$-0.00B,$0.97B,-0.11%,$0.01B,$0.89B,1.58%,$210,$18,$192,$42,$132,$203,$7,$1,$8,$0,$8,$8,$8,$18,$7,$81,85,$0.10,$0.09,$512,$0,$0,$595,$92,$0,$262,$22,$375,$970,$65,$0,$18,$18,$83,$0,$-67,$-11,$887,$970,$4,$21,$61,$82,$-10,$0,$0,$-1,$-9,$76,$-12,$0,$-51,$15,$0,$15,$0,$-47,$0,$0,$0,$19,$19,$0,$0,$19,$49,$50,$0
6,2017-03-31,32.75,$10.36,3.16,$9.44,3.47,$2.58,12.69,$0.07,467.86,$0.57B,$0.07B,7.85,$0.00B,$0.83B,0.0,$0.75B,$0.69B,91.76%,$0.75B,$0.00B,0.66%,$0.75B,$0.00B,0.66%,$0.75B,$0.04B,5.45%,$0.75B,$0.01B,0.80%,$0.75B,$-0.01B,-1.20%,$-0.01B,$0.83B,-1.15%,$-0.01B,$0.59B,-1.58%,$-0.01B,$0.92B,-1.04%,$0.00B,$0.83B,0.64%,$198,$17,$181,$40,$136,$203,$-5,$1,$-4,$0,$-4,$-4,$-4,$5,$-5,$80,80,$-0.05,$-0.05,$485,$0,$0,$568,$92,$0,$241,$22,$354,$922,$72,$0,$18,$18,$90,$0,$-75,$-15,$832,$922,$-4,$10,$30,$41,$-4,$0,$0,$-1,$5,$41,$-7,$0,$-31,$-6,$0,$-6,$0,$-43,$0,$0,$0,$3,$3,$0,$0,$3,$1,$24,$0
7,2016-12-31,38.13,$10.16,3.75,$9.05,4.21,$2.32,16.43,$-0.07,0.0,$0.56B,$0.06B,9.29,$0.00B,$0.81B,0.0,$0.71B,$0.65B,91.58%,$0.71B,$-0.00B,-0.56%,$0.71B,$-0.00B,-0.56%,$0.71B,$0.03B,4.21%,$0.71B,$-0.00B,-0.56%,$0.71B,$-0.01B,-0.70%,$-0.01B,$0.81B,-0.67%,$-0.01B,$0.60B,-0.92%,$-0.01B,$0.89B,-0.61%,$-0.00B,$0.81B,-0.53%,$195,$16,$179,$37,$121,$186,$9,$1,$9,$1,$8,$8,$-7,$18,$9,$77,77,$0.10,$0.11,$480,$0,$0,$561,$92,$0,$203,$28,$324,$885,$60,$0,$18,$18,$78,$0,$-70,$-16,$807,$885,$-5,$35,$106,$142,$-32,$0,$0,$6,$-10,$127,$-37,$0,$0,$-9,$-8,$-17,$-1,$-56,$0,$0,$0,$30,$30,$0,$0,$30,$101,$86,$0
8,2016-09-30,41.7,$9.78,4.27,$8.58,4.86,$1.35,30.83,$-0.46,0.0,$0.51B,$0.06B,8.09,$0.00B,$0.77B,0.0,$0.67B,$0.61B,91.22%,$0.67B,$-0.02B,-2.83%,$0.67B,$-0.02B,-2.83%,$0.67B,$0.01B,1.93%,$0.67B,$-0.02B,-2.83%,$0.67B,$-0.02B,-2.98%,$-0.02B,$0.77B,-2.77%,$-0.02B,$0.56B,-3.90%,$-0.02B,$0.85B,-2.52%,$-0.02B,$0.77B,-2.63%,$186,$15,$172,$36,$124,$184,$2,$0,$2,$0,$2,$2,$2,$11,$2,$78,83,$0.03,$0.02,$432,$0,$0,$514,$94,$0,$208,$29,$331,$846,$64,$0,$16,$16,$80,$0,$-78,$-12,$766,$846,$-13,$26,$76,$102,$-24,$0,$0,$4,$-7,$82,$-28,$0,$0,$-9,$-8,$-17,$-1,$-47,$0,$0,$0,$18,$18,$0,$0,$18,$53,$62,$0
9,2016-06-30,30.36,$9.44,3.22,$8.25,3.68,$0.97,31.3,$-0.59,0.0,$0.47B,$0.06B,8.43,$0.00B,$0.73B,0.0,$0.63B,$0.57B,90.48%,$0.63B,$-0.03B,-5.08%,$0.63B,$-0.03B,-5.08%,$0.63B,$-0.00B,-0.16%,$0.63B,$-0.03B,-5.08%,$0.63B,$-0.03B,-4.76%,$-0.03B,$0.73B,-4.26%,$-0.03B,$0.52B,-6.09%,$-0.03B,$0.80B,-3.88%,$-0.03B,$0.73B,-4.54%,$173,$15,$158,$33,$118,$175,$-1,$0,$-1,$-1,$0,$0,$0,$7,$-1,$76,79,$0.01,$0.01,$398,$0,$0,$474,$90,$6,$209,$22,$326,$800,$56,$0,$14,$14,$71,$0,$-81,$-13,$729,$800,$-15,$17,$48,$65,$-13,$0,$0,$4,$-3,$47,$-19,$0,$0,$-9,$0,$-9,$-1,$-30,$0,$0,$0,$8,$8,$0,$0,$8,$25,$40,$0
