,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,14.75,$5.36,2.75,$19.21,0.77,$2.41,6.11,$1.14,12.94,$0.22B,$0.13B,1.76,$0.03B,$0.15B,0.19,$0.55B,$0.18B,33.52%,$0.55B,$0.06B,11.11%,$0.55B,$0.06B,11.11%,$0.55B,$0.08B,14.39%,$0.55B,$0.06B,10.93%,$0.55B,$0.03B,6.01%,$0.03B,$0.15B,23.53%,$0.03B,$0.11B,35.68%,$0.03B,$0.30B,11.45%,$0.06B,$0.18B,38.67%,$141,$89,$52,$0,$30,$123,$18,$-0,$18,$3,$15,$15,$15,$22,$18,$28,29,$0.52,$0.51,$18,$79,$0,$220,$14,$0,$45,$2,$83,$303,$125,$28,$0,$28,$153,$0,$99,$-1,$150,$303,$25,$13,$5,$18,$8,$-2,$-30,$5,$-23,$20,$-4,$0,$-4,$0,$0,$0,$0,$-8,$-10,$0,$-10,$-6,$-6,$0,$-3,$-19,$-7,$2,$0
1,2018-06-30,17.3,$4.88,3.54,$19.01,0.91,$2.61,6.64,$0.97,17.84,$0.18B,$0.11B,1.66,$0.02B,$0.14B,0.15,$0.54B,$0.18B,33.21%,$0.54B,$0.06B,10.89%,$0.54B,$0.06B,10.89%,$0.54B,$0.08B,14.39%,$0.54B,$0.06B,10.70%,$0.54B,$0.03B,5.17%,$0.03B,$0.14B,20.86%,$0.03B,$0.09B,33.23%,$0.03B,$0.27B,9.74%,$0.06B,$0.16B,40.07%,$119,$81,$38,$0,$30,$113,$5,$-1,$4,$1,$3,$3,$3,$9,$5,$28,29,$0.11,$0.11,$19,$70,$0,$179,$13,$0,$46,$4,$86,$265,$108,$20,$0,$20,$128,$0,$84,$-1,$138,$265,$10,$9,$2,$11,$37,$5,$-34,$-5,$-2,$20,$-3,$0,$0,$0,$0,$0,$0,$-3,$-18,$0,$-18,$-3,$-3,$0,$-3,$-23,$-6,$1,$0
2,2018-03-31,12.2,$4.85,2.52,$18.95,0.64,$2.28,5.34,$0.98,12.45,$0.18B,$0.11B,1.67,$0.02B,$0.14B,0.16,$0.54B,$0.18B,33.09%,$0.54B,$0.06B,10.97%,$0.54B,$0.06B,10.97%,$0.54B,$0.08B,14.87%,$0.54B,$0.06B,10.97%,$0.54B,$0.03B,5.20%,$0.03B,$0.14B,21.79%,$0.03B,$0.09B,36.96%,$0.03B,$0.26B,9.60%,$0.06B,$0.16B,42.37%,$112,$74,$38,$0,$27,$104,$8,$-0,$8,$1,$7,$7,$7,$13,$8,$28,29,$0.25,$0.24,$18,$79,$0,$175,$13,$0,$49,$4,$89,$264,$105,$22,$0,$22,$127,$0,$81,$-0,$137,$264,$7,$5,$1,$6,$50,$-3,$-41,$-7,$-3,$10,$-2,$0,$0,$0,$0,$0,$0,$-2,$-15,$0,$-15,$0,$0,$0,$0,$-15,$-7,$1,$0
3,2017-12-31,18.45,$4.85,3.8,$18.36,1.0,$1.53,12.06,$0.52,35.48,$0.23B,$0.19B,1.23,$0.00B,$0.14B,0.0,$0.52B,$0.17B,32.56%,$0.52B,$0.04B,8.48%,$0.52B,$0.04B,8.48%,$0.52B,$0.07B,12.72%,$0.52B,$0.04B,8.48%,$0.52B,$0.02B,2.89%,$0.02B,$0.14B,12.32%,$0.02B,$0.08B,22.73%,$0.02B,$0.32B,5.08%,$0.04B,$0.14B,34.11%,$177,$121,$56,$0,$30,$147,$30,$0,$30,$22,$8,$8,$8,$35,$30,$28,28,$0.29,$0.29,$25,$75,$0,$228,$13,$0,$52,$3,$93,$321,$185,$0,$0,$0,$185,$0,$78,$-0,$136,$321,$15,$22,$25,$47,$-38,$-1,$11,$1,$-28,$34,$-6,$0,$0,$0,$0,$0,$0,$-6,$-14,$0,$-14,$-1,$-1,$0,$-0,$-16,$13,$4,$0
4,2017-09-30,15.75,$4.51,3.49,$16.24,0.97,$1.39,11.33,$0.09,175.0,$0.18B,$0.16B,1.12,$0.01B,$0.13B,0.07,$0.46B,$0.14B,31.29%,$0.46B,$0.01B,2.19%,$0.46B,$0.01B,2.19%,$0.46B,$0.03B,6.78%,$0.46B,$0.01B,2.19%,$0.46B,$0.00B,0.66%,$0.00B,$0.13B,2.56%,$0.00B,$0.07B,5.17%,$0.00B,$0.30B,1.03%,$0.01B,$0.14B,7.89%,$134,$86,$48,$0,$29,$118,$16,$-0,$16,$6,$10,$10,$10,$21,$16,$28,28,$0.35,$0.34,$11,$72,$0,$184,$15,$0,$55,$2,$116,$300,$164,$9,$0,$9,$174,$0,$70,$-1,$126,$300,$7,$17,$10,$26,$-12,$2,$-4,$1,$-9,$25,$-4,$0,$0,$0,$0,$0,$0,$-4,$-20,$0,$-20,$-1,$-1,$0,$-0,$-22,$-0,$3,$0
5,2017-06-30,8.65,$4.12,2.1,$15.93,0.54,$1.36,6.36,$-0.50,0.0,$0.16B,$0.16B,1.01,$0.01B,$0.12B,0.09,$0.45B,$0.14B,30.80%,$0.45B,$-0.02B,-4.24%,$0.45B,$-0.02B,-4.24%,$0.45B,$0.00B,0.45%,$0.45B,$-0.02B,-4.24%,$0.45B,$-0.01B,-3.13%,$-0.01B,$0.12B,-12.04%,$-0.01B,$0.06B,-26.29%,$-0.01B,$0.28B,-4.77%,$-0.02B,$0.13B,-14.93%,$115,$79,$36,$0,$27,$110,$5,$-1,$5,$2,$3,$3,$3,$11,$5,$28,28,$0.12,$0.12,$14,$65,$0,$158,$16,$0,$58,$2,$124,$282,$156,$11,$0,$11,$166,$0,$60,$-1,$115,$282,$-3,$11,$5,$16,$11,$8,$-23,$-0,$-2,$11,$-3,$0,$0,$0,$0,$0,$0,$-3,$-4,$0,$-4,$-1,$-1,$0,$-0,$-5,$3,$2,$0
6,2017-03-31,7.2,$3.94,1.83,$15.40,0.47,$1.03,6.96,$-0.66,0.0,$0.15B,$0.16B,0.93,$0.01B,$0.11B,0.07,$0.43B,$0.13B,30.72%,$0.43B,$-0.03B,-5.77%,$0.43B,$-0.03B,-5.77%,$0.43B,$-0.00B,-0.23%,$0.43B,$-0.03B,-6.00%,$0.43B,$-0.02B,-4.16%,$-0.02B,$0.11B,-15.03%,$-0.02B,$0.05B,-38.30%,$-0.02B,$0.28B,-5.97%,$-0.03B,$0.12B,-18.90%,$93,$64,$29,$0,$30,$100,$-7,$-1,$-7,$-1,$-6,$-6,$-6,$-1,$-7,$28,28,$-0.22,$-0.22,$4,$76,$0,$147,$17,$0,$61,$1,$129,$277,$158,$8,$0,$8,$166,$0,$57,$-2,$110,$277,$-6,$6,$2,$8,$24,$-3,$-33,$-2,$-14,$-12,$-2,$0,$0,$0,$0,$0,$0,$-2,$8,$0,$8,$-1,$-1,$0,$-0,$6,$-7,$1,$0
7,2016-12-31,7.1,$4.19,1.7,$14.34,0.5,$1.27,5.59,$-0.56,0.0,$0.17B,$0.18B,0.95,$0.01B,$0.12B,0.08,$0.40B,$0.13B,31.84%,$0.40B,$-0.02B,-5.47%,$0.40B,$-0.02B,-5.47%,$0.40B,$0.00B,0.50%,$0.40B,$-0.02B,-5.72%,$0.40B,$-0.02B,-3.73%,$-0.02B,$0.12B,-12.05%,$-0.02B,$0.05B,-32.09%,$-0.02B,$0.31B,-4.89%,$-0.02B,$0.13B,-15.77%,$115,$85,$30,$0,$30,$119,$-4,$-1,$-4,$-0,$-4,$-4,$-4,$-0,$-4,$28,28,$-0.15,$-0.15,$12,$73,$0,$174,$18,$0,$66,$3,$136,$311,$184,$10,$0,$10,$193,$0,$63,$-2,$117,$311,$-16,$22,$20,$42,$-12,$-2,$14,$-9,$6,$33,$-9,$0,$-75,$0,$0,$0,$0,$-83,$52,$0,$52,$-1,$-1,$0,$-1,$50,$-1,$4,$0
8,2016-09-30,8.1,$4.36,1.86,$12.94,0.63,$1.09,7.45,$-0.23,0.0,$0.19B,$0.17B,1.15,$0.02B,$0.12B,0.13,$0.37B,$0.13B,34.70%,$0.37B,$-0.01B,-2.73%,$0.37B,$-0.01B,-2.73%,$0.37B,$0.01B,3.55%,$0.37B,$-0.01B,-3.01%,$0.37B,$-0.01B,-1.64%,$-0.01B,$0.12B,-4.69%,$-0.01B,$0.05B,-9.92%,$-0.01B,$0.30B,-2.19%,$-0.01B,$0.14B,-7.12%,$125,$82,$43,$0,$29,$137,$-13,$-1,$-13,$-6,$-7,$-7,$-7,$-8,$-13,$28,28,$-0.25,$-0.25,$9,$66,$0,$191,$19,$0,$70,$2,$114,$304,$166,$15,$1,$16,$182,$0,$67,$-2,$123,$304,$-11,$19,$18,$37,$-10,$2,$2,$-9,$0,$26,$-6,$0,$-75,$0,$0,$0,$0,$-81,$52,$0,$52,$0,$0,$0,$-1,$51,$-4,$4,$0
9,2016-06-30,5.25,$4.57,1.15,$10.81,0.49,$1.05,5.0,$0.15,35.0,$0.19B,$0.17B,1.11,$0.02B,$0.13B,0.13,$0.31B,$0.11B,35.39%,$0.31B,$0.01B,2.92%,$0.31B,$0.01B,2.92%,$0.31B,$0.03B,10.06%,$0.31B,$0.01B,2.60%,$0.31B,$0.01B,1.62%,$0.01B,$0.13B,3.88%,$0.01B,$0.03B,6.90%,$0.01B,$0.32B,2.06%,$0.01B,$0.15B,6.55%,$100,$69,$31,$0,$27,$101,$-1,$-1,$-2,$-1,$-1,$-1,$-1,$8,$-1,$28,28,$-0.04,$-0.04,$9,$69,$0,$188,$20,$0,$95,$2,$127,$315,$169,$17,$1,$18,$186,$0,$74,$-2,$129,$315,$-4,$15,$2,$16,$6,$1,$-9,$-6,$-9,$3,$-5,$0,$-75,$0,$0,$0,$0,$-79,$73,$0,$73,$0,$0,$0,$-1,$72,$-4,$2,$0
